universe	character
A Certain Magical Index	Aleister Crowley / Edward Alexander Crowley
AI The Somnium Files	Iris Sagan / A-set
AI The Somnium Files	Kaname Date / Hayato Yagyu / Falco
AI The Somnium Files	Ota Matsushita / Mato / tAotemAs
AI The Somnium Files	Saito Sejima / New Cyclops Killer
AI The Somnium Files	Shizue Kuranushi / Boss
AI The Somnium Files	Shoko Nadami / Shoko Okiura
AI The Somnium Files	Uru Somezuki / Tearer
AI The Somnium Files	Yoneharu Enda / Andes Komeji
Ace Attorney	Asa Shinn / Jezaille Brett
Ace Attorney	Ashley Graydon / Eggert Benedict
Ace Attorney	Diego Armando / Godot
Ace Attorney	Furio Tigre / The Tiger
Ace Attorney	Ken Dingling / Acro
Ace Attorney	Klint van Zieks / The Professor
Ace Attorney	Misty Fey / Elise Deauxnim
Alice in Borderland	Takatora Samura / Last Boss
Alice in Borderland	Takeru Danma / Hatter
Assassin's Creed	Ahmet bin Bayezid / Ahmet
Assassin's Creed	Alexios / Deimos
Assassin's Creed	Clay Kaczmarek / Subject 16
Assassin's Creed	Daniel Cross / Subject 4
Assassin's Creed	Desmond Miles / Subject 17 / The Reader
Assassin's Creed	Kassandra / Eagle Bearer / West Wind
Assassin's Creed	Micheletto Corella / Michele di Coreglia / Miguel de Corella
Assassin's Creed	Nicolaus Copernicus / Niccolò Copernico
Assassin's Creed	Rashid ad-din Sinan / Al Mualim / Old Man of the Mountain
Assassin's Creed	Rodrigo Borgia / Roderic Llançol i de Borja / Pope Alexander VI
Assassin's Creed	Selim bin Bayezid / Selim I / Yavuz Sultân Selim Khan
Assassin's Creed	Süleyman bin Selim / Suleiman I / Suleiman the Magnificent / Kanuni / Law Giver
Assassin's Creed	Warren Vidic / Subject 2
Assassin's Creed	William of Montferrat / Guglielmo V Aleramici, Marchese del Monferrato
Attack on Titan	Historia Reiss / Christa Lenz
Attorney of the Arcane	Eris Illmater / The Empress of Discord / The Lord of the Sixth
Attorney of the Arcane	Jon Leiran / The Eyetaker
Attorney of the Arcane	Rathallion the Scaled Lord / Remus Virgilae
Barry	Elena Sifuentes / Elena Sagredo
Barry	Monroe Fuches / The Raven
Barry	Richard Krempf / Ryan Madison
Blasphemous	Eviterno, First of the Penitents / Eviterno, Last Desecrator
Blasphemous	His Holiness Escribar / Last Son of the Miracle / Escribar, Sentinel of the Eternal Procession
Clair Obscur	Alicia Dessendre / Maelle
Clair Obscur	Aline Dessendre / The Paintress
Clair Obscur	Renoir Dessendre / The Curator
Code Geass	Bismarck Waldstein / Knight of One
Code Geass	Dorothea Ernst / Knight of Four
Code Geass	Gino Weinberg / Knight of Three
Code Geass	Kallen Kōzuki / Kallen Stadtfeld
Code Geass	Lelouch vi Britannia / Lelouch Lamperouge / Julius Kingsley
Code Geass	Luciano Bradley / Knight of Ten
Code Geass	Monica Krushevsky / Knight of Twelve
Code Geass	Suzaku Kururugi / Knight of Zero
Code Vein	Aurora Valentino / Successor of the Ribcage
Code Vein	Cruz Silva / The Queen
Code Vein	Emily Su / Successor of the Claw
Code Vein	Eva Roux / Successor of the Throat
Code Vein	Gregorio Silva / Successor of the Brain / Skull King / The Virgin Born
Code Vein	Jack Rutherford / Successor of the Eye
Code Vein	Karen Amamiya / Successor of the Heart
Code Vein	Miguel Garcia / Gilded Hunter
Code Vein	Nicola Karnstein / Successor of the Breath
Danganronpa	Celestia Ludenberg / Taeko Yasuhiro / Celeste
Danganronpa	Hajime Hinata / Izuru Kamukura
Danganronpa	Junko Enoshima / Ryoko Otonashi
Danganronpa	Minoru Ōe / Suzuhiko Ōtsuki / The Moleman / Suzuhiko Togami
Danganronpa	Mitsuru Toyano'ō / Seiunsai Toyano'ō
Danganronpa	Monomi / Usami
