universe	character	versions
Clair Obscur	Alicia Dessendre / Maelle	Painted Alicia
Clair Obscur	Aline Dessendre / The Paintress	The Curatress
Clair Obscur	Clea Dessendre	Painted Clea / Clea Unleashed
Clair Obscur	Renoir Dessendre / The Curator	Painted Renoir
Clair Obscur	Simon	Simon the Divergent Star
Clair Obscur	Verso Dessendre	Painted Verso
Infamous	Cole MacGrath	Kessler
Kingdom Hearts	Aeleus	Lexaeus
Kingdom Hearts	Braig	Xigbar
Kingdom Hearts	Dilan	Xaldin
Kingdom Hearts	Elrena	Larxene
Kingdom Hearts	Even	Vexen
Kingdom Hearts	Ienzo	Zexion
Kingdom Hearts	Isa	Saïx
Kingdom Hearts	Kairi	Naminé
Kingdom Hearts	Lauriam	Marluxia
Kingdom Hearts	Lea	Axel
Kingdom Hearts	Luxu	Brain / Bragi / Braig / Xigbar
Kingdom Hearts	Riku	Riku Replica / Dark Riku
Kingdom Hearts	Sora	Roxas / Xion
Kingdom Hearts	Terra	Terra-Xehanort
Kingdom Hearts	Ventus	Vanitas
Kingdom Hearts	Xehanort / Young Xehanort	Terra-Xehanort / Ansem, Seeker of Darkness / Xemnas
Nasuverse	Alexander the Great	Alexander (Rider) / Iskandar (Rider)
Nasuverse	Artoria Pendragon	Artoria Pendragon Alter (Saber) / Artoria Pendragon Lily (Saber)
Nasuverse	Aŋra Mainiiu	Black Iri (Avenger)
Nasuverse	Elizabeth Báthory	Carmilla (Assassin)
Nasuverse	Irisviel von Einzbern	Black Iri (Avenger)
Nasuverse	Jeanne d'Arc	Jeanne d'Arc Alter (Avenger) / Jeanne d'Arc Alter (Ruler)
Nasuverse	King Arthur	Artoria Pendragon / Artoria Pendragon (Saber) / Artoria Pendragon Alter (Saber) / Artoria Pendragon Lily (Saber) / Arthur Pendragon / Arthur Pendragon (Saber)
Nasuverse	Kiritsugu Emiya	Kiritsugu EMIYA / EMIYA (Assassin)
Nasuverse	Medea	Medea Lily (Caster)
Nasuverse	Medusa / Gorgon	Medusa Alter (Lancer)
Nasuverse	Odin	Cú Chulainn (Caster)
Nasuverse	Shirou Emiya	Shirou EMIYA / EMIYA (Archer)
Nasuverse	Tamamo-no-Mae	Tamamo Cat (Berserker)
Nasuverse	Waver Velvet	Zhuge Liang (Caster)
Project Moon	Catherine Earnshaw	Every Catherine
Project Moon	Heathcliff / Heathcliff, The Heartbroken	Erlking Heathcliff
Project Moon	Hindley Earnshaw / Hindley, The Reaved Lamenter	Hindley of the Wild Hunt / The Reaved Lamenter of the Wild Hunt
Project Moon	Josephine	Josephine of the Wild Hunt
Project Moon	Kali / Gebura / The Red Mist	Kali (Light Simulacrum)
Project Moon	Linton Edgar	Linton of the Wild Hunt
Project Moon	Sinclair	A Certain Sinclair
Re Zero	Echidna	Omega / Sphinx
Re Zero	Ryuzu Meyer	Ryuzu Alma / Ryuzu Bilma / Ryuzu Shima / Ryuzu Delma / Pico / Omega / Sphinx
