universe	world
Attack on Titan	Lost in the Cruel World
Final Fantasy	I
Final Fantasy	II
Final Fantasy	III
Final Fantasy	IV
Final Fantasy	IX
Final Fantasy	V
Final Fantasy	VI
Final Fantasy	VII
Final Fantasy	VIII
Final Fantasy	X
Final Fantasy	XI
Final Fantasy	XII
Final Fantasy	XIII
Final Fantasy	XIV
Final Fantasy	XV
Final Fantasy	XVI
Future Diary	First World
Future Diary	Second World
Nasuverse	Archer
Nasuverse	Assassin
Nasuverse	Avenger
Nasuverse	Berserker
Nasuverse	Bride
Nasuverse	Caster
Nasuverse	Fate/Apocrypha
Nasuverse	Fate/EXTELLA
Nasuverse	Fate/EXTRA
Nasuverse	Fate/Grand Order
Nasuverse	Holy Grail
Nasuverse	Lancer
Nasuverse	Lostbelt
Nasuverse	Rider
Nasuverse	Ruler
Nasuverse	Saber
Nasuverse	Servant
Project Moon	The World of Tranquility
Re Zero	Re IF
