character	killed by	death	type
<1,083,092,818> other Crowley's Hazards		Perished during the Crowley Invasion of the British Commonwealth or eventually diffused on their own	
<1> Crowley's Hazard (Alien)	Coronzon	Vaporized by the Ra-Zeus, designed by Coronzon	
<1> Crowley's Hazard (Armored dinosaur)	Aleister Crowley	Murdered by Aleister Crowley	
<1> Crowley's Hazard (Ball and chain humanoid)	Aleister Crowley	Murdered by Aleister Crowley	
<1> Crowley's Hazard (Beetle)	Aleister Crowley	Murdered by Aleister Crowley	
<1> Crowley's Hazard (Concrete cube)	Coronzon	Vaporized by the Ra-Zeus, designed by Coronzon	
<1> Crowley's Hazard (Creepy Doll)	Reproduced Golden Dawn | Coronzon	Murdered by the Reproduced Golden Dawn, recreated by Coronzon	
<1> Crowley's Hazard (Flesh Lump)	Reproduced Golden Dawn | Coronzon	Murdered by the Reproduced Golden Dawn, recreated by Coronzon	
<1> Crowley's Hazard (Gas)	Aleister Crowley	Murdered by Aleister Crowley	
<1> Crowley's Hazard (Giant Metal Insect)	Reproduced Golden Dawn | Coronzon	Murdered by the Reproduced Golden Dawn, recreated by Coronzon	
<1> Crowley's Hazard (Many-limbed Creature)	Reproduced Golden Dawn | Coronzon	Murdered by the Reproduced Golden Dawn, recreated by Coronzon	
<1> Crowley's Hazard (Multi-armed monk)	Accelerator	Murdered by Accelerator	
<1> Crowley's Hazard (Tree root humanoid)	Coronzon	Vaporized by the Ra-Zeus, designed by Coronzon	
<1> Crowley's Hazard (Young witch)	Coronzon | Aleister Crowley	Impaled in the chest by Coronzon with her hair while possessed by the Prime Aleister's consciousness	
<1> Destroyer	Yakumi Hisako | Tsuchimikado Motoharu	Shot with a sniper bee bullet on orders from Yakumi Hisako, which started melting his neck, provided with toothpaste to end his suffering by Tsuchimikado Motoharu	
<1> Francisca 1 pilot	Marian Slingeneyer	Aircraft crashed by Marian Slingeneyer	
<1> Francisca 2 pilot	Marian Slingeneyer	Aircraft crashed by Marian Slingeneyer	
<1> St. Germain	Anna Sprengel	Eaten by Anna Sprengel	
<1> young man	Kihara Kagun | Kihara Byouri	Murdered by Kihara Kagun after being corrupted by Kihara Byouri	
<2,000+> servants		Buried alive in a pyramid for a pharaoh's burial (thousands mentioned)	
<36+> Crowley's Hazards	Coronzon	Vaporized by the Ra-Zeus, designed by Coronzon (several dozens mentioned)	
<6> assassins	Yakumi Hisako	Murdered by a Destroyer, hired by Yakumi Hisako	
<71+> other targets	Kihara Noukan | Aleister Crowley	Eliminated by Kihara Noukan on orders from Aleister Crowley	
Aleister Crowley	Coronzon	Impaled in the chest by Coronzon with her hair (consciousness transferred into Coronzon's physical vessel)	physical
Aleister Crowley	Coronzon	Stabbed with the Sword of Damocles by Coronzon (consciousness shifted into the Crowley's Hazard (Young witch)	physical
Allan Bennett		Died from unknown causes	
Anjou Haruka	Yakumi Hisako	Murdered by a Destroyer, hired by Yakumi Hisako	
Annie Horniman		Died from unknown causes (reproduced by Coronzon)	revived
Annie Horniman	Aleister Crowley	Reverted to a card after the reproductions' grimoire bodies was disrupted by Aleister Crowley	
Arnold Mackenzie		Shoved head first into an oven during a fight	
Arthur Edward Waite		Died from unknown causes (reproduced by Coronzon)	revived
Arthur Edward Waite	Aleister Crowley	Reverted to a card after the reproductions' grimoire bodies was disrupted by Aleister Crowley	
Asai	Kihara Enshuu	Murdered by Kihara Enshuu	
Ayles Bigant	Kihara Enshuu	Crushed with a crane and shot with a shotgun by Kihara Enshuu	
