character	killed by	death	type
<14> other participants	Gate of the Gods Come from the Heavens	Blown into pieces during the Astra Reorganization project organised by the Gate of the Gods Come from the Heavens (spirit combined into Ureapaddy Exica)	physical
Aurodasa Ginzhana	Ureapaddy Exica	Murdered by Ureapaddy Exica	
Brax Mizhine	Albert Dying	Dismembered and stuffed in a fridge by Albert Dying	
George Kingdom	Kinuhata Saiai	Assassinated by Kinuhata Saiai	
Kereelty Tanabrook	Ureapaddy Exica	Murdered by Ureapaddy Exica	
Kipsila Endinia	Ureapaddy Exica	Murdered by Ureapaddy Exica	
Matsuo Ryuusuke	Beginning Child	Fatally wounded by the Beginning Child	
Monica	Monica	Incinerated herself alongside the guild's spell books	
Pancavani Uddasala	Ureapaddy Exica	Murdered by Ureapaddy Exica	
Priestess of Sekhmet		Died from unknown causes	
Slasoma Anruda	Ureapaddy Exica	Murdered by Ureapaddy Exica	
Sumtalak Shandeva	Ureapaddy Exica	Murdered by Ureapaddy Exica	
