character	killed by	death	type
<1> hyena	Morizono Aguni	Stabbed in the eyes with his thumbs by Morizono Aguni during the Six of Spades	
<1> unnamed dealer		Shot through the head with a laser after the end of the First Stage	
<1> unnamed dealer	Ginji Kyuma	Shot through the head with a laser by Ginji Kyuma after the end of the First Stage	
<1> unnamed player		Mauled and eaten by cougars during the Six of Spades	
<1> unnamed player		Shot by another player during the Six of Diamonds	
<1> unnamed player		Shot through the head with a laser after his visa expired	
<1> unnamed player	Horse Head	Blown up by a landmine during the Five of Spades overseen by the Horse Head	
<1> unnamed player	Keiichi Kuzuryu | Ginji Kyuma	Devoured by alligators during the Four of Clubs created by Keiichi Kuzuryu and Ginji Kyuma	
<1> unnamed player	Keiichi Kuzuryu | Ginji Kyuma	Froze to death during the Four of Clubs created by Keiichi Kuzuryu and Ginji Kyuma	
<1> unnamed player	Keiichi Kuzuryu | Ginji Kyuma	Mauled by a cheetah during the Four of Clubs created by Keiichi Kuzuryu and Ginji Kyuma	
<1> unnamed player	Morizono Aguni	Shot by Morizono Aguni during the Six of Spades	
<1> unnamed player	Shuntaro Chishiya	Hanged after losing to Shuntaro Chishiya during the Six of Diamonds	
<1> unnamed player	Shuntaro Chishiya	Shot by another player via suggestion by Shuntaro Chishiya during the Six of Diamonds	
<1> unnamed player	Takatora Samura | Mira Kano	Hit on the back of the head with a golf club by Takatora Samura during the Ten of Hearts designed by Mira Kano	
<1> unnamed player	Takatora Samura | Mira Kano	Impaled with his katana by Takatora Samura during the Ten of Hearts designed by Mira Kano	
<1> unnamed player	Urumi Aramaki | Kakeru Kishoin | Katsusai Rokudo | Enji Matsushita	Neck blown up when incorrectly guessing her suit after being lied to by Urumi Aramaki, Kakeru Kishoin and Katsusai Rokudo during the Jack of Hearts overseen by Enji Matsushita	
<2> unnamed players		Either suffocated from poison gas, starved to death or shot by a laser during the Two of Hearts	
<2> unnamed players	Akitomo Mino | Enji Matsushita	Neck blown up when incorrectly guessing their suit after being lied to by Akitomo Mino during the Jack of Hearts overseen by Enji Matsushita	
<2> unnamed players	Mira Kano	Took their own lives out of guilt after the Ten of Hearts designed by Mira Kano	
<2> unnamed players	Shuntaro Chishiya	Fell through a trap door when they lost to Shuntaro Chishiya in the Jack of Diamonds	
<30> unnamed players	Morizono Aguni | Mira Kano	Murdered by the militants on orders from Morizono Aguni during the Ten of Hearts designed by Mira Kano	
<3> unnamed players		Lift crashed down after answering wrongly during the Four of Hearts	
<5> unnamed players		Boiled to death during the Seven of Spades	
<5> unnamed players	Horse Head	Shot by Horse Head during the Five of Spades	
<6> predators	Takatora Samura	Slashed with a sword by Takatora Samura during the Six of Spades	
<7> unnamed players	Isao Shirabi	Shot by Isao Shirabi during the King of Spades	
Akifumi Seto	Genki Kiriu | Enji Matsushita	Head bashed in by Genki Kiriu during the Jack of Hearts overseen by Enji Matsushita	
Akitomo Mino	Enji Matsushita	Neck blown up when incorrectly guessing his suit after being lied to by an unnamed player during the Jack of Hearts overseen by Enji Matsushita	
Amon Komayama	Shuntaro Chishiya	Fell through a trap door when he lost to Shuntaro Chishiya in the Jack of Diamonds	
Apache	Isao Shirabi | Apache	Euthanized by Isao Shirabi on his own orders after being fatally shot during a war	
Asahi Kujo	Asahi Kujo	Shot through the head by a laser after revealing her identity as a dealer	
Benzo Yashige	Keiichi Kuzuryu	Melted by Aqua Regia after losing to Keiichi Kuzuryu during the King of Diamonds	
Chota Segawa	Chota Segawa | Mira Kano	Neck blown up when he willingly let himself lose the Seven of Hearts designed by Mira Kano	
Daikichi Karube	Daikichi Karube | Mira Kano	Neck blown up when he willingly let himself lose the Seven of Hearts designed by Mira Kano	
Eiji Mitsurugi	Oki Yaba | Enji Matsushita	Neck blown up when he was forced to commit a forbidden action by Oki Yaba during the Jack of Hearts overseen by Enji Matsushita	
Enji Matsushita	Enji Matsushita | Oki Yaba | Sunato Banda	Neck blown up after purposefully guessing the wrong suit after being tortured by Oki Yaba and Sunato Banda during the Jack of Hearts	
Genki Kiriu	Genki Kiriu | Enji Matsushita	Neck blown up when committing a forbidden action by killing Seto during the Jack of Hearts overseen by Enji Matsushita	
Ginji Kyuma	Ryohei Arisu	Shot through the head by a laser after losing to Ryohei Arisu during the King of Clubs	
Goken Kanzaki	Ryohei Arisu	Shot through the head by a laser after losing to Ryohei Arisu during the King of Clubs	
Hannibal	Isao Shirabi	Shot by Isao Shirabi during the King of Spades	
Hinako Daimon	Shuntaro Chishiya | Keiichi Kuzuryu	Melted by Aqua Regia after losing to Shuntaro Chishiya during the King of Diamonds overseen by Keiichi Kuzuryu	
Horse Head	Ryohei Arisu | Yuzuha Usagi	Neck blown up when he lost to Ryohei Arisu and Yuzuha Usagi during the Five of Spades	
Ippei Oki	Ippei Oki | Enji Matsushita	Neck blown up when refusing to guess his suit during the Jack of Hearts overseen by Enji Matsushita	
Isao Shirabi	Morizono Aguni	Neck broken by Morizono Aguni during the King of Spades	
Kaito Kameyama	Isao Shirabi	Shot by Isao Shirabi during the King of Spades	
Kaito Yamane	Keiichi Kuzuryu | Ginji Kyuma	Caught in an explosion during the Four of Clubs created by Keiichi Kuzuryu and Ginji Kyuma	
Kakeru Kishoin	Urumi Aramaki | Katsusai Rokudo | Enji Matsushita	Neck blown up when incorrectly guessing his suit after being lied to by Urumi Aramaki and Katsusai Rokudo during the Jack of Hearts overseen by Enji Matsushita	
Katsusai Rokudo	Enji Matsushita	Neck blown up when incorrectly guessing his suit during the Jack of Hearts overseen by Enji Matsushita	
Keiichi Kuzuryu	Keiichi Kuzuryu | Shuntaro Chishiya	Melted by Aqua Regia after losing to Shuntaro Chishiya on purpose during the King of Diamonds	
Kodai Tatta	Ryohei Arisu | Kodai Tatta | Ginji Kyuma	Bled out after being amputated by Ryohei Arisu on his own orders during the King of Clubs created by Ginji Kyuma	
Kotoko Shiga	Enji Matsushita	Neck blown up when incorrectly guessing her suit due to hypnosis by Enji Matsushita during the Jack of Hearts	
Kunio Kariya	Oki Yaba | Enji Matsushita	Neck blown up when he was forced to commit a forbidden action by Oki Yaba during the Jack of Hearts overseen by Enji Matsushita	
Kurtz	Isao Shirabi	Blown up with a grenade by Isao Shirabi during the King of Spades	
Lieutenant Dan	Isao Shirabi	Shot by Isao Shirabi during the King of Spades	
Masaki Aizen	Kunio Kariya | Enji Matsushita	Neck blown up when incorrectly guessing his suit after being lied to by Kunio Kariya during the Jack of Hearts overseen by Enji Matsushita	
Meisa Tokui	Enji Matsushita	Neck blown up when incorrectly guessing her suit during the Jack of Hearts overseen by Enji Matsushita	
Mira Kano	Ryohei Arisu | Yuzuha Usagi	Shot through the head by a laser after losing to Ryohei Arisu and Yuzuha Usagi during the Queen of Hearts	
Momoka Inoue	Momoka Inoue | Mira Kano	Stabbed herself in the chest as part of the Ten of Hearts designed by Mira Kano	
Motohiko Kaneko	Urumi Aramaki | Meisa Tokui | Enji Matsushita	Neck blown up when incorrectly guessing his suit after being lied to by Urumi Aramaki and Meisa Tokui during the Jack of Hearts overseen by Enji Matsushita	
Nitobe	Horse Head	Shot by Horse Head during the Five of Spades	
Rui Hibino	Urumi Aramaki | Kakeru Kishoin | Katsusai Rokudo | Meisa Tokui | Enji Matsushita	Neck blown up when incorrectly guessing his suit after being lied to by Urumi Aramaki, Kakeru Kishoin, Katsusai Rokudo and Meisa Tokui during the Jack of Hearts overseen by Enji Matsushita	
Saori Shibuki	Saori Shibuki | Mira Kano	Neck blown up when she willingly let herself lose the Seven of Hearts designed by Mira Kano	
Shigenori Usagi	Shigenori Usagi	Committed suicide in the mountains	
Sogo Shitara	Kodai Tatta	Shot through the head with a laser when he lost to Kodai Tatta during the King of Clubs	
Takashi Asuma	Keiichi Kuzuryu	Melted by Aqua Regia after losing to Keiichi Kuzuryu during the King of Diamonds	
