character	killed by	death	type
<1> Aberration	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
<1> Ballet	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
<1> Bouchelier	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
<1> Bourgeon	Expedition 33 (Flying Waters)	Slain by Expedition 33	
<1> Bourgeon	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
<1> Braseleur	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
<1> Bruler	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
<1> Bénisseur	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
<1> Catapult Sakapatate	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
<1> Ceramic Chevalière	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
<1> Ceramic Chevalière	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
<1> Chapelier	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
<1> Chapelier	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
<1> Chromatic Abbest	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
<1> Chromatic Abbest	Expedition 33 (Spring Meadows)	Slain by Expedition 33	
<1> Chromatic Aberration	Expedition 33 (Monoco's Station)	Slain by Expedition 33	
<1> Chromatic Aberration	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
<1> Chromatic Ballet	Expedition 33 (Monoco's Station)	Slain by Expedition 33	
<1> Chromatic Ballet	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
<1> Chromatic Barbasucette	Expedition 33 (Monoco's Station)	Slain by Expedition 33	
<1> Chromatic Boucheclier	Expedition 33 (Monoco's Station)	Slain by Expedition 33	
<1> Chromatic Bouchelier	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
<1> Chromatic Bourgeon	Expedition 33 (Monoco's Station)	Slain by Expedition 33	
<1> Chromatic Braseleur	Expedition 33 (Monoco's Station)	Slain by Expedition 33	
<1> Chromatic Braseleur	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
<1> Chromatic Bruler	Expedition 33 (Flying Waters)	Slain by Expedition 33	
<1> Chromatic Bruler	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
<1> Chromatic Bénisseur	Expedition 33 (Monoco's Station)	Slain by Expedition 33	
<1> Chromatic Bénisseur	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
<1> Chromatic Catapult Sakapatate	Expedition 33 (Monoco's Station)	Slain by Expedition 33	
<1> Chromatic Ceramic Chevalière	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
<1> Chromatic Chalier	Expedition 33 (Monoco's Station)	Slain by Expedition 33	
<1> Chromatic Chalier	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
<1> Chromatic Chapelier	Expedition 33 (Monoco's Station)	Slain by Expedition 33	
<1> Chromatic Clair Obscur	Expedition 33 (Monoco's Station)	Slain by Expedition 33	
<1> Chromatic Clair Obscur	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
<1> Chromatic Cruler	Expedition 33 (Monoco's Station)	Slain by Expedition 33	
<1> Chromatic Création	Expedition 33 (Monoco's Station)	Slain by Expedition 33	
<1> Chromatic Danseuse	Expedition 33 (Monoco's Station)	Slain by Expedition 33	
<1> Chromatic Danseuse	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
<1> Chromatic Démineur	Expedition 33 (Monoco's Station)	Slain by Expedition 33	
<1> Chromatic Démineur	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
<1> Chromatic Démineur	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
<1> Chromatic Franctale	Expedition 33 (Monoco's Station)	Slain by Expedition 33	
<1> Chromatic Gault	Expedition 33 (Ancient Sanctuary)	Slain by Expedition 33	
<1> Chromatic Glaise	Expedition 33 (Monoco's Station)	Slain by Expedition 33	
<1> Chromatic Glaise	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
<1> Chromatic Glissando	Expedition 33 (Monoco's Station)	Slain by Expedition 33	
<1> Chromatic Goblu	Expedition 33 (Monoco's Station)	Slain by Expedition 33	
<1> Chromatic Gold Chevalière	Expedition 33 (Monoco's Station)	Slain by Expedition 33	
<1> Chromatic Gold Chevalière	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
<1> Chromatic Gold Chevalière	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
<1> Chromatic Greatsword Cultist	Expedition 33 (Monoco's Station)	Slain by Expedition 33	
<1> Chromatic Greatsword Cultist	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
<1> Chromatic Hexga	Expedition 33 (Forgotten Battlefield)	Slain by Expedition 33	
<1> Chromatic Jar	Expedition 33 (Forgotten Battlefield)	Slain by Expedition 33	
<1> Chromatic Jar	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
<1> Chromatic Lampmaster	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
<1> Chromatic Lancelier	Expedition 33 (Monoco's Station)	Slain by Expedition 33 (Endless Tower)	
