character	killed by	death	type
<10> Crystal Lizards (The Great Hollow)	Chosen Undead	Slain by the Chosen Undead	
<1> Black Knight (Darkroot Basin)	Chosen Undead	Slain by the Chosen Undead	
<1> Black Knight (The Catacombs)	Chosen Undead	Slain by the Chosen Undead	
<1> Black Knight (Tomb of the Giants)	Chosen Undead	Slain by the Chosen Undead	
<1> Black Knight (Undead Burg)	Chosen Undead	Slain by the Chosen Undead	
<1> Black Knight (Undead Parish)	Chosen Undead	Slain by the Chosen Undead	
<1> Crystal Lizard (Chasm of the Abyss)	Chosen Undead	Slain by the Chosen Undead	
<1> Crystal Lizard (Darkroot Basin)	Chosen Undead	Slain by the Chosen Undead	
<1> Crystal Lizard (Lost Izalith)	Chosen Undead	Slain by the Chosen Undead	
<1> Crystal Lizard (Oolacile Township)	Chosen Undead	Slain by the Chosen Undead	
<1> Crystal Lizard (The Duke's Archives)	Chosen Undead	Slain by the Chosen Undead	
<1> Crystal Lizard (Tomb of the Giants)	Chosen Undead	Slain by the Chosen Undead	
<1> Crystal Lizard (Undead Burg)	Chosen Undead	Slain by the Chosen Undead	
<1> Golden Crystal Golem (Darkroot Basin)	Chosen Undead	Slain by the Chosen Undead	
<1> Golden Crystal Golem (The Duke's Archives)	Chosen Undead	Slain by the Chosen Undead	
<1> Mimic (Sen's Fortress)	Chosen Undead	Slain by the Chosen Undead	
<1> Titanite Demon (Anor Londo)	Chosen Undead	Slain by the Chosen Undead	
<1> Titanite Demon (The Catacombs)	Chosen Undead	Slain by the Chosen Undead	
<1> Titanite Demon (Undead Parish)	Chosen Undead	Slain by the Chosen Undead	
<29> Bounding Demons of Izalith	Chosen Undead	Slain by the Chosen Undead	
<2> Bell Gargoyles	Chosen Undead | Knight Lautrec of Carim | Solaire of Astora	Slain by the Chosen Undead, assisted by Knight Lautrec of Carim or Solaire of Astora	
<2> Bell Gargoyles (Anor Londo)	Chosen Undead	Slain by the Chosen Undead	
<2> Black Knights (Northern Undead Asylum)	Chosen Undead	Slain by the Chosen Undead	
<2> Butchers	Chosen Undead	Slain by the Chosen Undead	
<2> Crystal Lizards (The Catacombs)	Chosen Undead	Slain by the Chosen Undead	
<2> Fang Boars (Anor Londo)	Chosen Undead	Slain by the Chosen Undead	
<2> Forest Hunter Knights	Chosen Undead	Slain by the Chosen Undead	
<2> Golden Crystal Golems (Crystal Cave)	Chosen Undead	Slain by the Chosen Undead	
<2> Masses of Souls	Chosen Undead	Slain by the Chosen Undead	
<2> Mimics (Oolacile Township)	Chosen Undead	Slain by the Chosen Undead	
<2> Mimics (The Duke's Archives)	Chosen Undead	Slain by the Chosen Undead	
<2> Possessed Trees	Chosen Undead	Slain by the Chosen Undead	
<3> Crystal Lizards (Crystal Cave)	Chosen Undead	Slain by the Chosen Undead	
