character	killed by	death	type
<148,000+> victims	Shiro	Perished during the Great Tokyo Earthquake caused by Shiro	
<18> other students	Wretched Egg	Slaughtered by the Wretched Egg during the Nagano School Massacre	
<1> Undertaker	Kosugi	Stabbed by Kosugi	
<22> Undertakers	Nagi Kengamine	Slaughtered by Nagi Kengamine	
<24> prisoners		Murdered by a Necro Macro during an attempt to capture Kiyomasa Senji	
<3> Unnamed thugs	Tsunenaga Tamaki	Murdered by Tsunenaga Tamaki during an attempt on Ganta Igarashi's life	
Aikawa	Wretched Egg	Slaughtered by the Wretched Egg during the Nagano School Massacre	
Akira Shindō	Ikazuchi Akatsuki	Slaughtered by Ikazuchi Akatsuki and other members of Goreless Peace	
Akiyama	Azuma Genkaku	Gunned down by Azuma Genkaku and finished off by an unnamed Undertaker (anime only)	
Azami Midō	Rinichirō Hagire | Toto Sakigami	Beheaded by Rinichirō Hagire while in Toto Sakigami's body	
Chan	Kiyomasa Senji | Chan | Rinichirō Hagire | Toto Sakigami	Impaled by Kiyomasa Senji after throwing himself in his path, then sliced into bits by Rinichirō Hagire while in Toto Sakigami's body	
Domon	Ikazuchi Akatsuki	Slaughtered by Ikazuchi Akatsuki and other members of Goreless Peace	
En	Kiyomasa Senji | En | Rinichirō Hagire | Toto Sakigami	Impaled by Kiyomasa Senji after throwing herself in his path, then sliced into bits by Rinichirō Hagire while in Toto Sakigami's body	
Fujiyoshi	Azuma Genkaku	Gunned down by Azuma Genkaku	
Hajime Mikawa	Idaki Hitara	Incinerated by Idaki Hitara	
Hibana Daida	Rinichirō Hagire | Toto Sakigami	Murdered by Rinichirō Hagire while in Toto Sakigami's body	
Hibana Daida's Mother	Hibana Daida	Tortured to death by Hibana Daida	
Hinata Mukai	Keigo Ugachi | Ikazuchi Akatsuki	Perished in a fire started by Keigo Ugachi, Ikazuchi Akatsuki and other members of Goreless Peace	
Ichi Mikawa	Idaki Hitara	Incinerated by Idaki Hitara	
Ikazuchi Akatsuki	Kiyomasa Senji	Slashed from his shoulder to his lower torso by Kiyomasa Senji	
Izuru Tsukiyoshi	Keigo Ugachi | Ikazuchi Akatsuki	Perished in a fire started by Keigo Ugachi, Ikazuchi Akatsuki and other members of Goreless Peace	
Kazu		Incinerated by an unnamed Undertaker	
King Fisher	Tsunenaga Tamaki	Died in a Penalty Game overseen by Tsunenaga Tamaki	
Kosugi		Stabbed by an unnamed Undertaker	
Kōmoto		Melted with acid and crushed by a Necro Macro	
Kōzuji Kazumasa		Impaled on spikes during the Dog Race Show (anime only)	
Mimi	Wretched Egg	Slaughtered by the Wretched Egg during the Nagano School Massacre	
Minatsuki Takami's Father	Minatsuki Takami	Murdered by Minatsuki Takami	
Minatsuki Takami's Mother	Shiro	Crushed by debris during Great Tokyo Earthquake caused by Shiro	
Miya		Beheaded by an unnamed Undertaker	
Miyako	Azuma Genkaku	Murdered by Azuma Genkaku	
Momoi	Ikazuchi Akatsuki	Slaughtered by Ikazuchi Akatsuki and other members of Goreless Peace	
Mōzuri Gazuchi	Kiyomasa Senji	Sliced by Kiyomasa Senji	
Nagi Kengamine	Azuma Genkaku	Fatally wounded after being shot by Azuma Genkaku	
Owl's Unborn Child	Tsunenaga Tamaki	Perished as a research specimen used by Tsunenaga Tamaki	
Owl's Wife	Azuma Genkaku | Tsunenaga Tamaki	Murdered by Azuma Genkaku on orders from Tsunenaga Tamaki	
Rei Takashima	Wretched Egg	Murdered by the Wretched Egg	
Rinichirō Hagire	Ganta Igarashi	Fatally wounded after being shot by Ganta Igarashi	
Rinichirō Hagire	Rinichirō Hagire | Shiro	Severely injured during the Great Tokyo Earthquake caused by Shiro, then transferred his consciousness into another body using Hallow Swallow	physical
Rinichirō Hagire	Wretched Egg | Rinichirō Hagire	Fatally wounded by the Wretched Egg on his own request, transferred his consciousness into Toto Sakigami's body using Hallow Swallow	physical
Shinagawa Dōkoku	Kiyomasa Senji	Sliced by Kiyomasa Senji	
Shishito Madoka	Ganta Igarashi | Shiro	Murdered with a combined attack from Ganta Igarashi and Shiro	
Shishito Madoka's Father	Shiro	Perished during the Great Tokyo Earthquake caused by Shiro	
Sorae Igarashi	Sorae Igarashi	Shot herself in the head out of guilt	
Toto Sakigami	Ganta Igarashi | Rinichirō Hagire	Fatally wounded after being shot by Ganta Igarashi due to Rinichirō Hagire utilizing it	
Toto Sakigami's Older Sister	Shiro	Perished during the Great Tokyo Earthquake caused by Shiro	
Tsunenaga Tamaki	Tsunenaga Tamaki	Shot himself in the head	
Tsunenaga Tamaki's Mother	Shiro	Perished during the Great Tokyo Earthquake caused by Shiro	
Tōshirō Kan	Ikazuchi Akatsuki	Slaughtered by Ikazuchi Akatsuki and other members of Goreless Peace	
Ueshima	Azuma Genkaku	Gunned down by Azuma Genkaku (anime only)	
Unnamed Deadman 1	Azuma Genkaku	Gunned down by Azuma Genkaku	
Unnamed Deadman 2	Azami Midō | Tsunenaga Tamaki	Body burst after being bitten by one of Azami Midō's snakes, during a Carnival Corpse match organised by Tsunenaga Tamaki	
Wakabayashi	Nagi Kengamine	Murdered by Nagi Kengamine	
Wakabayashi	Rinichirō Hagire | Toto Sakigami	Murdered by unnamed Undertakers or by Rinichirō Hagire while in Toto Sakigami's body (anime only)	
Yamakatsu Katsuya	Wretched Egg	Slaughtered by the Wretched Egg during the Nagano School Massacre	
Yamazaki	Azuma Genkaku	Limbs blown off by Azuma Genkaku	
Yosuga Mitsuzaki	Rinichirō Hagire | Toto Sakigami	Impaled through the head by Rinichirō Hagire while in Toto Sakigami's body	
Yuki Hitara	Yuki Hitara | Wretched Egg	Committed suicide by setting her sheets on fire after having been disfigured during the Great Tokyo Earthquake caused by the Wretched Egg	
Ōshima	Azuma Genkaku	Gunned down by Azuma Genkaku	
