character	killed by	death	type
<1> lion	Tsukasa Shishio	Punched by Tsukasa Shishio	
Akashi	Hyoga Akatsuki	Kicked into a cloud of toxic fumes by Hyoga Akatsuki	
Byakuya Ishigami		Died of old age	
Connie Lee		Passed away after contracting pneumonia	
Darya Nikitina		Lost at sea	
Former Priestess		Passed away after contracting pneumonia	
Gozan	Hyoga Akatsuki	Kicked into a cloud of toxic fumes by Hyoga Akatsuki	
Head of the Petrification Kingdom	Ibara	Petrified by Ibara and eroded over the years	
Hyoga Akatsuki	Stanley Snyder	Shot multiple times by Stanley Snyder (revived via depetrification by Senku Ishigami)	revived
Kyoichiro	Hyoga Akatsuki	Kicked into a cloud of toxic fumes by Hyoga Akatsuki	
Lillian Weinberg		Passed away after contracting pneumonia	
Matsukaze's Master	Matsukaze	Bled out after having his arm cut off by Matsukaze due to being petrified by unknown people	
Morito	Hyoga Akatsuki	Kicked into a cloud of toxic fumes by Hyoga Akatsuki	
Ren	Hyoga Akatsuki	Kicked into a cloud of toxic fumes by Hyoga Akatsuki	
Senku Ishigami	Tsukasa Shishio	Cervical plexus broken by Tsukasa Shishio (revived via depetrification by Taiju Oki)	revived
Shamil Volkov		Passed away after contracting pneumonia	
Tsukasa Shishio	Senku Ishigami | Tsukasa Shishio | Hyoga Akatsuki	Allowed himself to be frozen by Senku Ishigami after being critically injured with a spear by Hyoga Akatsuki (revived via depetrification by Senku Ishigami)	revived
Yakov Nikitin		Lost at sea	
Yuki	Hyoga Akatsuki	Kicked into a cloud of toxic fumes by Hyoga Akatsuki	
