character	killed by	death	type
<11> Incantation Scarabs	The Tarnished	Slain by the Tarnished	
<1> Abductor Virgin (Swinging Sickle)	The Tarnished	Slain by the Tarnished	
<1> Abductor Virgin (Wheel)	The Tarnished	Slain by the Tarnished	
<1> Ancient Hero of Zamor (Giant-Conquering Hero's Grave)	The Tarnished	Slain by the Tarnished	
<1> Ancient Hero of Zamor (Sainted Hero's Grave)	The Tarnished	Slain by the Tarnished	
<1> Ancient Hero of Zamor (Weeping Evergaol)	The Tarnished	Slain by the Tarnished	
<1> Beastman of Farum Azula	The Tarnished	Slain by the Tarnished	
<1> Beastman of Farum Azula (Cleaver)	The Tarnished	Slain by the Tarnished	
<1> Beastman of Farum Azula (Throwing Knife)	The Tarnished	Slain by the Tarnished	
<1> Black Blade Kindred (Bestial Sanctum)	The Tarnished	Slain by the Tarnished	
<1> Black Blade Kindred (Forbidden Lands)	The Tarnished | Millicent the Rotting	Slain by the Tarnished, assisted by Millicent the Rotting	
<1> Black Knife Assassin (Black Knife Catacombs)	The Tarnished | D, Hunter of the Dead	Slain by the Tarnished, assisted by D, Hunter of the Dead	
<1> Black Knife Assassin (Deathtouched Catacombs)	The Tarnished	Slain by the Tarnished	
<1> Black Knife Assassin (Sage's Cave)	The Tarnished	Slain by the Tarnished	
<1> Black Knife Assassin (Sainted Hero's Grave)	The Tarnished	Slain by the Tarnished	
<1> Bloodhound Knight	The Tarnished	Slain by the Tarnished	
<1> Cemetery Shade (Black Knife Catacombs)	The Tarnished	Slain by the Tarnished	
<1> Cemetery Shade (Caelid Catacombs)	The Tarnished	Slain by the Tarnished	
<1> Cemetery Shade (Tombsward Catacombs)	The Tarnished	Slain by the Tarnished	
<1> Cleanrot Knight	The Tarnished	Slain by the Tarnished	
<1> Cleanrot Knight (Scythe)	The Tarnished	Slain by the Tarnished	
<1> Cleanrot Knight (Spear)	The Tarnished	Slain by the Tarnished	
<1> Crucible Knight (Auriza Hero's Grave)	The Tarnished	Slain by the Tarnished	
<1> Crucible Knight (Axe)		Died from unknown causes (returned as a spirit)	physical
<1> Crucible Knight (Caelid)	The Tarnished	Slain by the Tarnished	
<1> Crucible Knight (Deeproot Depths)	The Tarnished	Slain by the Tarnished	
<1> Crucible Knight (Mt. Gelmir)	The Tarnished	Slain by the Tarnished	
<1> Crucible Knight (Redmane Castle)	The Tarnished	Slain by the Tarnished	
<1> Crucible Knight (Stormhill Evergaol)	The Tarnished	Slain by the Tarnished	
<1> Crucible Knight (Tree)		Died from unknown causes (returned as a spirit)	physical
<1> Crystalian	The Tarnished	Slain by the Tarnished	
<1> Crystalian (Ringblade)	The Tarnished	Slain by the Tarnished	
<1> Crystalian (Spear) (Academy Crystal Cave)	The Tarnished	Slain by the Tarnished	
<1> Crystalian (Spear) (Altus Tunnel)	The Tarnished	Slain by the Tarnished	
<1> Crystalian (Staff)	The Tarnished	Slain by the Tarnished	
<1> Death Knight (Fog Rift Catacombs)	The Tarnished	Slain by the Tarnished	
<1> Death Knight (Scorpion River Catacombs)	The Tarnished	Slain by the Tarnished	
<1> Death Rite Bird (Caelid)	The Tarnished	Slain by the Tarnished	
<1> Death Rite Bird (Charo's Hidden Grave)	The Tarnished	Slain by the Tarnished	
<1> Death Rite Bird (Consecrated Snowfields)	The Tarnished	Slain by the Tarnished	
<1> Death Rite Bird (Liurnia of the Lakes)	The Tarnished	Slain by the Tarnished	
<1> Death Rite Bird (Mountaintops of the Giants)	The Tarnished	Slain by the Tarnished	
<1> Deathbird (Capital Outskirts)	The Tarnished	Slain by the Tarnished	
<1> Deathbird (Limgrave)	The Tarnished	Slain by the Tarnished	
<1> Deathbird (Liurnia of the Lakes)	The Tarnished	Slain by the Tarnished	
<1> Deathbird (Weeping Peninsula)	The Tarnished	Slain by the Tarnished	
<1> Draconic Tree Sentinel (Capital Outskirts)	The Tarnished | Great Horned Tragoth | Millicent the Rotting	Slain by the Tarnished, assisted by Great Horned Tragoth or Millicent the Rotting	
<1> Draconic Tree Sentinel (Farum Azula)	The Tarnished	Slain by the Tarnished	
<1> Dragonkin Soldier (Lake of Rot)	The Tarnished	Slain by the Tarnished	
<1> Dragonkin Soldier (Siofra River)	The Tarnished	Slain by the Tarnished	
<1> Dragonkin Soldier of Nokstella	The Tarnished	Slain by the Tarnished	
<1> Elder Lion (Altus Plateau)	The Tarnished	Slain by the Tarnished	
<1> Elder Lion (Castle Sol)	The Tarnished	Slain by the Tarnished	
<1> Elder Lion (Fort Gael)	The Tarnished	Slain by the Tarnished	
<1> Elder Lion (Leyndell, Royal Capital)	The Tarnished	Slain by the Tarnished	
<1> Elder Lion (Redmane Castle)	The Tarnished	Slain by the Tarnished	
<1> Elder Lion (Stormveil Castle)	The Tarnished	Slain by the Tarnished	
<1> Elder Lion (Swamp of Aeonia)	The Tarnished	Slain by the Tarnished	
<1> Erdtree Avatar (Deeproot Depths)	The Tarnished	Slain by the Tarnished	
<1> Erdtree Avatar (East Liurnia)	The Tarnished	Slain by the Tarnished	
