character	killed by	death	type
<100> Dryad	Lightning | Zanford	Slain by Lightning on request from Zanford	
<100> Hanuman and Vali	Lightning | Zanford	Slain by Lightning on request from Zanford	
<100> Miniflan	Lightning | Zanford	Slain by Lightning on request from Zanford	
<100> Rafflesia	Lightning | Zanford	Slain by Lightning on request from Zanford	
<10> Anubys	Lightning | Alchemist Naggle	Slain by Lightning on request from Alchemist Naggle	
<10> Anubys	Lightning | Artisan Saila	Slain by Lightning on request from Artisan Saila	
<10> Dryad	Lightning | Brewery Broker	Slain by Lightning on request from Brewery Broker	
<10> Dryad	Lightning | Moghan	Slain by Lightning on request from Moghan	
<10> Earth Eater	Lightning | Bandit Rimmich	Slain by Lightning on request from Bandit Rimmich	
<10> Ectopudding	Lightning | May of Aryas	Slain by Lightning on request from May of Aryas	
<10> Gaunt	Lightning | Priest Madya	Slain by Lightning on request from Priest Madya	
<10> Goblot	Lightning | Bandit Lilly	Slain by Lightning on request from Bandit Lilly	
<10> Gorgonopsid	Lightning | Captain Delilah	Slain by Lightning on request from Captain Delilah	
<10> Gorgonopsid	Lightning | Sellsword Ramdall	Slain by Lightning on request from Sellsword Ramdall	
<10> Hoplite	Lightning | Alchemist Sildonius	Slain by Lightning on request from Alchemist Sildonius	
<10> Meonekton	Lightning | Grand Inquisitor	Slain by Lightning on request from Grand Inquisitor	
<10> Schrodinger	Lightning | Bandit Tapp	Slain by Lightning on request from Bandit Tapp	
<10> Vali and Hanuman	Lightning | Explorer Marif	Slain by Lightning on request from Explorer Marif	
<120> Gremlin	Lightning | Zanford	Slain by Lightning on request from Zanford	
<120> Niblet	Lightning | Zanford	Slain by Lightning on request from Zanford	
<12> Rafflesia	Lightning | Darius	Slain by Lightning on request from Darius	
<12> hardened bounty hunters		Slain by a Zomok (eventually reborn within the New World)	reincarnated
<15> Chimera	Lightning | Zanford	Slain by Lightning on request from Zanford	
<15> Desdemona	Lightning | Alchemist Sildonius	Slain by Lightning on request from Alchemist Sildonius	
<15> Gertrude	Lightning | Captain Delilah	Slain by Lightning on request from Captain Delilah	
<15> Goblin	Lightning | Hunter Potts	Slain by Lightning on request from Hunter Potts	
<15> Vali and Hanuman	Lightning | Hunter Potts	Slain by Lightning on request from Hunter Potts	
<1> Anubys of the Abyss	Lightning | Slaughterhouse Zoe	Slain by Lightning, orchestrated by Slaughterhouse Zoe	
<1> Anubys of the Abyss	Lightning | Slaughterhouse Zoe	Slain by Lightning, orchestrated by Slaughterhouse Zoe	
<1> Anubys of the Abyss	Lightning | Slaughterhouse Zoe	Slain by Lightning, orchestrated by Slaughterhouse Zoe	
<1> Aster Protoflorian	Lightning | Hunter Chief	Slain by Lightning on request from Hunter Chief	
<1> Aster Protoflorian	Lightning | Researcher Grove	Slain by Lightning on request from Researcher Grove	
<1> Cactuar	Lightning | Mattisse	Slain by Lightning on request from Mattisse	
<1> Chocobo Eater	Lightning | Angel of Valhalla	Slain by Lightning and the Angel of Valhalla	
<1> Cyclops	Lightning | Alchemist Mahto	Slain by Lightning on request from Alchemist Mahto	
<1> Cyclops the Rage	Lightning | Slaughterhouse Zoe	Slain by Lightning, orchestrated by Slaughterhouse Zoe	
<1> Dreadnought	Lightning | Puppeteer Urma	Slain by Lightning on request from Puppeteer Urma	
<1> Earth Eater	Lightning | Bandit Marie	Slain by Lightning on request from Bandit Marie	
<1> Evil Guardsman	Lightning | Slaughterhouse Zoe	Slain by Lightning, orchestrated by Slaughterhouse Zoe	
<1> Gurangatch	Lightning | Adonis	Slain by Lightning on request from Adonis	
<1> Gurangatch	Lightning | Armorer Coxilla	Slain by Lightning on request from Armorer Coxilla	
<1> Infernal Fanatic	Lightning | Slaughterhouse Zoe	Slain by Lightning, orchestrated by Slaughterhouse Zoe	
<1> Iron Wall Gurangatch	Lightning | Slaughterhouse Zoe	Slain by Lightning, orchestrated by Slaughterhouse Zoe	
<1> Iron Wall Gurangatch	Lightning | Slaughterhouse Zoe	Slain by Lightning, orchestrated by Slaughterhouse Zoe	
