character	killed by	death	type
Ai Mikami	Deus Ex Machina	Perished during the Survival Game hosted by Deus Ex Machina (First World, alive in the Third World)	alternate
Ai Mikami	Yuno Gasai | Deus Ex Machina	Throat slashed by Yuno Gasai during the Survival Game hosted by Deus Ex Machina (Second World, alive in the Third World)	alternate
Aru Akise	Yuno Gasai	Decapitated by Yuno Gasai (Second World, alive in the Third World)	alternate
Deus Ex Machina		Died of natural causes (First World, alive in the Third World)	alternate
Deus Ex Machina		Died of natural causes (Second World, alive in the Third World)	alternate
Funatsu	Yomotsu Hirasaka	Struck with an axe by a follower hypnotized by Yomotsu Hirasaka (Second World, alive in the Third World)	alternate
Hinata Hino	Yukiteru Amano	Shot in the chest by Yukiteru Amano (Second World, alive in the Third World)	alternate
John Bacchus	Yuno Gasai | Deus Ex Machina	Decapitated by Yuno Gasai during the Survival Game hosted by Deus Ex Machina (Second World, alive in the Third World)	alternate
John Bacchus	Yuno Gasai | Deus Ex Machina	Murdered by Yuno Gasai during the Survival Game hosted by Deus Ex Machina (First World, alive in the Third World)	alternate
John Bacchus	Yuno Gasai | Deus Ex Machina	Shot in the head by Yuno Gasai during the Survival Game hosted by Deus Ex Machina (Second World, alive in the Third World) (anime)	alternate
Kamado Ueshita	Deus Ex Machina	Perished during the Survival Game hosted by Deus Ex Machina (First World, alive in the Third World)	alternate
Kamado Ueshita	Yuno Gasai | Deus Ex Machina	Stabbed by Yuno Gasai during the Survival Game hosted by Deus Ex Machina (Second World, alive in the Third World)	alternate
Karyuudo Tsukishima	Deus Ex Machina	Perished during the Survival Game hosted by Deus Ex Machina (First World, alive in the Third World)	alternate
Karyuudo Tsukishima	Keigo Kurusu | Deus Ex Machina	Shot in the back of the head by Keigo Kurusu during the Survival Game hosted by Deus Ex Machina (Second World, alive in the Third World)	alternate
Keigo Kurusu	Deus Ex Machina	Perished during the Survival Game hosted by Deus Ex Machina (First World, alive in the Third World)	alternate
Keigo Kurusu	Keigo Kurusu | Deus Ex Machina	Erased from existence after breaking his own diary during the Survival Game hosted by Deus Ex Machina (Second World, alive in the Third World)	alternate
Kurou Amano	John Bacchus	Stabbed by one of John Bacchus' assassins (Second World, alive in the Third World)	alternate
Mao Nonosaka	Yukiteru Amano	Shot by Yukiteru Amano (Second World, alive in the Third World)	alternate
Marco Ikusaba	Deus Ex Machina	Perished during the Survival Game hosted by Deus Ex Machina (First World, alive in the Third World)	alternate
Marco Ikusaba	Marco Ikusaba | Deus Ex Machina	Let himself be buried in the collapsing Sakurami Tower during the Survival Game hosted by Deus Ex Machina (Second World, alive in the Third World)	alternate
Masumi Nishijima	John Bacchus	Shot by guards on orders from John Bacchus (Second World, alive in the Third World)	alternate
Minene Uryuu	Deus Ex Machina	Perished during the Survival Game hosted by Deus Ex Machina (First World, alive in the Third World)	alternate
Natsuko Ooshima	Minene Uryuu	Murdered by Minene Uryuu (Second World, alive in the Third World)	alternate
Orin Miyashiro	Yuno Gasai	Beheaded by Yuno Gasai (Second World, alive in the Third World)	alternate
Ouji Kosaka	Yukiteru Amano	Shot by Yukiteru Amano (Second World, alive in the Third World)	alternate
Rea Amano	Kurou Amano	Accidentally murdered by Kurou Amano (Second World, alive in the Third World)	alternate
Reisuke Houjou	Yuno Gasai | Deus Ex Machina	Stabbed in the chest by Yuno Gasai during the Survival Game hosted by Deus Ex Machina (Second World, alive in the Third World)	alternate
Reisuke Houjou	Yuno Gasai | Deus Ex Machina	Strangled to death by Yuno Gasai during the Survival Game hosted by Deus Ex Machina (First World, alive in the Third World)	alternate
Ryuji Kurosaki	John Bacchus	Shot by John Bacchus (Second World, alive in the Third World)	alternate
Ryuji Kurosaki	Minene Uryuu	Shot by Minene Uryuu (Second World, alive in the Third World) (anime)	alternate
Saika Gasai	Yuno Gasai	Died from dehydration after being locked in a cage by Yuno Gasai (First World, alive in the Third World)	alternate
Saika Gasai	Yuno Gasai	Died from dehydration after being locked in a cage by Yuno Gasai (Second World, alive in the Third World)	alternate
Takao Hiyama	Yukiteru Amano | Deus Ex Machina	Erased from existence when his diary is destroyed with a dart by Yukiteru Amano during the Survival Game hosted by Deus Ex Machina (Second World, alive in the Third World)	alternate
Takao Hiyama	Yukiteru Amano | Yuno Gasai | Deus Ex Machina	Erased from existence when his diary was broken by Yukiteru Amano and Yuno Gasai during the Survival Game hosted by Deus Ex Machina (First World, alive in the Third World)	alternate
Tarō Nanba	Yuno Gasai	Stabbed in the chest by Yuno Gasai (Second World, alive in the Third World)	alternate
Tsubaki Kasugano	Deus Ex Machina	Perished during the Survival Game hosted by Deus Ex Machina (First World, alive in the Third World)	alternate
Tsubaki Kasugano	Yukiteru Amano | Deus Ex Machina	Erased from existence when her diary is destroyed with a dart by Yukiteru Amano during the Survival Game hosted by Deus Ex Machina (Second World, alive in the Third World)	alternate
Ushio Gasai	Yuno Gasai	Died from dehydration after being locked in a cage by Yuno Gasai (First World, alive in the Third World)	alternate
Ushio Gasai	Yuno Gasai	Died from dehydration after being locked in a cage by Yuno Gasai (Second World, alive in the Third World)	alternate
Yomotsu Hirasaka	Yuno Gasai | Deus Ex Machina	Stabbed by Yuno Gasai during the Survival Game hosted by Deus Ex Machina (First World, alive in the Third World)	alternate
Yomotsu Hirasaka	Yuno Gasai | Deus Ex Machina	Throat slashed with an axe by Yuno Gasai during the Survival Game hosted by Deus Ex Machina (Second World, alive in the Third World)	alternate
Yukiteru Amano	Yukiteru Amano | Yuno Gasai | Deus Ex Machina	Tricked into committing suicide by swallowing a pill by Yuno Gasai during the Survival Game hosted by Deus Ex Machina (First World, alive in the Third World)	alternate
Yuno Gasai	Yuno Gasai	Butchered with an axe by her First World self (Second World, alive in the Third World)	alternate
Yuno Gasai	Yuno Gasai | Deus Ex Machina	Committed suicide by stabbing herself during the Survival Game hosted by Deus Ex Machina (First World, alive in the Third World)	alternate
