character	killed by	death	type
<150+> Tanaka Alien Eggs	Kei Kurono | Gantz	Destroyed when Kei Kurono collapsed a building on them on orders from Gantz (minimum counted from panel)	
<1> T-rex Alien	Shion Izumi | Gantz	Cut in half by Shion Izumi orders from Gantz	
<1> Tanaka	Masanobu Hojo | Gantz	Blown up after being shot by Masanobu Hojo on orders from Gantz	
<1> Tanaka	Masanobu Hojo | Gantz	Forced out of its shell by Masanobu Hojo on orders from Gantz	
<1> Tanaka	Masaru Kato | Gantz	Punched to the ground by Masaru Kato on orders from Gantz	
<1> Tanaka Alien Hatchling	Joichiro Nishi | Gantz	Shot by Joichiro Nishi on orders from Gantz	
<1> Triceratops Alien	Shion Izumi | Gantz	Split in half by Shion Izumi using his Gantz Sword on orders from Gantz	
<1> Utahraptor Alien	Kei Kurono | Gantz	Head blown off after being shot by Kei Kurono on orders from Gantz	
<24+> Tanaka Alien Hatchlings	Kei Kurono | Gantz	Crushed in a collapsing building by Kei Kurono on orders from Gantz (dozens mentioned)	
<2> T-rex Aliens	Kei Kurono | Gantz	Blown up when shot by Kei Kurono on orders from Gantz	
<2> Tanaka's	Kei Kishimoto | Gantz	Blown up after being shot by Kei Kishimoto on orders from Gantz	
<2> Triceratops Aliens		Incinerated by the T-rex Aliens	
<3+> Brachiosaurus Aliens	Kei Kurono | Gantz	Internal organs destroyed by Kei Kurono on orders from Gantz (several mentioned)	
<3+> Utahraptor Aliens	Daizaemon Kaze | Gantz	Struck by Daizaemon Kaze using his elbows on orders from Gantz (several mentioned)	
<3+> Utahraptor Aliens	Hiroto Sakurai | Kenzo Sakata | Gantz	Hearts destroyed by Hiroto Sakurai and Kenzo Sakata on orders from Gantz (several mentioned)	
<366> other civilians	Shion Izumi	Gunned down by Shion Izumi during the Shinjuku Street Massacre (372 minus 6 known characters)	
<4> Kannon's Guards	Sei Sakuraoka	Blown up after being shot by Sei Sakuraoka	
<6> Apartment Tanaka's	Kei Kurono | Gantz	Buried when Kei Kurono collapsed a building on them on orders from Gantz	
<8> Shorty Aliens	Kei Kurono | Gantz	Blown up when shot by Kei Kurono on orders from Gantz	
Adult Onion Alien	Joichiro Nishi | Gantz	Sent away by Joichiro Nishi using the Y-gun on orders from Gantz	
Akira Nishida		Died from unknown causes (revived by Gantz)	revived
Akira Nishida	Gantz	Head blown off by Gantz	
Akitoshi Okazaki		Choked on his food (revived by Gantz)	revived
Akitoshi Okazaki	Daibutsu Alien	Devoured by the Daibutsu Alien	
Bob Morris		Died from unknown causes (revived by Gantz)	revived
Bob Morris	Vampire Bosses	Throat sliced by one of the Vampire Bosses	
Daibutsu Alien	Kei Kurono	Shot in the mouth by Kei Kurono	
Daichi Nozaki		Drowned during a storm (revived by Gantz)	revived
Daichi Nozaki	Ryūji Kajiura	Shot by Ryūji Kajiura using a machine gun	
