character	killed by	death	type
<10> Clawmaiden	Hornet	Stabbed by Hornet with her Needle	
<10> Cloverstag	Hornet	Stabbed by Hornet with her Needle	
<10> Cogwork Spine	Hornet	Stabbed by Hornet with her Needle	
<10> Crustcrawler	Hornet	Stabbed by Hornet with her Needle	
<10> Escalion	Hornet	Stabbed by Hornet with her Needle	
<10> Flintflame Flyer	Hornet	Stabbed by Hornet with her Needle	
<10> Grom	Hornet	Stabbed by Hornet with her Needle	
<10> Guardfly	Hornet	Stabbed by Hornet with her Needle	
<10> Hardbone Elder	Hornet	Stabbed by Hornet with her Needle	
<10> Kai	Hornet	Stabbed by Hornet with her Needle	
<10> Kakri	Hornet	Stabbed by Hornet with her Needle	
<10> Karaka	Hornet	Stabbed by Hornet with her Needle	
<10> Kindanir	Hornet	Stabbed by Hornet with her Needle	
<10> Leaf Roller	Hornet	Stabbed by Hornet with her Needle	
<10> Mitemother	Hornet	Stabbed by Hornet with her Needle	
<10> Mnemonid	Hornet	Stabbed by Hornet with her Needle	
<10> Mortician	Hornet	Stabbed by Hornet with her Needle	
<10> Pendra	Hornet	Stabbed by Hornet with her Needle	
<10> Pendragor	Hornet	Stabbed by Hornet with her Needle	
<10> Pharlid Diver	Hornet	Stabbed by Hornet with her Needle	
<10> Pilgrim Bellbearer	Hornet	Stabbed by Hornet with her Needle	
<10> Pilgrim Hiker	Hornet	Stabbed by Hornet with her Needle	
<10> Pilgrim Hulk	Hornet	Stabbed by Hornet with her Needle	
<10> Pollenica	Hornet	Stabbed by Hornet with her Needle	
<10> Roachkeeper	Hornet	Stabbed by Hornet with her Needle	
<10> Roachserver	Hornet	Stabbed by Hornet with her Needle	
<10> Skrill	Hornet	Stabbed by Hornet with her Needle	
<10> Smokerock Sifter	Hornet	Stabbed by Hornet with her Needle	
<10> Spear Skarr	Hornet	Stabbed by Hornet with her Needle	
<10> Spinebeak Kai	Hornet	Stabbed by Hornet with her Needle	
<10> Splinterbark	Hornet	Stabbed by Hornet with her Needle	
<10> Splinterhorn	Hornet	Stabbed by Hornet with her Needle	
<10> Tallcraw Juror	Hornet	Stabbed by Hornet with her Needle	
<10> Tarmite	Hornet	Stabbed by Hornet with her Needle	
<10> Undersweep	Hornet	Stabbed by Hornet with her Needle	
<10> Vaultkeeper	Hornet	Stabbed by Hornet with her Needle	
<10> Verdanir	Hornet	Stabbed by Hornet with her Needle	
<10> Winged Pilgrim Bellbearer	Hornet	Stabbed by Hornet with her Needle	
<10> Wingmould	Hornet	Stabbed by Hornet with her Needle	
<10> Wraith	Hornet	Stabbed by Hornet with her Needle	
<12> Bloatroach	Hornet	Stabbed by Hornet with her Needle	
<12> Cogwork Cleanser	Hornet	Stabbed by Hornet with her Needle	
<12> Cogwork Hauler	Hornet	Stabbed by Hornet with her Needle	
<12> Grand Reed	Hornet	Stabbed by Hornet with her Needle	
<12> Lavalug	Hornet	Stabbed by Hornet with her Needle	
<12> Leaf Glider	Hornet	Stabbed by Hornet with her Needle	
<12> Slubberlug	Hornet	Stabbed by Hornet with her Needle	
<12> Splinter	Hornet	Stabbed by Hornet with her Needle	
<12> Stilkin Trapper	Hornet	Stabbed by Hornet with her Needle	
<12> Winged Furm	Hornet	Stabbed by Hornet with her Needle	
<12> Wood Wasp	Hornet	Stabbed by Hornet with her Needle	
<12> Yago	Hornet	Stabbed by Hornet with her Needle	
<14> Driznarga	Hornet	Stabbed by Hornet with her Needle	
<15> Aknid	Hornet	Stabbed by Hornet with her Needle	
<15> Brushflit	Hornet	Stabbed by Hornet with her Needle	
