character	killed by	death	type
<10> Entombed Husk	The Knight	Stabbed with a Nail by the Knight	
<10> Fungified Husk	The Knight	Stabbed with a Nail by the Knight	
<10> Great Hopper	The Knight	Stabbed with a Nail by the Knight	
<10> Great Husk Sentry	The Knight	Stabbed with a Nail by the Knight	
<10> Husk Hive	The Knight	Stabbed with a Nail by the Knight	
<10> Husk Warrior	The Knight	Stabbed with a Nail by the Knight	
<10> Infected Balloon	The Knight	Stabbed with a Nail by the Knight	
<10> Lesser Mawlek	The Knight	Stabbed with a Nail by the Knight	
<10> Lifeseed	The Knight	Stabbed with a Nail by the Knight	
<10> Mawlurk	The Knight	Stabbed with a Nail by the Knight	
<10> Mossy Vagabond	The Knight	Stabbed with a Nail by the Knight	
<10> Royal Retainer	The Knight	Stabbed with a Nail by the Knight	
<10> Wingmould	The Knight	Stabbed with a Nail by the Knight	
<12> Hive Guardian	The Knight	Stabbed with a Nail by the Knight	
<12> Ooma	The Knight	Stabbed with a Nail by the Knight	
<15> Ambloom	The Knight	Stabbed with a Nail by the Knight	
<15> Armoured Squit	The Knight	Stabbed with a Nail by the Knight	
<15> Aspid Mother	The Knight	Stabbed with a Nail by the Knight	
<15> Battle Obble	The Knight	Stabbed with a Nail by the Knight	
<15> Belfly	The Knight	Stabbed with a Nail by the Knight	
<15> Carver Hatcher	The Knight	Stabbed with a Nail by the Knight	
<15> Corpse Creeper	The Knight	Stabbed with a Nail by the Knight	
<15> Crystal Crawler	The Knight	Stabbed with a Nail by the Knight	
<15> Crystallised Husk	The Knight	Stabbed with a Nail by the Knight	
<15> Death Loodle	The Knight	Stabbed with a Nail by the Knight	
<15> Flukefey	The Knight	Stabbed with a Nail by the Knight	
<15> Folly	The Knight	Stabbed with a Nail by the Knight	
<15> Fool Eater	The Knight	Stabbed with a Nail by the Knight	
<15> Furious Vengefly	The Knight	Stabbed with a Nail by the Knight	
<15> Glimback	The Knight	Stabbed with a Nail by the Knight	
<15> Gulka	The Knight	Stabbed with a Nail by the Knight	
<15> Hive Soldier	The Knight	Stabbed with a Nail by the Knight	
<15> Loodle	The Knight	Stabbed with a Nail by the Knight	
<15> Mantis Traitor	The Knight	Stabbed with a Nail by the Knight	
<15> Maskfly	The Knight	Stabbed with a Nail by the Knight	
<15> Moss Charger	The Knight	Stabbed with a Nail by the Knight	
<15> Shardmite	The Knight	Stabbed with a Nail by the Knight	
<15> Slobbering Husk	The Knight	Stabbed with a Nail by the Knight	
<15> Stalking Devout	The Knight	Stabbed with a Nail by the Knight	
<15> Violent Husk	The Knight	Stabbed with a Nail by the Knight	
<15> Volatile Gruzzer	The Knight	Stabbed with a Nail by the Knight	
<16> Mantis Petra	The Knight	Stabbed with a Nail by the Knight	
<1> Aluba	The Knight	Stabbed with a Nail by the Knight	
<1> Elder Baldur	The Knight	Stabbed with a Nail by the Knight	
<1> Grimmkin Master	The Knight	Stabbed with a Nail by the Knight	
<1> Grimmkin Nightmare	The Knight	Stabbed with a Nail by the Knight	
<1> Grimmkin Novice	The Knight	Stabbed with a Nail by the Knight	
<20> Aspid Hunter	The Knight	Stabbed with a Nail by the Knight	
<20> Baldur	The Knight	Stabbed with a Nail by the Knight	
<20> Boofly	The Knight	Stabbed with a Nail by the Knight	
<20> Crystal Hunter	The Knight	Stabbed with a Nail by the Knight	
<20> Deephunter	The Knight	Stabbed with a Nail by the Knight	
<20> Flukemon	The Knight	Stabbed with a Nail by the Knight	
<20> Fungoon	The Knight	Stabbed with a Nail by the Knight	
<20> Heavy Fool	The Knight	Stabbed with a Nail by the Knight	
<20> Heavy Sentry	The Knight	Stabbed with a Nail by the Knight	
<20> Husk Miner	The Knight	Stabbed with a Nail by the Knight	
<20> Hwurmp	The Knight	Stabbed with a Nail by the Knight	
<20> Lightseed	The Knight	Stabbed with a Nail by the Knight	
<20> Little Weaver	The Knight	Stabbed with a Nail by the Knight	
<20> Obble	The Knight	Stabbed with a Nail by the Knight	
<20> Pilflip	The Knight	Stabbed with a Nail by the Knight	
<20> Shadow Creeper	The Knight	Stabbed with a Nail by the Knight	
<20> Sharp Baldur	The Knight	Stabbed with a Nail by the Knight	
<20> Shrumal Warrior	The Knight	Stabbed with a Nail by the Knight	
<20> Shrumeling	The Knight	Stabbed with a Nail by the Knight	
<20> Soul Twister	The Knight	Stabbed with a Nail by the Knight	
<20> Spiny Husk	The Knight	Stabbed with a Nail by the Knight	
<20> Sporg	The Knight	Stabbed with a Nail by the Knight	
<20> Uoma	The Knight	Stabbed with a Nail by the Knight	
<25> Cowardly Husk	The Knight	Stabbed with a Nail by the Knight	
<25> Deepling	The Knight	Stabbed with a Nail by the Knight	
<25> Gluttonous Husk	The Knight	Stabbed with a Nail by the Knight	
<25> Gruzzer	The Knight	Stabbed with a Nail by the Knight	
<25> Hopper	The Knight	Stabbed with a Nail by the Knight	
<25> Husk Dandie	The Knight	Stabbed with a Nail by the Knight	
<25> Husk Sentry	The Knight	Stabbed with a Nail by the Knight	
<25> Lance Sentry	The Knight	Stabbed with a Nail by the Knight	
<25> Mantis Warrior	The Knight	Stabbed with a Nail by the Knight	
<25> Mantis Youth	The Knight	Stabbed with a Nail by the Knight	
<25> Mistake	The Knight	Stabbed with a Nail by the Knight	
<25> Mossfly	The Knight	Stabbed with a Nail by the Knight	
<25> Mosskin	The Knight	Stabbed with a Nail by the Knight	
<25> Primal Aspid	The Knight	Stabbed with a Nail by the Knight	
<25> Shielded Fool	The Knight	Stabbed with a Nail by the Knight	
<25> Sibling	The Knight	Stabbed with a Nail by the Knight	
<25> Squit	The Knight	Stabbed with a Nail by the Knight	
<25> Sturdy Fool	The Knight	Stabbed with a Nail by the Knight	
<25> Volatile Mosskin	The Knight	Stabbed with a Nail by the Knight	
<25> Winged Fool	The Knight	Stabbed with a Nail by the Knight	
<2> Kingsmould	The Knight	Stabbed with a Nail by the Knight	
<2> Maggot	The Knight	Stabbed with a Nail by the Knight	
<2> Soul Warrior	The Knight	Stabbed with a Nail by the Knight	
<2> Vengefly King	The Knight	Stabbed with a Nail by the Knight	
<30> Aspid Hatchling	The Knight	Stabbed with a Nail by the Knight	
<30> Fungling	The Knight	Stabbed with a Nail by the Knight	
<30> Hiveling	The Knight	Stabbed with a Nail by the Knight	
<30> Mosscreep	The Knight	Stabbed with a Nail by the Knight	
<30> Tiktik	The Knight	Stabbed with a Nail by the Knight	
<30> Winged Sentry	The Knight	Stabbed with a Nail by the Knight	
<35> Dirtcarver	The Knight	Stabbed with a Nail by the Knight	
<35> Husk Bully	The Knight	Stabbed with a Nail by the Knight	
<35> Husk Hornhead	The Knight	Stabbed with a Nail by the Knight	
<35> Leaping Husk	The Knight	Stabbed with a Nail by the Knight	
<35> Wandering Husk	The Knight	Stabbed with a Nail by the Knight	
<3> Gruz Mother	The Knight	Stabbed with a Nail by the Knight	
<3> Oblobble	The Knight	Stabbed with a Nail by the Knight	
<45> Vengefly	The Knight	Stabbed with a Nail by the Knight	
<5> Bluggsac	The Knight	Stabbed with a Nail by the Knight	
<5> Grub Mimic	The Knight	Stabbed with a Nail by the Knight	
<6> Husk Guard	The Knight	Stabbed with a Nail by the Knight	
<6> Volt Twister	The Knight	Stabbed with a Nail by the Knight	
<6> Watcher Knight	The Knight	Stabbed with a Nail by the Knight	
<8> Duranda	The Knight	Stabbed with a Nail by the Knight	
<8> Durandoo	The Knight	Stabbed with a Nail by the Knight	
<8> Flukemunga	The Knight	Stabbed with a Nail by the Knight	
<8> Moss Knight	The Knight	Stabbed with a Nail by the Knight	
<8> Shrumal Ogre	The Knight	Stabbed with a Nail by the Knight	
Absolute Radiance	The Knight | Void Entity	Slashed by the Knight's shade fused with the Void Entity (Delicate Flower Ending)	determinant
Absolute Radiance	The Knight | Void Entity	Slashed by the Knight's shade fused with the Void Entity (Embrace the Void Ending)	determinant
Atra		Died from unknown causes (spirit remained)	physical
Blue Child Joni		Died from unknown causes (spirit remained)	physical
Boss		Died from unknown causes (spirit remained)	physical
Broken Vessel		Died from unknown causes (reanimated by the Infection)	undead
Broken Vessel	The Knight	Stabbed with a Nail by the Knight (spirit remained as Lost Kin)	physical
Brooding Mawlek	The Knight	Stabbed with a Nail by the Knight	
Caelif Orthop		Died from unknown causes (spirit remained)	physical
Caspian		Died from unknown causes (spirit remained)	physical
Cloth		Passed on after speaking to the Knight	
Cloth	Traitor Lord	Impaled by the Traitor Lord (dependent on player choice, spirit lingered)	determinant | physical
Crystal Guardian	The Knight	Stabbed with a Nail by the Knight	
Dr Chagax		Died from unknown causes (spirit remained)	physical
Dryaa		Overwhelmed and murdered by the Mantis Traitors	
Elder Hu		Murdered by the Mantis tribe (spirit remained)	physical
Elder Hu	The Knight	Absorbed within the Dream Nail by the Knight	
Failed Champion	The Knight	Absorbed within the Dream Nail by the Knight	
False Knight	The Knight	Stabbed with a Nail by the Knight (spirit remained as Failed Champion)	physical
Fera Orthop		Died from unknown causes (spirit remained)	physical
Flukemarm	The Knight	Stabbed with a Nail by the Knight	
Galien		Murdered by the creatures of Deepnest (spirit remained)	physical
Galien	The Knight	Absorbed within the Dream Nail by the Knight	
Garro		Died from unknown causes (spirit remained)	physical
God Tamer's Beast	The Knight	Stabbed with a Nail by the Knight	
Gods of Rain		Died from unknown causes	
Gods of Thunder		Died from unknown causes	
Godseeker		Disintegrated by the Delicate Flower (Delicate Flower Ending)	determinant
Godseeker	Void Entity	Overtaken by the Void Entity (Embrace the Void Ending)	determinant
Gorb		Died from unknown causes (spirit remained)	physical
Gorb	The Knight	Absorbed within the Dream Nail by the Knight	
Gorgeous Husk	The Knight	Stabbed with a Nail by the Knight	
Gravedigger		Died from unknown causes (spirit remained)	physical
Grohac		Died from unknown causes (spirit remained)	physical
Herrah the Beast	The Knight	Stabbed with a Nail in her dreams by the Knight	
Hex		Died from unknown causes (spirit remained)	physical
Hive Knight	The Knight	Stabbed with a Nail by the Knight	
Hive Queen Vespa	The Radiance	Died from the Infection caused by the Radiance (spirit remained)	physical
Hundred Nail Warrior		Died from unknown causes (spirit remained)	physical
Isma		Died from unknown causes	
Karina		Died from unknown causes (spirit remained)	physical
Kcin		Died from unknown causes (spirit remained)	physical
Leg Eater	Divine	Devoured by Divine	
Lost Kin	The Knight	Absorbed within the Dream Nail by the Knight	
Lurien the Watcher	The Knight	Stabbed with a Nail in his dreams by the Knight	
Magnus Strong		Died from unknown causes (spirit remained)	physical
Marissa		Died from unknown causes (spirit remained)	physical
Markoth		Murdered by the creatures of Kingdom's Edge (spirit remained)	physical
Markoth	The Knight	Absorbed within the Dream Nail by the Knight	
Marmu		Died from unknown causes (spirit remained)	physical
Marmu	The Knight	Absorbed within the Dream Nail by the Knight	
Menderbug	The Knight	Stabbed with a Nail by the Knight	
Millybug		Died from unknown causes (spirit remained)	physical
Molten		Died from unknown causes (spirit remained)	physical
Monomon the Teacher	The Knight	Stabbed with a Nail in her dreams by the Knight	
Moss Prophet	The Radiance	Overtaken by the Infection caused by the Radiance	
Myla	The Knight	Stabbed with a Nail by the Knight (dependent on player choice)	determinant
Nailsmith	The Knight	Stabbed with a Nail by the Knight (dependent on player choice)	determinant
Nightmare King Grimm	The Knight	Stabbed with a Nail by the Knight	
No Eyes	No Eyes	Ripped her own eyes out (spirit remained)	physical
No Eyes	The Knight	Absorbed within the Dream Nail by the Knight	
Nola		Died from unknown causes	
Nosk	The Knight	Stabbed with a Nail by the Knight	
Pale Lurker	The Knight	Stabbed with a Nail by the Knight	
Perpetos Noo		Died from unknown causes (spirit remained)	physical
Poggy Thorax		Died from unknown causes (spirit remained)	physical
Pure Vessel	The Knight	Stabbed with a Nail by the Knight	
Quirrel	Quirrel	Died after removing his mask	
Revek		Died from unknown causes (spirit remained)	physical
Soul Master	The Knight	Stabbed with a Nail by the Knight (spirit remained as Soul Tyrant)	physical
Soul Tyrant	The Knight	Absorbed within the Dream Nail by the Knight	
The Collector	The Knight	Stabbed with a Nail by the Knight	
The Hollow Knight	The Knight	Stabbed with a Nail by the Knight (Dream No More Ending)	determinant
The Hollow Knight	The Knight	Stabbed with a Nail by the Knight (Sealed Siblings Ending)	determinant
The Hollow Knight	The Knight	Stabbed with a Nail by the Knight (The Hollow Knight Ending)	determinant
The Knight	The Knight	Broke their own shell to defeat the Absolute Radiance (stayed conscious within the Void) (Delicate Flower Ending)	determinant | physical
The Knight	The Knight	Broke their own shell to defeat the Absolute Radiance (stayed conscious within the Void) (Embrace the Void Ending)	determinant | physical
The Knight	The Knight	Broke their own shell to defeat the Radiance (stayed conscious within the Void) (Dream No More Ending)	determinant | physical
The Pale King		Died from unknown causes	
The Pale Wyrm		Died from unknown causes (reborn as the Pale King)	reincarnated
The Radiance	The Knight	Slashed by the Knight's shade (Dream No More Ending)	determinant
The Traitors' Child		Died from unknown causes (spirit remained)	physical
Thistlewind		Died from unknown causes (spirit remained)	physical
Tiso	Brooding Mawlek	Crushed by the Brooding Mawlek	
Traitor Lord	Cloth	Bashed on the head by Cloth (dependent on player choice)	determinant
Traitor Lord	The Knight	Stabbed with a Nail by the Knight	
Troupe Master Grimm	The Knight	Stabbed with a Nail in his dreams by the Knight (dependent on player choice)	determinant
Tuk	The Radiance	Overtaken by the Infection caused by the Radiance	
Uumuu	Knight	Stabbed with a Nail by the Knight	
Void Entity		Disintegrated by the Delicate Flower (Delicate Flower Ending)	determinant
Waldie		Died from unknown causes (spirit remained)	physical
Wayner		Died from unknown causes (spirit remained)	physical
Winged Nosk	The Knight	Stabbed with a Nail by the Knight	
Wyatt		Died from unknown causes (spirit remained)	physical
Xero	Pale King	Executed after being sentenced by the Pale King (spirit remained)	physical
Xero	The Knight	Absorbed within the Dream Nail by the Knight	
Ze'mer		Passed on after the Knight delivers a flower to the grave of her lover	
Zote the Mighty		Eaten by a Vengefly King (dependent on player choice)	determinant
