character	killed by	death	type
<1,089> Dark Continent expeditioners		Annihilated by the Hellbell	
<100> 287th Hunter Exam examinees		Devoured by Noggin Lugging Tortoises	
<100> henchmen of Seaquant	Mike | Zebro | Canary	Fed to Mike by Zebro after being incapacitated by Canary	
<10> Ten Dons	Illumi Zoldyck | Maha Zoldyck | Kalluto Zoldyck | Chrollo Lucilfer	Assassinated by Illumi Zoldyck, Maha Zoldyck and Kalluto Zoldyck, hired by Chrollo Lucilfer	
<12,905> Republic of East Gorteau soldiers	Neferpitou | Meruem	Murdered by Neferpitou during the Royal Selection ordered by Meruem	
<122> other Kurta Clan villagers	Phantom Troupe (Kurta Clan Massacre)	Massacred by the Phantom Troupe	
<13> people	Nanika | Milluki Zoldyck	Murdered by Nanika on orders from Milluki Zoldyck	
<146> victims	Johness	Torn into pieces by Johness	
<15> people	Milluki Zoldyck | Silva Zoldyck	Assassinated by Milluki Zoldyck in order to borrow money from Silva Zoldyck	
<1> 287th Hunter Exam Examinee #86		Devoured by a Six-legged Flying Beast	
<1> Fish	Agon | Menchi	Fished by Agon during the Second Phase of the 287th Hunter Exam proctored by Menchi	
<1> Fish	Amori | Menchi	Fished by Amori during the Second Phase of the 287th Hunter Exam proctored by Menchi	
<1> Fish	Bodoro | Menchi	Fished by Bodoro during the Second Phase of the 287th Hunter Exam proctored by Menchi	
<1> Fish	Bourbon | Menchi	Fished by Bourbon during the Second Phase of the 287th Hunter Exam proctored by Menchi	
<1> Fish	Geretta | Menchi	Fished by Geretta during the Second Phase of the 287th Hunter Exam proctored by Menchi	
<1> Fish	Gon Freecss | Menchi	Fished by Gon Freecss during the Second Phase of the 287th Hunter Exam proctored by Menchi	
<1> Fish	Goz | Menchi	Fished by Goz during the Second Phase of the 287th Hunter Exam proctored by Menchi	
<1> Fish	Hanzo | Menchi	Fished by Hanzo during the Second Phase of the 287th Hunter Exam proctored by Menchi	
<1> Fish	Hisoka Morow | Menchi	Fished by Hisoka Morow during the Second Phase of the 287th Hunter Exam proctored by Menchi	
<1> Fish	Illumi Zoldyck | Menchi	Fished by Illumi Zoldyck during the Second Phase of the 287th Hunter Exam proctored by Menchi	
<1> Fish	Imori | Menchi	Fished by Imori during the Second Phase of the 287th Hunter Exam proctored by Menchi	
<1> Fish	Kenmi | Menchi	Fished by Kenmi during the Second Phase of the 287th Hunter Exam proctored by Menchi	
<1> Fish	Killua Zoldyck | Menchi	Fished by Killua Zoldyck during the Second Phase of the 287th Hunter Exam proctored by Menchi	
<1> Fish	Kurapika | Menchi	Fished by Kurapika during the Second Phase of the 287th Hunter Exam proctored by Menchi	
<1> Fish	Kyu | Menchi	Fished by Kyu during the Second Phase of the 287th Hunter Exam proctored by Menchi	
<1> Fish	Leorio Paradinight | Menchi	Fished by Leorio Paradinight during the Second Phase of the 287th Hunter Exam proctored by Menchi	
