character	killed by	death	type
<1,000+> transfigured humans	Satoru Gojo | Mahito	Annihilated by Satoru Gojo after being transfigured by Mahito during the Shibuya Incident	
<1,922+> other Cursed Spirits	Masamichi Yaga	Exorcised by jujutsu sorcerers during the Night Parade of a Hundred Demons, sorcerers led by Masamichi Yaga	
<10+> Cursed Spirits	Kento Nanami | Masamichi Yaga	Slashed by Kento Nanami during the Night Parade of a Hundred Demons on orders from Masamichi Yaga	
<14+> players	Kurourushi | Kenjaku	Murdered by Kurourushi during the Culling Game orchestrated by Kenjaku	
<14+> players	Takako Uro | Kenjaku	Murdered by Takako Uro during the Culling Game orchestrated by Kenjaku	
<17+> players	Ryu Ishigori | Kenjaku	Murdered by Ryu Ishigori during the Culling Game orchestrated by Kenjaku	
<19+> players	Dhruv Lakdawalla | Kenjaku	Murdered by Dhruv Lakdawalla during the Culling Game orchestrated by Kenjaku	
<1> Anglerfish-like Curse	Rika Orimoto | Yuta Okkotsu	Crushed by Rika Orimoto on orders from Yuta Okkotsu	
<1> Cursed Spirit	Nobara Kugisaki | Satoru Gojo	Head blasted by Nobara Kugisaki while on assignment from Satoru Gojo	
<1> Cursed Spirit	Nobara Kugisaki | Yuji Itadori | Satoru Gojo	Blasted by Nobara Kugisaki after having its arm cut off by Yuji Itadori while on assignment from Satoru Gojo	
<1> Cursed Spirit	Satoru Gojo | Masamichi Yaga	Obliterated by Satoru Gojo during the Night Parade of a Hundred Demons on orders from Masamichi Yaga	
<1> Cursed Spirit	Sukuna | Yuji Itadori	Annihilated by Sukuna while possessing Yuji Itadori	
<1> Cursed Spirit	Yuji Itadori	Punched by Yuji Itadori	
<1> Cursed Spirit	Yuji Itadori | Satoru Gojo	Stabbed in the head by Yuji Itadori while on assignment from Satoru Gojo	
<1> Finger Bearer	Megumi Fushiguro	Stabbed through the chest from behind by Megumi Fushiguro's Divine Dog	
<1> Finger Bearer	Sukuna | Yuji Itadori	Annihilated by Sukuna while possessing Yuji Itadori	
<1> Mei Mei's crow	Mei Mei	Blew itself up on orders from Mei Mei	
<1> Semi-Grade 1 Curse	Toge Inumaki | Satoru Gojo	Crushed by Toge Inumaki's cursed speech while on assignment from Satoru Gojo	
<1> Special Grade Cursed Spirit	Aoi Todo | Masamichi Yaga	Exorcised by Aoi Todo during the Night Parade of a Hundred Demons on orders from Masamichi Yaga	
<1> Toji Fushiguro's Inventory Curse	Satoru Gojo	Obliterated by Satoru Gojo	
<1> Yasohachi Bridge Curse	Megumi Fushiguro	Head sliced off by Megumi Fushiguro's Divine Dog	
<1> daughter		Murdered in a double homicide	
<1> giant Cursed Spirit	Rika Orimoto | Yuta Okkotsu | Satoru Gojo	Face torn apart by Rika Orimoto on orders from Yuta Okkotsu, while on assignment from Satoru Gojo	
<1> judge	Hiromi Higuruma	Murdered by Hiromi Higuruma	
<1> man	Ko-Guy	Head devoured by Ko-Guy	
<1> mother		Murdered in a double homicide	
<1> prosecutor	Hiromi Higuruma	Murdered by Hiromi Higuruma	
<1> transfigured human	Kento Nanami | Mahito	Legs chopped off by Kento Nanami after being transfigured by Mahito	
<1> transfigured human	Yuji Itadori | Mahito | Satoru Gojo	Punched by Yuji Itadori after being transfigured by Mahito, while on assignment from Satoru Gojo	
<2+> Cursed Spirits	Kasumi Miwa | Masamichi Yaga	Cut down by Kasumi Miwa during the Night Parade of a Hundred Demons on orders from Masamichi Yaga	
<2+> Cursed Spirits	Kokichi Muta | Masamichi Yaga	Blown up by Kokichi Muta during the Night Parade of a Hundred Demons on orders from Masamichi Yaga	
<2+> Cursed Spirits	Mai Zenin | Masamichi Yaga	Shot by Mai Zenin during the Night Parade of a Hundred Demons on orders from Masamichi Yaga	
<2+> Cursed Spirits	Noritoshi Kamo | Masamichi Yaga	Shot with arrows by Noritoshi Kamo during the Night Parade of a Hundred Demons on orders from Masamichi Yaga	
<2+> Mei Mei's crows	Kenjaku	Struck down by Kenjaku	
<2+> Mei Mei's crows	Sukuna | Megumi Fushiguro	Struck down by Sukuna while possessing Megumi Fushiguro	
<20+> men of the Kukuru Unit	Maki Zenin | Mai Zenin	Slaughtered by Maki Zenin on request from Mai Zenin	
<22+> players	Hiromi Higuruma | Kenjaku	Murdered by Hiromi Higuruma during the Culling Game orchestrated by Kenjaku	
<3+> Cursed Spirits	Megumi Fushiguro	Mauled by Megumi Fushiguro's Divine Dogs	
<3+> Cursed Spirits	Takuma Ino | Masamichi Yaga	Exorcised by Takuma Ino during the Night Parade of a Hundred Demons on orders from Masamichi Yaga	
<3+> civilians	Jogo | Hanami | Choso	Cut down by Jogo, Hanami and Choso during the Shibuya Incident	
<3+> fish Cursed Spirit	Toge Inumaki | Satoru Gojo	Exploded by Toge Inumaki's cursed speech while on assignment from Satoru Gojo	
<3+> jujutsu sorcerers	Suguru Geto	Murdered by Cursed Spirits during the Night Parade of a Hundred Demons organised by Suguru Geto	
<3+> transfigured humans	Maki Zenin | Mahito	Sliced apart by Maki Zenin after being transfigured by Mahito during the Shibuya Incident	
<3+> transfigured humans	Mei Mei | Mahito	Slain by Mei Mei after being transfigured by Mahito during the Shibuya Incident	
<3+> transfigured humans	Yuji Itadori | Mahito	Slain by Yuji Itadori after being transfigured by Mahito during the Shibuya Incident	
<3> former Saitama Urami East Junior High students		Murdered by Cursed Spirits	
<3> managers	Mimiko Hasaba | Nanako Hasaba | Suguru Geto	Hanged by Mimiko Hasaba and Nanako Hasaba on orders from Suguru Geto during the Night Parade of a Hundred Demons	
<3> one-eyed Cursed Spirits	Maki Zenin | Satoru Gojo	Slashed in half by Maki Zenin while on assignment from Satoru Gojo	
<4,461+> Cursed Spirits	Rika Orimoto | Yuta Okkotsu	Blown up by Rika Orimoto on orders from Yuta Okkotsu during his fight against Suguru Geto	
<40+> players	Hajime Kashimo | Kenjaku	Murdered by Hajime Kashimo during the Culling Game orchestrated by Kenjaku	
<5+> Cursed Spirits	Nobara Kugisaki	Exorcised by Nobara Kugisaki in the dark	
<50+> Cursed Spirits	Mei Mei | Masamichi Yaga	Exorcised by Mei Mei during the Night Parade of a Hundred Demons on orders from Masamichi Yaga	
<5> Grade 1 Cursed Spirits	Aoi Todo | Masamichi Yaga	Exorcised by Aoi Todo during the Night Parade of a Hundred Demons on orders from Masamichi Yaga	
<6+> players	Yuta Okkotsu | Kenjaku	Murdered by Yuta Okkotsu during the Culling Game orchestrated by Kenjaku	
<6> Cursed Spirits	Choso | Yuji Itadori	Shot through the head by Choso after being lured by Yuji Itadori	
<7+> players	Iori Hazenoki | Kenjaku	Murdered by Iori Hazenoki during the Culling Game orchestrated by Kenjaku	
<8+> players	Chizuru Hari | Kenjaku	Murdered by Chizuru Hari during the Culling Game orchestrated by Kenjaku	
<9+> players	Reggie Star | Kenjaku	Murdered by Reggie Star during the Culling Game orchestrated by Kenjaku	
Akuro-o Otake	Fumihiko Takaba	Run over with a truck by Fumihiko Takaba	
Angel		Died from unknown causes (reincarnated via Kenjaku in Hana Kurusu's body)	reincarnated
Chizuru Hari	Megumi Fushiguro	Slashed across the face by Megumi Fushiguro	
Chojuro Zenin	Maki Zenin | Mai Zenin	Throat ripped out by Maki Zenin on request from Mai Zenin	
Choso	Sukuna | Megumi Fushiguro	Incinerated by Sukuna's Divine Flames while possessing Megumi Fushiguro	
Dagon	Toji Fushiguro | Ogami's Grandson	Stabbed repeatedly by Toji Fushiguro while possessing Ogami's Grandson	
Dhruv Lakdawalla		Died from unknown causes (reincarnated via Kenjaku)	reincarnated
Dhruv Lakdawalla		Died from unknown causes (reincarnated via himself)	reincarnated
Dhruv Lakdawalla	Yuta Okkotsu	Slashed by Yuta Okkotsu	
Eso	Yuji Itadori | Nobara Kugisaki	Punched through the abdomen by Yuji Itadori after having his chest burst by Nobara Kugisaki	
Ganesha	Yuki Tsukumo	Exorcised by Yuki Tsukumo	
Haba	Garry K. Johnson | Kenjaku	Shot by a soldier on orders from Garry K. Johnson under manipulation by Kenjaku	
Hagane Daido		Died from unknown causes (reincarnated via Kenjaku)	reincarnated
Hajime Kashimo		Died from an illness (reincarnated via Kenjaku)	reincarnated
Hajime Kashimo	Sukuna | Megumi Fushiguro	Struck with a net of Dismantle by Sukuna while possessing Megumi Fushiguro	
Hanami	Satoru Gojo	Crushed against a wall by Satoru Gojo	
Haruta Shigemo	Sukuna | Yuji Itadori	Cut in half vertically by Sukuna while possessing Yuji Itadori	
Honda	Mahito	Fatally wounded after having his body transfigured by Mahito	
Iori Hazenoki		Died from unknown causes (reincarnated via Kenjaku)	reincarnated
Iori Hazenoki	Kenjaku	Struck in the neck by Kenjaku	
Jinichi Zenin	Maki Zenin | Mai Zenin	Decapitated by Maki Zenin on request from Mai Zenin	
Jogo	Sukuna | Yuji Itadori	Incinerated by Sukuna's Divine Flames while possessing Yuji Itadori	
Junpei Yoshino	Mahito	Turned into an abomination by Mahito and perished	
Kaori Itadori		Died from unknown causes	
Kechizu	Nobara Kugisaki | Yuji Itadori	Head blown up by Nobara Kugisaki after being beaten by Yuji Itadori	
Kenjaku	Yuta Okkotsu | Aoi Todo | Fumihiko Takaba	Decapitated by Yuta Okkotsu, after being switched by Aoi Todo and being distracted by Fumihiko Takaba	
Kento Nanami	Mahito | Jogo	Upper body exploded by Mahito after being grievously burned by Jogo	
Ko-Guy	Yuji Itadori	Exorcised by Yuji Itadori	
Kokichi Muta	Mahito	Brutally murdered by Mahito	
Kuchisake-Onna	Toji Fushiguro	Cut down by Toji Fushiguro	
Kurourushi	Yuta Okkotsu	Desintegrated by Yuta Okkotsu (later reborn)	reincarnated
Kurourushi	Yuta Okkotsu	Head exploded by Yuta Okkotsu	
Mahito	Kenjaku | Yuji Itadori	Absorbed by Kenjaku after being almost exorcised by Yuji Itadori	
Mai Zenin	Mai Zenin | Ogi Zenin	Used the last of her strength to create a katana for Maki after having been stabbed by Ogi Zenin	
Maki's Mother	Maki Zenin | Mai Zenin	Fatally wounded by Maki Zenin on request from Mai Zenin	
Manami Suda	Jogo | Sukuna | Yuji Itadori	Caught in the blast of a meteor sent by Jogo after being prevented to leave in time by Sukuna, who was possessing Yuji Itadori	
Masamichi Yaga	Yoshinobu Gakuganji	Fatally wounded in a fight with Yoshinobu Gakuganji	
Mimiko Hasaba	Sukuna | Yuji Itadori	Head sliced off by Sukuna while possessing Yuji Itadori	
Misato Kuroi	Toji Fushiguro	Mortally wounded by Toji Fushiguro	
Nagi Yoshino	Mahito | Kenjaku	Lower half eaten by a Cursed Spirit after it was lured in her house by Mahito and Kenjaku	
Nanako Hasaba	Sukuna | Yuji Itadori	Sliced into bits by Sukuna while possessing Yuji Itadori	
Naobito Zenin	Jogo	Fatally burned by Jogo	
Naoya Zenin	Maki Zenin | Mai Zenin	Cut in half by Maki Zenin on request from Mai Zenin	
Naoya Zenin	Maki's Mother | Maki Zenin | Mai Zenin	Stabbed in the back by Maki's Mother after being fatally wounded by Maki Zenin on request from Mai Zenin (returned as a Cursed Spirit)	undead
Niji Ebina	Mei Mei	Decapitated by Mei Mei	
Nishimura	Mahito	Fatally wounded after having his body transfigured by Mahito	
Nobuaki Zenin	Maki Zenin | Mai Zenin	Neck pierced by Maki Zenin on request from Mai Zenin	
Noritoshi Kamo (Ancestor)		Died from unknown causes	
Ogami	Toji Fushiguro | Ogami's Grandson	Murdered by Toji Fushiguro while possessing Ogami's Grandson	
Ogami's Grandson	Toji Fushiguro | Ogami's Grandson	Soul and body overwritten by Toji Fushiguro, eventually physically stabbed in the head by him	
Ogi Zenin	Maki Zenin | Mai Zenin	Head sliced in half by Maki Zenin on request from Mai Zenin	
Rainbow Dragon	Toji Fushiguro	Sliced apart by Toji Fushiguro	
Ranta Zenin	Ranta Zenin | Maki Zenin | Mai Zenin	Overused his technique while fighting Maki Zenin, who was slaughtering the Zenin clan on request from Mai Zenin	
Reggie Star		Died from unknown causes (reincarnated via Kenjaku)	reincarnated
Reggie Star	Megumi Fushiguro	Left shoulder and ear torn off by one of Megumi Fushiguro's Shikigami	
Rika Orimoto		Head crushed in a car accident (returned as a Cursed Spirit haunting Yuta)	undead
Rika Orimoto	Yuta Okkotsu	Curse dispelled by Yuta Okkotsu	
Riko Amanai	Toji Fushiguro	Shot in the head by Toji Fushiguro	
Rokujushi Miyo		Died from unknown causes (reincarnated via Kenjaku)	reincarnated
Ryu Ishigori		Died from unknown causes (reincarnated via Kenjaku)	reincarnated
Ryu Ishigori	Sukuna | Megumi Fushiguro	Head sliced open horizontally by Sukuna while possessing Megumi Fushiguro	
Satoru Gojo	Sukuna | Megumi Fushiguro	Cut in half by Sukuna while possessing Megumi Fushiguro	
Sayama	Mahito	Fatally wounded after having his body transfigured by Mahito	
Shigeru Sonoda	Suguru Geto	Brutally crushed by Suguru Geto	
Shiori Himi	Uraume | Shiori Himi	Body took over and neck eventually bisected by Uraume	
Smallpox Deity	Mei Mei	Exorcised by one of Mei Mei's crows	
Suguru Geto	Satoru Gojo | Yuta Okkotsu	Murdered by Satoru Gojo after being grievously wounded by Yuta Okkotsu	
Sukuna		Died from unknown causes (reincarnated via his fingers in Yuji Itadori's body)	reincarnated
Sukuna	Yuji Itadori	Desintegrated after being forced out of Megumi's body by Yuji Itadori	
Tadashi Okazaki		Murdered by a Cursed Spirit	
Taichi Kanada		Stabbed by a Cursed Spirit	
Takako Uro		Executed after being sentenced to death by an unknown man (reincarnated via Kenjaku)	reincarnated
Tengen	Kenjaku	Murdered by Kenjaku	
Toji Fushiguro	Satoru Gojo	Torso blown open by Satoru Gojo (later resurrected by Ogami)	revived
