character	killed by	death	type
<1> Darkside	Aqua	Slain by Aqua	
<1> Darkside	Aqua	Slain by Aqua	
<1> Darkside	Aqua	Slain by Aqua (In the Mirror)	
<1> Demon Tide	Aqua	Slain by Aqua	
<1> Demon Tower	Aqua	Slain by Aqua	
<1> Demon Tower	Aqua	Slain by Aqua (In the Mirror)	
<1> Demon Tower	Aqua | Mickey Mouse	Slain by Aqua and Mickey Mouse	
<1> Phantom Aqua	Aqua	Destroyed by Aqua	
<1> Phantom Aqua	Aqua	Destroyed by Aqua	
<1> Phantom Aqua	Aqua	Destroyed by Aqua	
<1> Phantom Aqua	Aqua	Destroyed by Aqua (In the Mirror)	
<20> Earth Core	Aqua	Slain by Aqua (Objective 6)	
<20> Water Core	Aqua	Slain by Aqua (Objective 5)	
<30> Heartless	Aqua	Slain by Aqua using fire-based magic (Objective 11)	
<30> Heartless	Aqua	Slain by Aqua using ice-based magic (Objective 12)	
<30> Heartless	Aqua	Slain by Aqua using lightning-based magic (Objective 13)	
<30> Neoshadow	Aqua	Slain by Aqua (Objective 4)	
<30> Shadow	Aqua	Slain by Aqua (Objective 1)	
<3> Darkside	Aqua	Slain by Aqua (Objective 32)	
<40> Flame Core	Aqua	Slain by Aqua (Objective 3)	
<45> Fluttering	Aqua	Slain by Aqua (Objective 2)	
<500> Heartless	Aqua	Slain by Aqua (Heartless Hunter Trophy)	
<50> Heartless	Aqua	Slain by Aqua using a Style Change (Objective 19)	
<5> Heartless	Aqua	Frozen and shattered by Aqua (Objective 15)	
<5> Heartless	Aqua	Slain by Aqua using Counter Blast (Objective 10)	
<5> Heartless	Aqua	Slain by Aqua while in midair (Objective 17)	
