character	killed by	death	type
<1+> Aerial Master	Roxas | Saïx | Xemnas	Slain by Roxas, mission assigned by Saïx on orders from Xemnas (Mission 68)	
<1+> Aerial Master	Roxas | Xion | Saïx | Xemnas	Slain by Roxas and Xion, mission assigned by Saïx on orders from Xemnas (Mission 82)	
<1+> Air Battler	Roxas | Axel | Saïx | Xemnas	Slain by Roxas and Axel, mission assigned by Saïx on orders from Xemnas (Mission 58)	
<1+> Air Battler	Roxas | Axel | Saïx | Xemnas	Slain by Roxas and Axel, mission assigned by Saïx on orders from Xemnas (Mission 64)	
<1+> Bad Dog	Roxas | Saïx | Xemnas	Slain by Roxas, mission assigned by Saïx on orders from Xemnas (Mission 22)	
<1+> Bad Dog	Roxas | Saïx | Xemnas	Slain by Roxas, mission assigned by Saïx on orders from Xemnas (Mission 50)	
<1+> Bad Dog	Roxas | Saïx | Xemnas	Slain by Roxas, mission assigned by Saïx on orders from Xemnas (Mission 83)	
<1+> Bad Dog	Roxas | Xigbar | Saïx | Xemnas	Slain by Roxas and Xigbar, mission assigned by Saïx on orders from Xemnas (Mission 49)	
<1+> Blizzard Plant	Roxas | Luxord | Saïx | Xemnas	Slain by Roxas and Luxord, mission assigned by Saïx on orders from Xemnas (Mission 51)	
<1+> Blizzard Plant	Roxas | Luxord | Saïx | Xemnas	Slain by Roxas and Luxord, mission assigned by Saïx on orders from Xemnas (Mission 57)	
<1+> Blizzard Plant	Roxas | Xigbar | Saïx | Xemnas	Slain by Roxas and Xigbar, mission assigned by Saïx on orders from Xemnas (Mission 67)	
<1+> Bubble Beat	Roxas | Saïx | Xemnas	Slain by Roxas, mission assigned by Saïx on orders from Xemnas (Mission 76)	
<1+> Bully Dog	Roxas | Saïx | Xemnas	Slain by Roxas, mission assigned by Saïx on orders from Xemnas (Mission 50)	
<1+> Bully Dog	Roxas | Xaldin | Saïx | Xemnas	Slain by Roxas and Xaldin, mission assigned by Saïx on orders from Xemnas (Mission 38)	
<1+> Carrier Ghost	Roxas | Xigbar | Saïx | Xemnas	Slain by Roxas and Xigbar, mission assigned by Saïx on orders from Xemnas (Mission 79)	
<1+> Creepworm	Roxas | Saïx | Xemnas	Slain by Roxas, mission assigned by Saïx on orders from Xemnas (Mission 62)	
<1+> Creepworm	Roxas | Zero | Saïx | Xemnas	Slain by Roxas, location exposed by Zero, mission assigned by Saïx on orders from Xemnas (Mission 45)	
<1+> Creepworm	Roxas | Zero | Saïx | Xemnas	Slain by Roxas, location exposed by Zero, mission assigned by Saïx on orders from Xemnas (Mission 52)	
<1+> Cymbal Monkey	Roxas | Xion | Saïx | Xemnas	Slain by Roxas and Xion, mission assigned by Saïx on orders from Xemnas (Mission 25)	
<1+> Dire Plant	Roxas | Axel | Saïx | Xemnas	Slain by Roxas and Axel, mission assigned by Saïx on orders from Xemnas (Mission 74)	
<1+> Dire Plant	Roxas | Larxene | Saïx | Xemnas	Slain by Roxas and Larxene, mission assigned by Saïx on orders from Xemnas (Mission 08)	
<1+> Dire Plant	Roxas | Saïx | Xemnas	Slain by Roxas, mission assigned by Saïx on orders from Xemnas (Mission 16)	
<1+> Dire Plant	Roxas | Xigbar | Saïx | Xemnas	Slain by Roxas and Xigbar, mission assigned by Saïx on orders from Xemnas (Mission 15)	
<1+> Dusk	Roxas | Saïx | Xemnas	Slain by Roxas, mission assigned by Saïx on orders from Xemnas (Mission 10)	
<1+> Dusk	Roxas | Saïx | Xemnas	Slain by Roxas, mission assigned by Saïx on orders from Xemnas (Mission 71)	
<1+> Fire Plant	Roxas | Saïx | Xemnas	Slain by Roxas, mission assigned by Saïx on orders from Xemnas (Mission 18)	
<1+> Fire Plant	Roxas | Xaldin | Saïx | Xemnas	Slain by Roxas and Xaldin, mission assigned by Saïx on orders from Xemnas (Mission 48)	
<1+> Fire Plant	Roxas | Xion | Saïx | Xemnas	Slain by Roxas and Xion, mission assigned by Saïx on orders from Xemnas (Mission 24)	
<1+> Flare Note	Roxas | Demyx | Saïx | Xemnas	Slain by Roxas and Demyx, mission assigned by Saïx on orders from Xemnas (Mission 61)	
<1+> Gigas Shadow	Roxas | Saïx | Xemnas	Slain by Roxas, mission assigned by Saïx on orders from Xemnas (Mission 83)	
<1+> Gigas Shadow	Roxas | Saïx | Xemnas	Slain by Roxas, mission assigned by Saïx on orders from Xemnas (Mission 90)	
<1+> Grey Caprice	Roxas | Luxord | Saïx | Xemnas	Slain by Roxas and Luxord, mission assigned by Saïx on orders from Xemnas (Mission 51)	
