character	killed by	death	type
<10> Blue Sea Salt	Aqua	Slain by Aqua (Copycat Crisis)	
<10> Blue Sea Salt	Terra	Slain by Terra (Copycat Crisis)	
<10> Blue Sea Salt	Ventus	Slain by Ventus (Copycat Crisis)	
<10> Bruiser	Aqua	Slain by Aqua (Day of Reckoning)	
<10> Bruiser	Aqua	Slain by Aqua (Keepers of the Arena)	
<10> Bruiser	Terra	Slain by Terra (Day of Reckoning)	
<10> Bruiser	Terra	Slain by Terra (Keepers of the Arena)	
<10> Bruiser	Ventus	Slain by Ventus (Day of Reckoning)	
<10> Bruiser	Ventus	Slain by Ventus (Keepers of the Arena)	
<10> Flood	Aqua	Slain by Aqua (Dead Ringer)	
<10> Flood	Terra	Slain by Terra (Dead Ringer)	
<10> Flood	Ventus	Slain by Ventus (Dead Ringer)	
<10> Monotrucker	Aqua	Slain by Aqua (Wheels of Misfortune)	
<10> Monotrucker	Terra	Slain by Terra (Wheels of Misfortune)	
<10> Monotrucker	Ventus	Slain by Ventus (Wheels of Misfortune)	
<10> Red Hot Chili	Aqua	Slain by Aqua (Sinister Sentinel)	
<10> Red Hot Chili	Terra	Slain by Terra (Sinister Sentinel)	
<10> Red Hot Chili	Ventus	Slain by Ventus (Sinister Sentinel)	
<10> Scrapper	Aqua	Slain by Aqua (Keepers of the Arena)	
<10> Scrapper	Terra	Slain by Terra (Keepers of the Arena)	
<10> Scrapper	Ventus	Slain by Ventus (Keepers of the Arena)	
<11> Flood	Aqua	Slain by Aqua (Combined Threat)	
<11> Flood	Aqua	Slain by Aqua (Sinister Sentinel)	
<11> Flood	Terra	Slain by Terra (Combined Threat)	
<11> Flood	Terra	Slain by Terra (Sinister Sentinel)	
<11> Flood	Ventus	Slain by Ventus (Combined Threat)	
<11> Flood	Ventus	Slain by Ventus (Sinister Sentinel)	
<11> Hareraiser	Aqua	Slain by Aqua (Sinister Sentinel)	
<11> Hareraiser	Terra	Slain by Terra (Sinister Sentinel)	
<11> Hareraiser	Ventus	Slain by Ventus (Sinister Sentinel)	
<11> Red Hot Chili	Aqua	Slain by Aqua (Dead Ringer)	
<11> Red Hot Chili	Terra	Slain by Terra (Dead Ringer)	
<11> Red Hot Chili	Ventus	Slain by Ventus (Dead Ringer)	
<11> Shoegazer	Aqua	Slain by Aqua (Combined Threat)	
<11> Shoegazer	Terra	Slain by Terra (Combined Threat)	
<11> Shoegazer	Ventus	Slain by Ventus (Combined Threat)	
<11> Vile Phial	Aqua	Slain by Aqua (A Time to Chill)	
<11> Vile Phial	Aqua	Slain by Aqua (Dead Ringer)	
<11> Vile Phial	Terra	Slain by Terra (A Time to Chill)	
<11> Vile Phial	Terra	Slain by Terra (Dead Ringer)	
<11> Vile Phial	Ventus	Slain by Ventus (A Time to Chill)	
<11> Vile Phial	Ventus	Slain by Ventus (Dead Ringer)	
<12> Axe Flapper	Aqua	Slain by Aqua (Harsh Punishment)	
<12> Axe Flapper	Terra	Slain by Terra (Harsh Punishment)	
<12> Axe Flapper	Ventus	Slain by Ventus (Harsh Punishment)	
<12> Mandrake	Aqua	Slain by Aqua (Keepers of the Arena)	
<12> Mandrake	Terra	Slain by Terra (Keepers of the Arena)	
<12> Mandrake	Ventus	Slain by Ventus (Keepers of the Arena)	
<12> Spiderchest	Aqua	Slain by Aqua (Risky Riches)	
<12> Spiderchest	Terra	Slain by Terra (Risky Riches)	
<12> Spiderchest	Ventus	Slain by Ventus (Risky Riches)	
<13> Tank Toppler	Aqua	Slain by Aqua (Keepers of the Arena)	
<13> Tank Toppler	Terra	Slain by Terra (Keepers of the Arena)	
<13> Tank Toppler	Ventus	Slain by Ventus (Keepers of the Arena)	
<14> Monotrucker	Aqua	Slain by Aqua (Keepers of the Arena)	
<14> Monotrucker	Terra	Slain by Terra (Keepers of the Arena)	
<14> Monotrucker	Ventus	Slain by Ventus (Keepers of the Arena)	
<14> Red Hot Chili	Aqua	Slain by Aqua (A Time to Chill)	
<14> Red Hot Chili	Terra	Slain by Terra (A Time to Chill)	
<14> Red Hot Chili	Ventus	Slain by Ventus (A Time to Chill)	
<14> Spiderchest	Aqua	Slain by Aqua (Treasure Tussle)	
