character	killed by	death	type
<1,000> Aeroplane	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Air Soldier	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Apricot Opera	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Armored Archer	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Armored Knight	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Bad Dog	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Bag O' Jewels	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Bandit	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Blitz Spear	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Blizzard Lord	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Blue Rhapsody	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Chill Ripper	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Chomper Egg	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Creeper Plant	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Dark Plant	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Darkball	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Defender	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Dire Plant	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Driller Mole	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Earth Gargoyle	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Eggcognito	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Eliminator	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Emerald Sonata	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Fat Bandit	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Ferry Reaper	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Fire Plant	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Flame Core	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Flower Rider	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Fluttering	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Furious Reaper	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Gargoyle	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Gift Shadow	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Gigas Shadow	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Gold Tricholoma	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Gummi Hammer	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Heat Saber	Xehanort's Party	Slain by Xehanort's Party	
<1,000> High Wizard	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Hook Bat	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Huge Watermelon	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Ice Plant	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Icy Beast	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Ifrit	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Invisible	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Jack O' Lantern	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Lance Soldier	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Large Armor	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Large Body	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Large Snowman	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Margoyle	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Mega-Shadow	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Morning Star	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Nimble Bee	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Nosy Mole	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Ogre	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Paralysis Archer	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Poison Archer	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Polliwog	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Possessor	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Pot Centipede	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Pot Scorpion	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Pot Spider	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Powerwild	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Pumpkin Soldier	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Red Bandit	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Red Nocturne	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Red Rose	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Search Ghost	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Shadow	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Shiva	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Sleep Archer	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Soldier	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Sparkler	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Stinging Bee	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Strange Tree	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Swaying Spook	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Terrible Tomte	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Tornado Step	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Volcanic Lord	Xehanort's Party	Slain by Xehanort's Party	
<1,000> White Rose	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Wicked Watermelon	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Wight Knight	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Wizard	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Wyvern	Xehanort's Party	Slain by Xehanort's Party	
<1,000> Yellow Opera	Xehanort's Party	Slain by Xehanort's Party	
