character	killed by	death	type
<100> Agrabah Enemies	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus, Hermod, Bragi, Urd and Vor (Main Mission 11)	
<100> Enemies	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus, Hermod, Bragi, Urd and Vor (Main Mission 14)	
<10> Wonderland Enemies	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus, Hermod, Bragi, Urd and Vor (Main Mission 30)	
<1> Aeroplane	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus and one of Hermod, Bragi, Urd and Vor (Quest 35)	
<1> Aeroplane	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus and one of Hermod, Bragi, Urd and Vor (Quest 4)	
<1> Aeroplane	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus and one of Hermod, Bragi, Urd and Vor (Quest 46)	
<1> Armored Archer	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus and one of Hermod, Bragi, Urd and Vor (Quest 67)	
<1> Armored Knight	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus and one of Hermod, Bragi, Urd and Vor (Quest 38)	
<1> Armored Knight	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus and one of Hermod, Bragi, Urd and Vor (Quest 44)	
<1> Armored Knight	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus and one of Hermod, Bragi, Urd and Vor (Quest 66)	
<1> Bad Dog	Xehanort | Eraqus	Slain by Xehanort and Eraqus (Quest 103)	
<1> Bad Dog	Xehanort | Eraqus	Slain by Xehanort and Eraqus (Quest 104)	
<1> Bad Dog	Xehanort | Eraqus	Slain by Xehanort and Eraqus (Quest 97)	
<1> Bad Dog	Xehanort | Eraqus | Bragi	Slain by Xehanort, Eraqus and Bragi (Quest 93)	
<1> Bag O' Jewels	Xehanort | Hermod	Slain by Xehanort and Hermod (Quest 85)	
<1> Bandit	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus and one of Hermod, Bragi, Urd and Vor (Quest 16)	
<1> Bandit	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus and one of Hermod, Bragi, Urd and Vor (Quest 3)	
<1> Bandit	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus and one of Hermod, Bragi, Urd and Vor (Quest 6)	
<1> Blitz Spear	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus and one of Hermod, Bragi, Urd and Vor (Quest 51)	
<1> Blitz Spear	Xehanort | Urd	Slain by Xehanort and Urd (Quest 84)	
<1> Blizzard Lord	Xehanort | Eraqus | Hermod | Bragi | Urd	Slain by Xehanort, Eraqus and one of Hermod, Bragi and Urd (Quest 87)	
<1> Blue Rhapsody	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus and one of Hermod, Bragi, Urd and Vor (Quest 58)	
<1> Chomper Egg	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus and one of Hermod, Bragi, Urd and Vor (Quest 2)	
<1> Chomper Egg	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus and one of Hermod, Bragi, Urd and Vor (Quest 34)	
<1> Chomper Egg	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus and one of Hermod, Bragi, Urd and Vor (Quest 49)	
<1> Creeper Plant	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus and one of Hermod, Bragi, Urd and Vor (Quest 32)	
<1> Creeper Plant	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus and one of Hermod, Bragi, Urd and Vor (Quest 42)	
<1> Dark Plant	Xehanort | Eraqus	Slain by Xehanort and Eraqus (Quest 98)	
<1> Darkball	Xehanort | Eraqus	Slain by Xehanort and Eraqus (Quest 102)	
<1> Darkball	Xehanort | Eraqus	Slain by Xehanort and Eraqus (Quest 103)	
<1> Darkball	Xehanort | Eraqus	Slain by Xehanort and Eraqus (Quest 104)	
<1> Dire Plant	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus and one of Hermod, Bragi, Urd and Vor (Quest 14)	
<1> Dire Plant	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus and one of Hermod, Bragi, Urd and Vor (Quest 33)	
<1> Dire Plant	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus and one of Hermod, Bragi, Urd and Vor (Quest 43)	
<1> Driller Mole	Xehanort | Eraqus | Vor	Slain by Xehanort, Eraqus and Vor (Quest 73)	
<1> Earth Gargoyle	Xehanort | Hermod	Slain by Xehanort and Hermod (Quest 80)	
<1> Emerald Sonata	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus and one of Hermod, Bragi, Urd and Vor (Quest 26)	
<1> Fat Bandit	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus and one of Hermod, Bragi, Urd and Vor (Quest 10)	
<1> Fat Bandit	Xehanort | Hermod	Slain by Xehanort and Hermod (Quest 81)	
<1> Ferry Reaper	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus and one of Hermod, Bragi, Urd and Vor (Quest 28)	
<1> Flame Core	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus and one of Hermod, Bragi, Urd and Vor (Quest 20)	
<1> Flower Rider	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus and one of Hermod, Bragi, Urd and Vor (Quest 31)	
<1> Flower Rider	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus and one of Hermod, Bragi, Urd and Vor (Quest 41)	
<1> Flower Rider	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus and one of Hermod, Bragi, Urd and Vor (Quest 48)	
<1> Furious Reaper	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus and one of Hermod, Bragi, Urd and Vor (Quest 60)	
<1> Gigas Shadow	Xehanort | Eraqus	Slain by Xehanort and Eraqus (Quest 99)	
<1> Gigas Shadow	Xehanort | Eraqus | Bragi	Slain by Xehanort, Eraqus and Bragi (Quest 90)	
<1> Heat Saber	Xehanort | Eraqus | Hermod | Bragi | Urd	Slain by Xehanort, Eraqus and one of Hermod, Bragi and Urd (Quest 86)	
<1> High Wizard	Xehanort | Eraqus	Slain by Xehanort and Eraqus (Quest 102)	
<1> High Wizard	Xehanort | Eraqus	Slain by Xehanort and Eraqus (Quest 95)	
<1> High Wizard	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus and one of Hermod, Bragi, Urd and Vor (Quest 64)	
<1> High Wizard	Xehanort | Eraqus | Hermod | Bragi | Urd | Vor	Slain by Xehanort, Eraqus and one of Hermod, Bragi, Urd and Vor (Quest 70)	
<1> High Wizard	Xehanort | Eraqus | Vor	Slain by Xehanort, Eraqus and Vor (Quest 72)	
