character	killed by	death	type
<1> Blitz Spear	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #1)	
<1> Blitz Spear	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #2)	
<1> Blitz Spear	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #3)	
<1> Blitz Spear	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #4)	
<1> Blitz Spear	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #5)	
<1> Chill Ripper	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #1)	
<1> Chill Ripper	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #3)	
<1> Chill Ripper	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #4)	
<1> Dark Plant	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #1)	
<1> Dark Plant	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #3)	
<1> Dark Plant	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #5)	
<1> Demon Tide	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #3)	
<1> Demon Tide	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #4)	
<1> Demon Tide	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #5)	
<1> Fire Plant	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #2)	
<1> Fire Plant	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #4)	
<1> Flame Core	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #5)	
<1> Heat Saber	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #1)	
<1> Heat Saber	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #2)	
<1> Heat Saber	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #3)	
<1> Heat Saber	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #4)	
<1> High Wizard	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #1)	
<1> High Wizard	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #3)	
<1> High Wizard	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #5)	
<1> Ice Plant	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #5)	
<1> Icy Beast	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #4)	
<1> Icy Beast	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #5)	
<1> Ifrit	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #1)	
<1> Ifrit	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #2)	
<1> Ifrit	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #3)	
<1> Invisible	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #1)	
<1> Invisible	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #3)	
<1> Invisible	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #5)	
<1> Lance Soldier	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #1)	
<1> Lance Soldier	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #3)	
<1> Lance Soldier	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #5)	
<1> Margoyle	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #1)	
<1> Margoyle	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #3)	
<1> Margoyle	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #5)	
<1> Mega-Shadow	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #1)	
<1> Mega-Shadow	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #3)	
<1> Mega-Shadow	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #5)	
<1> Morning Star	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #2)	
<1> Morning Star	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #3)	
<1> Nimble Bee	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #1)	
<1> Nimble Bee	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #3)	
<1> Nimble Bee	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #5)	
<1> Pot Centipede	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #1)	
<1> Pot Centipede	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #2)	
<1> Pot Centipede	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #3)	
<1> Pot Centipede	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #4)	
<1> Pot Centipede	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #5)	
<1> Pot Scorpion	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #3)	
<1> Pot Spider	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #2)	
<1> Pot Spider	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #4)	
<1> Red Bandit	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #2)	
<1> Red Bandit	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #4)	
<1> Shiva	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #3)	
<1> Shiva	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #5)	
<1> Stinging Bee	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #1)	
<1> Stinging Bee	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #3)	
<1> Stinging Bee	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #5)	
<2> Bandit	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #2)	
<2> Bandit	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #4)	
<2> Gigas Shadow	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #1)	
<2> Gigas Shadow	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #3)	
<2> Gigas Shadow	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #5)	
<2> Heat Saber	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #5)	
<2> Ice Plant	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #1)	
<2> Ice Plant	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #3)	
<2> Icy Beast	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #1)	
<2> Ifrit	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #5)	
<2> Morning Star	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #2)	
<2> Morning Star	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #4)	
<2> Pot Scorpion	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #4)	
<2> Shiva	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #1)	
<2> Sparkler	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #2)	
<2> Sparkler	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #4)	
<3> Pot Scorpion	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #2)	
<4> Flame Core	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #2)	
<4> Flame Core	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #4)	
<79> Random Enemies	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #1)	
<79> Random Enemies	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #2)	
<79> Random Enemies	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #3)	
<79> Random Enemies	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #4)	
<79> Random Enemies	Xehanort's Party	Slain by Xehanort's Party (Tower of Trials #5)	
