character	killed by	death	type
<1,000> Heartless	Sora | Xemnas	Slain by Sora during the Battle of the 1000 Heartless, orchestrated by Xemnas	
<128> Rapid Thruster	Sora | Donald Duck | Goofy | Hades	Slain by Sora, Donald Duck and Goofy, organised by Hades (Pain and Panic Paradox Cup)	
<128> Rapid Thruster	Sora | Donald Duck | Goofy | Pain | Panic | Hades	Slain by Sora, Donald Duck and Goofy, organised by Pain and Panic on orders from Hades (Pain and Panic Cup)	
<177> Rapid Thruster	Sora | Hades	Slain by Sora, organised by Hades (Hades Paradox Cup)	
<1> Aeroplane	Sora | Donald Duck | Goofy | Hades	Slain by Sora, Donald Duck and Goofy, organised by Hades (Hades Paradox Cup)	
<1> Berserker	Sora | Hades	Slain by Sora, organised by Hades (Hades Paradox Cup)	
<1> Blizzard Lord	Sora | Donald Duck | Goofy | Aladdin	Slain by Sora, Donald Duck, Goofy and Aladdin	
<1> Blizzard Lord	Sora | Hades	Slain by Sora, organised by Hades (Hades Paradox Cup)	
<1> Bookmaster	Sora | Hades	Slain by Sora, organised by Hades (Titan Paradox Cup)	
<1> Bookmaster	Sora | Pain | Panic | Hades	Slain by Sora, organised by Pain and Panic on orders from Hades (Titan Cup)	
<1> Crescendo	Sora | Donald Duck | Goofy | Hercules | Hades	Slain by Sora, Donald Duck, Goofy and Hercules, organised by Hades (Hades Cup)	
<1> Crimson Jazz	Sora | Donald Duck | Goofy | Hercules | Hades	Slain by Sora, Donald Duck, Goofy and Hercules, organised by Hades (Hades Cup)	
<1> Dark Thorn	Sora | Donald Duck | Goofy | Beast	Slain by Sora, Donald Duck, Goofy and Beast	
<1> Devastator	Sora | Hades	Slain by Sora, organised by Hades (Hades Paradox Cup)	
<1> Devastator	Sora | Hades	Slain by Sora, organised by Hades (Titan Paradox Cup)	
<1> Devastator	Sora | Pain | Panic | Hades	Slain by Sora, organised by Pain and Panic on orders from Hades (Titan Cup)	
<1> Dragoon	Sora | Hades	Slain by Sora, organised by Hades (Hades Paradox Cup)	
<1> Fat Bandit	Sora | Donald Duck | Goofy | Pain | Panic | Hades	Slain by Sora, Donald Duck and Goofy, organised by Pain and Panic on orders from Hades (Goddess of Fate Cup)	
<1> Fat Bandit	Sora | Hades	Slain by Sora, organised by Hades (Cerberus Paradox Cup)	
<1> Fat Bandit	Sora | Pain | Panic | Hades	Slain by Sora, organised by Pain and Panic on orders from Hades (Cerberus Cup)	
<1> Fortuneteller	Sora | Hades	Slain by Sora, organised by Hades (Hades Paradox Cup)	
<1> Grim Reaper	Sora | Donald Duck | Goofy | Jack Sparrow	Slain by Sora, Donald Duck, Goofy and Jack Sparrow	
<1> Groundshaker	Sora | Donald Duck | Goofy | Simba	Slain by Sora, Donald Duck, Goofy and Simba	
<1> Illuminator	Sora | Donald Duck | Goofy | Jack Sparrow	Slain by Sora, Donald Duck, Goofy and Jack Sparrow	
<1> Large Body	Sora | Donald Duck | Goofy | Hades	Slain by Sora, Donald Duck and Goofy, organised by Hades (Hades Paradox Cup)	
<1> Large Body	Sora | Donald Duck | Goofy | Hades	Slain by Sora, Donald Duck and Goofy, organised by Hades (Pain and Panic Paradox Cup)	
<1> Large Body	Sora | Donald Duck | Goofy | Pain | Panic | Hades	Slain by Sora, Donald Duck and Goofy, organised by Pain and Panic on orders from Hades (Goddess of Fate Cup)	
<1> Large Body	Sora | Donald Duck | Goofy | Pain | Panic | Hades	Slain by Sora, Donald Duck and Goofy, organised by Pain and Panic on orders from Hades (Pain and Panic Cup)	
<1> Living Bone	Sora | Donald Duck | Goofy | Pain | Panic | Hades	Slain by Sora, Donald Duck and Goofy, organised by Pain and Panic on orders from Hades (Goddess of Fate Cup)	
<1> Living Bone	Sora | Hades	Slain by Sora, organised by Hades (Cerberus Paradox Cup)	
<1> Living Bone	Sora | Hades	Slain by Sora, organised by Hades (Hades Paradox Cup)	
<1> Living Bone	Sora | Pain | Panic | Hades	Slain by Sora, organised by Pain and Panic on orders from Hades (Cerberus Cup)	
<1> Magnum Loader	Sora | Hades	Slain by Sora, organised by Hades (Hades Paradox Cup)	
<1> Morning Star	Sora | Donald Duck | Goofy | Hercules | Hades	Slain by Sora, Donald Duck, Goofy and Hercules, organised by Hades (Hades Cup)	
<1> Morning Star	Sora | Hades	Slain by Sora, organised by Hades (Titan Paradox Cup)	
<1> Morning Star	Sora | Pain | Panic | Hades	Slain by Sora, organised by Pain and Panic on orders from Hades (Titan Cup)	
<1> Neoshadow	Sora | Donald Duck | Goofy | Hades	Slain by Sora, Donald Duck and Goofy, organised by Hades (Hades Paradox Cup)	
<1> Possessor	Sora | Donald Duck | Goofy	Slain by Sora, Donald Duck and Goofy	
<1> Prison Keeper	Sora | Donald Duck | Goofy | Jack Skellington	Slain by Sora, Donald Duck, Goofy and Jack Skellington	
<1> Rabid Dog	Sora | Donald Duck | Goofy | Hades	Slain by Sora, Donald Duck and Goofy, organised by Hades (Pain and Panic Paradox Cup)	
<1> Rabid Dog	Sora | Donald Duck | Goofy | Pain | Panic | Hades	Slain by Sora, Donald Duck and Goofy, organised by Pain and Panic on orders from Hades (Pain and Panic Cup)	
<1> Samurai	Sora | Donald Duck | Goofy | Hades	Slain by Sora, Donald Duck and Goofy, organised by Hades (Hades Paradox Cup)	
<1> Shaman	Sora | Hades	Slain by Sora, organised by Hades (Cerberus Paradox Cup)	
<1> Shaman	Sora | Pain | Panic | Hades	Slain by Sora, organised by Pain and Panic on orders from Hades (Cerberus Cup)	
<1> Sorcerer	Sora | Hades	Slain by Sora, organised by Hades (Hades Paradox Cup)	
<1> Storm Rider	Sora | Donald Duck | Goofy | Fa Mulan	Slain by Sora, Donald Duck, Goofy and Fa Mulan	
<1> Toy Soldier	Sora | Donald Duck | Goofy | Pain | Panic | Hades	Slain by Sora, Donald Duck and Goofy, organised by Pain and Panic on orders from Hades (Goddess of Fate Cup)	
<1> Toy Soldier	Sora | Hades	Slain by Sora, organised by Hades (Cerberus Paradox Cup)	
<1> Toy Soldier	Sora | Pain | Panic | Hades	Slain by Sora, organised by Pain and Panic on orders from Hades (Cerberus Cup)	
<1> Twilight Thorn	Roxas	Slain by Roxas	
<1> Volcanic Lord	Sora | Donald Duck | Goofy | Aladdin	Slain by Sora, Donald Duck, Goofy and Aladdin	
<1> Volcanic Lord	Sora | Donald Duck | Goofy | Hades	Slain by Sora, Donald Duck and Goofy, organised by Hades (Hades Paradox Cup)	
<2> Aerial Knocker	Sora | Hades	Slain by Sora, organised by Hades (Cerberus Paradox Cup)	
<2> Aerial Knocker	Sora | Pain | Panic | Hades	Slain by Sora, organised by Pain and Panic on orders from Hades (Cerberus Cup)	
<2> Air Pirate	Sora | Hades	Slain by Sora, organised by Hades (Cerberus Paradox Cup)	
<2> Air Pirate	Sora | Hades	Slain by Sora, organised by Hades (Hades Paradox Cup)	
<2> Air Pirate	Sora | Hades	Slain by Sora, organised by Hades (Hades Paradox Cup)	
<2> Air Pirate	Sora | Hades	Slain by Sora, organised by Hades (Titan Paradox Cup)	
<2> Air Pirate	Sora | Pain | Panic | Hades	Slain by Sora, organised by Pain and Panic on orders from Hades (Cerberus Cup)	
<2> Air Pirate	Sora | Pain | Panic | Hades	Slain by Sora, organised by Pain and Panic on orders from Hades (Titan Cup)	
<2> Armored Knight	Sora | Hades	Slain by Sora, organised by Hades (Hades Paradox Cup)	
<2> Assassin	Sora | Donald Duck | Goofy | Pain | Panic | Hades	Slain by Sora, Donald Duck and Goofy, organised by Pain and Panic on orders from Hades (Goddess of Fate Cup)	
<2> Assassin	Sora | Hades	Slain by Sora, organised by Hades (Hades Paradox Cup)	
<2> Assassin	Sora | Hades	Slain by Sora, organised by Hades (Titan Paradox Cup)	
<2> Assassin	Sora | Pain | Panic | Hades	Slain by Sora, organised by Pain and Panic on orders from Hades (Titan Cup)	
<2> Assault Rider	Sora | Donald Duck | Goofy | Hades	Slain by Sora, Donald Duck and Goofy, organised by Hades (Pain and Panic Paradox Cup)	
<2> Assault Rider	Sora | Donald Duck | Goofy | Pain | Panic | Hades	Slain by Sora, Donald Duck and Goofy, organised by Pain and Panic on orders from Hades (Goddess of Fate Cup)	
<2> Assault Rider	Sora | Donald Duck | Goofy | Pain | Panic | Hades	Slain by Sora, Donald Duck and Goofy, organised by Pain and Panic on orders from Hades (Pain and Panic Cup)	
<2> Assault Rider	Sora | Hades	Slain by Sora, organised by Hades (Hades Paradox Cup)	
<2> Berserker	Sora | Hades	Slain by Sora, organised by Hades (Titan Paradox Cup)	
<2> Berserker	Sora | Hades	Slain by Sora, organised by Hades (Titan Paradox Cup)	
<2> Berserker	Sora | Pain | Panic | Hades	Slain by Sora, organised by Pain and Panic on orders from Hades (Titan Cup)	
<2> Berserker	Sora | Pain | Panic | Hades	Slain by Sora, organised by Pain and Panic on orders from Hades (Titan Cup)	
<2> Bolt Tower	Sora | Donald Duck | Goofy | Hades	Slain by Sora, Donald Duck and Goofy, organised by Hades (Hades Paradox Cup)	
<2> Bolt Tower	Sora | Donald Duck | Goofy | Hades	Slain by Sora, Donald Duck and Goofy, organised by Hades (Pain and Panic Paradox Cup)	
<2> Bolt Tower	Sora | Donald Duck | Goofy | Pain | Panic | Hades	Slain by Sora, Donald Duck and Goofy, organised by Pain and Panic on orders from Hades (Goddess of Fate Cup)	
<2> Bolt Tower	Sora | Donald Duck | Goofy | Pain | Panic | Hades	Slain by Sora, Donald Duck and Goofy, organised by Pain and Panic on orders from Hades (Pain and Panic Cup)	
<2> Bookmaster	Sora | Donald Duck | Goofy | Hades	Slain by Sora, Donald Duck and Goofy, organised by Hades (Hades Paradox Cup)	
<2> Creeper	Sora | Hades	Slain by Sora, organised by Hades (Hades Paradox Cup)	
<2> Creeper Plant	Sora | Donald Duck | Goofy | Hades	Slain by Sora, Donald Duck and Goofy, organised by Hades (Hades Paradox Cup)	
<2> Creeper Plant	Sora | Donald Duck | Goofy | Hades	Slain by Sora, Donald Duck and Goofy, organised by Hades (Hades Paradox Cup)	
<2> Crimson Jazz	Sora | Donald Duck | Goofy | Pain | Panic | Hades	Slain by Sora, Donald Duck and Goofy, organised by Pain and Panic on orders from Hades (Goddess of Fate Cup)	
<2> Crimson Jazz	Sora | Hades	Slain by Sora, organised by Hades (Titan Paradox Cup)	
<2> Crimson Jazz	Sora | Pain | Panic | Hades	Slain by Sora, organised by Pain and Panic on orders from Hades (Titan Cup)	
<2> Dancer	Sora | Hades	Slain by Sora, organised by Hades (Titan Paradox Cup)	
<2> Dancer	Sora | Pain | Panic | Hades	Slain by Sora, organised by Pain and Panic on orders from Hades (Titan Cup)	
<2> Dragoon	Sora | Hades	Slain by Sora, organised by Hades (Titan Paradox Cup)	
<2> Dragoon	Sora | Pain | Panic | Hades	Slain by Sora, organised by Pain and Panic on orders from Hades (Titan Cup)	
<2> Driller Mole	Sora | Hades	Slain by Sora, organised by Hades (Hades Paradox Cup)	
