character	killed by	death	type
Alice the Rabbit	Maxine Caulfield	Caught in the Storm, sacrificed alongside Arcadia Bay by Maxine Caulfield (dependent on player choice)	determinant
Alyssa Anderson		Fell in a hole during the Storm (potentially rewound by Maxine Caulfield, dependent on player choice)	determinant
Alyssa Anderson	Maxine Caulfield	Caught in the Storm, sacrificed alongside Arcadia Bay by Maxine Caulfield (dependent on player choice)	determinant
Anderson Berry		Caught in the Storm (rewound by Maxine Caulfield)	undone
Anderson Berry	Maxine Caulfield	Caught in the Storm, sacrificed alongside Arcadia Bay by Maxine Caulfield (dependent on player choice)	determinant
Blue Jay		Accidentally flew into a window (potentially rewound by Maxine Caulfield, dependent on player choice)	determinant
Blue Jay	Maxine Caulfield	Caught in the Storm, sacrificed alongside Arcadia Bay by Maxine Caulfield (dependent on player choice)	determinant
Blue Jay	Maxine Caulfield	Flew into a window after being scared by Maxine Caulfield (potentially rewound by Maxine Caulfield, dependent on player choice)	determinant
Bongo		Hit by a car	
Brooke Scott	Maxine Caulfield	Caught in the Storm, sacrificed alongside Arcadia Bay by Maxine Caulfield (dependent on player choice)	determinant
Chloe Price		Caught in the Storm (rewound by Maxine Caulfield)	undone
Chloe Price		Hit by a train (rewound by Maxine Caulfield)	undone
Chloe Price	Chloe Price	Accidentally shot herself via a ricochet (rewound by Maxine Caulfield)	undone
Chloe Price	Mark Jefferson	Shot in the forehead by Mark Jefferson (rewound by Maxine Caulfield)	undone
Chloe Price	Maxine Caulfield | Chloe Price	Euthanized by Maxine Caulfield via an overdose on her own request (dependent on player choice, then rewound by Maxine Caulfield)	undone
Chloe Price	Nathan Prescott	Shot in the stomach by Nathan Prescott (rewound by Maxine Caulfield)	undone
Chloe Price	Nathan Prescott | Maxine Caulfield	Shot in the stomach by Nathan Prescott, sacrificed by Maxine Caulfield (dependent on player choice)	determinant
Courtney Wagner	Maxine Caulfield	Caught in the Storm, sacrificed alongside Arcadia Bay by Maxine Caulfield (dependent on player choice)	determinant
DJ Doom	Maxine Caulfield	Caught in the Storm, sacrificed alongside Arcadia Bay by Maxine Caulfield (dependent on player choice)	determinant
Dana Ward	Maxine Caulfield	Caught in the Storm, sacrificed alongside Arcadia Bay by Maxine Caulfield (dependent on player choice)	determinant
Daniel DaCosta	Maxine Caulfield	Caught in the Storm, sacrificed alongside Arcadia Bay by Maxine Caulfield (dependent on player choice)	determinant
David Madsen	Mark Jefferson	Shot by Mark Jefferson (rewound by Maxine Caulfield)	undone
Diner Cop	Maxine Caulfield	Caught in the Storm, sacrificed alongside Arcadia Bay by Maxine Caulfield (dependent on player choice)	determinant
Diner Dude	Maxine Caulfield	Caught in the Storm, sacrificed alongside Arcadia Bay by Maxine Caulfield (dependent on player choice)	determinant
Diner Fisherman	Maxine Caulfield	Caught in the Storm, sacrificed alongside Arcadia Bay by Maxine Caulfield (dependent on player choice)	determinant
Diner Man	Maxine Caulfield	Caught in the Storm, sacrificed alongside Arcadia Bay by Maxine Caulfield (dependent on player choice)	determinant
Diner Trucker	Maxine Caulfield	Caught in the Storm, sacrificed alongside Arcadia Bay by Maxine Caulfield (dependent on player choice)	determinant
Diner Woman	Maxine Caulfield	Caught in the Storm, sacrificed alongside Arcadia Bay by Maxine Caulfield (dependent on player choice)	determinant
Evan Harris		Hit by a flying debris during the Storm (potentially rewound by Maxine Caulfield, dependent on player choice)	determinant
Evan Harris	Maxine Caulfield	Caught in the Storm, sacrificed alongside Arcadia Bay by Maxine Caulfield (dependent on player choice)	determinant
Frank Bowers		Caught in the explosion of the Two Whales Diner during the Storm (rewound by Maxine Caulfield)	undone
Frank Bowers	Chloe Price	Shot by Chloe Price (dependent on player choice)	determinant
Frank Bowers	Maxine Caulfield	Caught in the Storm, sacrificed alongside Arcadia Bay by Maxine Caulfield (dependent on player choice)	determinant
Hayden Jones	Maxine Caulfield	Caught in the Storm, sacrificed alongside Arcadia Bay by Maxine Caulfield (dependent on player choice)	determinant
Homeless Lady		Caught in the Storm if not warned about it (dependent on player choice)	determinant
Joyce Price		Caught in the explosion of the Two Whales Diner during the Storm (rewound by Maxine Caulfield)	undone
Joyce Price	Maxine Caulfield	Caught in the Storm, sacrificed alongside Arcadia Bay by Maxine Caulfield (dependent on player choice)	determinant
Juliet Watson	Maxine Caulfield	Caught in the Storm, sacrificed alongside Arcadia Bay by Maxine Caulfield (dependent on player choice)	determinant
Justin Williams	Maxine Caulfield	Caught in the Storm, sacrificed alongside Arcadia Bay by Maxine Caulfield (dependent on player choice)	determinant
Kate Marsh	Kate Marsh	Jumped off the Prescott Dormitory roof (dependent on player choice)	determinant
Kate Marsh	Kate Marsh	Jumped off the Prescott Dormitory roof (rewound by Maxine Caulfield)	undone
Kate Marsh	Maxine Caulfield	Caught in the Storm, sacrificed alongside Arcadia Bay by Maxine Caulfield (dependent on player choice)	determinant
Lisa the Plant	Maxine Caulfield	Accidentally drowned by Maxine Caulfield (dependent on player choice)	determinant
Lisa the Plant	Maxine Caulfield	Accidentally left dehydrated by Maxine Caulfield (dependent on player choice)	determinant
Lisa the Plant	Maxine Caulfield	Caught in the Storm, sacrificed alongside Arcadia Bay by Maxine Caulfield (dependent on player choice)	determinant
Logan Robertson	Maxine Caulfield	Caught in the Storm, sacrificed alongside Arcadia Bay by Maxine Caulfield (dependent on player choice)	determinant
Luke Parker	Maxine Caulfield	Caught in the Storm, sacrificed alongside Arcadia Bay by Maxine Caulfield (dependent on player choice)	determinant
Mark Jefferson	David Madsen	Shot in the head by David Madsen (dependent on player choice, then rewound by Maxine Caulfield)	undone
Michelle Grant	Maxine Caulfield	Caught in the Storm, sacrificed alongside Arcadia Bay by Maxine Caulfield (dependent on player choice)	determinant
Nathan Prescott	Mark Jefferson	Murdered by Mark Jefferson (potentially rewound by Maxine Caulfield, dependent on player choice)	determinant
Old Guy	Maxine Caulfield	Caught in the Storm, sacrificed alongside Arcadia Bay by Maxine Caulfield (dependent on player choice)	determinant
Pompidou	Chloe Price	Shot by Chloe Price (dependent on player choice)	determinant
Pompidou	Maxine Caulfield	Caught in the Storm, sacrificed alongside Arcadia Bay by Maxine Caulfield (dependent on player choice)	determinant
Pompidou	Maxine Caulfield	Hit by a car after following a bone thrown into traffic by Maxine Caulfield (dependent on player choice)	determinant
R.J. MacReady	Maxine Caulfield	Accidentally electrocuted by Maxine Caulfield (potentially rewound by Maxine Caulfield, dependent on player choice)	determinant
R.J. MacReady	Maxine Caulfield	Caught in the Storm, sacrificed alongside Arcadia Bay by Maxine Caulfield (dependent on player choice)	determinant
Rachel Amber	Nathan Prescott	Drugged and accidentally overdosed by Nathan Prescott	
Raymond Wells	Maxine Caulfield	Caught in the Storm, sacrificed alongside Arcadia Bay by Maxine Caulfield (dependent on player choice)	determinant
Samuel Taylor	Maxine Caulfield	Caught in the Storm, sacrificed alongside Arcadia Bay by Maxine Caulfield (dependent on player choice)	determinant
