character	killed by	death	type
<1> Acidic Glavenus	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander (MR★4 The Disintegrating Blade)	
<1> Anjanath	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist (★6 Tickled Pink)	
<1> Anjanath	Hunter (MHWI) | Field Team Leader	Hunted by the Hunter, contracted by the Field Team Leader (★4 The Encroaching Anjanath)	
<1> Banbaro	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander (MR★1 Banbaro Blockade)	
<1> Barioth	Hunter (MHWI) | Field Team Leader	Hunted by the Hunter, contracted by the Field Team Leader (MR★3 Blizzard Blitz)	
<1> Barroth	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander (★3 The Best Kind of Quest)	
<1> Beotodus	Hunter (MHWI) | Handler	Hunted by the Hunter, contracted by the Handler (MR★1 Baptism by Ice)	
<1> Blackveil Vaal Hazak	Hunter (MHWI) | Commander	Slain by the Hunter, contracted by the Commander (MR★5 Under the Veil of Death)	
<1> Brachydios	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander (MR★3 A Smashing Cross Counter)	
<1> Coral Pukei-Pukei	Hunter (MHWI) | Serious Handler	Hunted by the Hunter, contracted by the Serious Handler (MR★2 Play Both Ends)	
<1> Diablos	Hunter (MHWI) | Handler	Hunted by the Hunter, contracted by the Handler (★5 Horned Tyrant Below the Sands)	
<1> Ebony Odogaron	Hunter (MHWI) | Serious Handler	Hunted by the Hunter, contracted by the Serious Handler (MR★4 Bad Friends, Great Enemies)	
<1> Fulgur Anjanath	Hunter (MHWI) | Field Team Leader	Hunted by the Hunter, contracted by the Field Team Leader (MR★4 The Thunderous Troublemaker!)	
<1> Glavenus	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander (MR★3 The Scorching Blade)	
<1> Great Jagras	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander (★2 The Great Jagras Hunt)	
<1> Jyuratodus	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander (★3 Sinister Shadows in the Swamp)	
<1> Kulu-Ya-Ku	Hunter (MHWI) | Provisions Manager	Hunted by the Hunter, contracted by the Provisions Manager (★2 Bird-Brained Bandit)	
<1> Kushala Daora	Hunter (MHWI) | Field Team Leader	Slain by the Hunter, contracted by the Field Team Leader (★8 Kushala Daora, Dragon of Steel)	
<1> Legiana	Hunter (MHWI) | Third Fleet Master	Hunted by the Hunter, contracted by the Third Fleet Master (★5 Legiana: Embodiment of Elegance)	
<1> Namielle	Hunter (MHWI) | Field Team Leader	Slain by the Hunter, contracted by the Field Team Leader (MR★5 A Light From The Abyss)	
<1> Nargacuga	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander (MR★3 Ever-present Shadow)	
<1> Nergigante	Hunter (MHWI) | Commander	Slain by the Hunter, contracted by the Commander (★8 A Wound and a Thirst)	
<1> Nightshade Paolumu	Hunter (MHWI) | Serious Handler	Hunted by the Hunter, contracted by the Serious Handler (MR★2 No Time for Naps)	
<1> Odogaron	Hunter (MHWI) | Third Fleet Master	Hunted by the Hunter, contracted by the Third Fleet Master (★5 Into the Bowels of the Vale)	
<1> Paolumu	Hunter (MHWI) | Third Fleet Master	Hunted by the Hunter, contracted by the Third Fleet Master (★4 Ballooning Problems)	
<1> Pink Rathian	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander (★7 Old World Monster in the New World)	
<1> Pukei-Pukei	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander (★3 Urgent: Pukei-Pukei Hunt)	
<1> Pukei-Pukei	Hunter (MHWI) | Handler	Hunted by the Hunter, contracted by the Handler (★6 Invader in the Waste)	
<1> Radobaan	Hunter (MHWI) | Handler	Hunted by the Hunter, contracted by the Handler (★4 Radobaan Roadblock)	
<1> Rathalos	Hunter (MHWI) | Handler	Hunted by the Hunter, contracted by the Handler (★5 A Fiery Throne Atop the Forest)	
<1> Ruiner Nergigante	Hunter (MHWI) | Field Team Leader	Slain by the Hunter, contracted by the Field Team Leader (MR★6 To The Guided, A Paean)	
<1> Ruiner Nergigante	Hunter (MHWI) | Field Team Leader	Slain by the Hunter, contracted by the Field Team Leader (MR★6 To the Very Ends with You)	
<1> Seething Bazelgeuse	Hunter (MHWI) | Admiral	Hunted by the Hunter, contracted by the Admiral (MR★5 The Second Coming)	
<1> Shara Ishvalda	Hunter (MHWI) | Tracker	Slain by the Hunter, contracted by the Tracker (MR★6 Paean of Guidance)	
<1> Shrieking Legiana	Hunter (MHWI) | Handler	Hunted by the Hunter, contracted by the Handler (MR★4 When the Mist Taketh You)	
<1> Tempered Brachydios	Hunter (MHWI) | Field Team Leader	Hunted by the Hunter, contracted by the Field Team Leader (MR★6 Big Burly Bash)	
<1> Tempered Glavenus	Hunter (MHWI) | Field Team Leader	Hunted by the Hunter, contracted by the Field Team Leader (MR★6 Big Burly Bash)	
<1> Tempered Kirin	Hunter (MHWI) | Commander	Slain by the Hunter, contracted by the Commander (★9 Thunderous Rumble in the Highlands)	
<1> Tempered Nightshade Paolumu	Hunter (MHWI) | Field Team Leader	Hunted by the Hunter, contracted by the Field Team Leader (MR★6 Sleep Now in the Fire)	
<1> Tempered Rathian	Hunter (MHWI) | Field Team Leader	Hunted by the Hunter, contracted by the Field Team Leader (MR★6 Sleep Now in the Fire)	
<1> Teostra	Hunter (MHWI) | Huntsman	Slain by the Hunter, contracted by the Huntsman (★8 Teostra the Infernal)	
<1> Tigrex	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander (MR★3 Absolute Power)	
<1> Tobi-Kadachi	Hunter (MHWI) | Chief Botanist	Hunted by the Hunter, contracted by the Chief Botanist (★3 Flying Sparks: Tobi-Kadachi)	
<1> Vaal Hazak	Hunter (MHWI) | Third Fleet Master	Slain by the Hunter, contracted by the Third Fleet Master (★8 Hellish Fiend Vaal Hazak)	
<1> Velkhana	Hunter (MHWI) | Field Team Leader	Slain by the Hunter, contracted by the Field Team Leader (MR★5 The Iceborne Wyvern)	
<1> Viper Tobi-Kadachi	Hunter (MHWI) | Tracker	Hunted by the Hunter, contracted by the Tracker (MR★2 Ready to Strike)	
<1> Xeno'jiiva	Hunter (MHWI) | Admiral	Slain by the Hunter, contracted by the Admiral (★9 Land of Convergence)	
<1> Yian Garuga	Hunter (MHWI) | Handler	Hunted by the Hunter, contracted by the Handler (MR★6 Return of the Crazy One)	
<2> Tempered Bazelgeuse	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander (★9 Beyond the Blasting Scales)	
<3> male Kestodons	Hunter (MHWI) | Commander	Slain by the Hunter, contracted by the Commander (★2 A Kestodon Kerfuffle)	
<5> female Kestodons	Hunter (MHWI) | Commander	Slain by the Hunter, contracted by the Commander (★2 A Kestodon Kerfuffle)	
<7> Jagras	Hunter (MHWI) | Commander	Slain by the Hunter, contracted by the Commander (★1 Jagras of the Ancient Forest)	
