character	killed by	death	type
<10> Gastodon	Hunter (MHWI) | Tribe Outlaw	Slain by the Hunter, contracted by the Tribe Outlaw (★6 Midnight Mayhem)	
<12> Kestodon	Hunter (MHWI) | Elite Defender	Slain by the Hunter, contracted by the Elite Defender (★1 Up at the Crack of Dawn)	
<13> Shamos	Hunter (MHWI) | Second Fleet Master	Slain by the Hunter, contracted by the Second Fleet Master (★6 Scrapping with the Shamos)	
<1> Acidic Glavenus	Hunter (MHWI) | Analytics Director	Hunted by the Hunter, contracted by the Analytics Director (MR★4 Servants of the Vale)	
<1> Acidic Glavenus	Hunter (MHWI) | Field Team Leader	Hunted by the Hunter, contracted by the Field Team Leader (MR★6 Rotten Canzone)	
<1> Alatreon	Hunter (MHWI) | Analytics Director	Slain by the Hunter, contracted by the Analytics Director (MR★6 Dawn of the Death Star)	
<1> Alatreon	Hunter (MHWI) | Analytics Director	Slain by the Hunter, contracted by the Analytics Director (MR★6 The Evening Star)	
<1> Ancient Leshen	Hunter (MHWI) | Commander	Slain by the Hunter, contracted by the Commander (★9 Contract: Woodland Spirit)	
<1> Anjanath	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander (★7 Deep Green Blues)	
<1> Anjanath	Hunter (MHWI) | Field Team Leader	Hunted by the Hunter, contracted by the Field Team Leader (MR★6 Yodeling in the Forest)	
<1> Anjanath	Hunter (MHWI) | Nora High Matriarch	Hunted by the Hunter, contracted by the Nora High Matriarch (★6 The Proving)	
<1> Anjanath	Hunter (MHWI) | Stylish Red Fiver	Hunted by the Hunter, contracted by the Stylish Red Fiver (★8 Code: Red)	
<1> Anjanath	Hunter (MHWI) | Vice Chief Ecologist	Hunted by the Hunter, contracted by the Vice Chief Ecologist (MR★2 A New Troublemaker in Town)	
<1> Arch-Tempered Kirin	Hunter (MHWI) | Long Black-haired Hunter	Slain by the Hunter, contracted by the Long Black-haired Hunter (★9 A Whisper of White Mane)	
