character	killed by	death	type	quest
<1> Alatreon	Hunter (MHWI) | Third Fleet Leader	Slain by the Hunter, contracted by the Third Fleet Leader		MR★6 Blazing Black Twilight
<1> Alatreon	Hunter (MHWI) | Third Fleet Leader	Slain by the Hunter, contracted by the Third Fleet Leader		MR★6 Dawn's Triumph
<1> Behemoth	Hunter (MHWI) | Serious Handler	Slain by the Hunter, contracted by the Serious Handler		★9 He Taketh It with His Eyes
<1> Deviljho	Hunter (MHWI) | Eccentric Trio	Hunted by the Hunter, contracted by the Eccentric Trio		★7 The Food Chain Dominator
<1> Fatalis	Hunter (MHWI) | Commander	Slain by the Hunter, contracted by the Commander		MR★6 The Black Dragon
<1> Furious Rajang	Hunter (MHWI) | Tracker	Hunted by the Hunter, contracted by the Tracker		MR★6 The Fury Remains
<1> Kirin	Hunter (MHWI) | Admiral	Slain by the Hunter, contracted by the Admiral		MR★6 Sterling Pride
<1> Kulu-Ya-Ku	Hunter (MHWI) | Serious Handler	Slain by the Hunter, contracted by the Serious Handler		★6 A Visitor from Another World
<1> Leshen	Geralt of Rivia | Commander	Slain by Geralt of Rivia, contracted by the Commander		★9 Contract: Trouble in the Ancient Forest
<1> Lunastra	Hunter (MHWI) | Huntsman	Slain by the Hunter, contracted by the Huntsman		★8 No Remorse, No Surrender
<1> Raging Brachydios	Hunter (MHWI) | Tracker	Slain by the Hunter, contracted by the Tracker		MR★6 ...And My Rage for All
<1> Rajang	Hunter (MHWI) | Admiral	Hunted by the Hunter, contracted by the Admiral		MR★6 Reveal Thyself, Destroyer
<1> Stygian Zinogre	Hunter (MHWI) | Seeker	Hunted by the Hunter, contracted by the Seeker		MR★6 Across the Lost Path
<1> Teostra	Hunter (MHWI) | Huntsman	Slain by the Hunter, contracted by the Huntsman		★8 No Remorse, No Surrender
<1> Teostra	Hunter (MHWI) | Huntsman	Slain by the Hunter, contracted by the Huntsman		★8 The Blazing Sun
