character	killed by	death	type	loop
<1,000,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned per loop)	clone	48 to 49
<1,000,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned per loop)	clone	88 to 89
<1,500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned per loop)	clone	63 to 65
<1,500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned per loop)	clone	75 to 77
<1,500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned per loop)	clone	80 to 82
<100+> soldiers, mercenaries and araneas		Slain by the Ibasan forces (half of 200+ mentioned)	clone	103
<10> mages	Sudomir Kandrei	Slain by Sudomir Kandrei's undead forces defending Iasku Mansion	clone	91
<12+> mutated giant rats	Zorian Kazinski	Massacred by Zorian Kazinski (dozen mentioned)	clone	93
<12+> people	Sudomir Kandrei	Slowly tortured to death by Sudomir Kandrei in order to acquire soul perception (dozen mentioned)		
<12+> undead boars	Zorian Kazinski	Sliced into pieces with a magic disc by Zorian Kazinski (dozen mentioned)	clone	61
<12+> wraiths	Alanic Zosk	Destroyed by Alanic Zosk (dozen mentioned)	clone	93
<12> Sudomir Kandrei's bodyguards	Zorian Kazinski | Zach Noveda	Massacred by Zorian Kazinski and Zach Noveda	clone	103
<12> skeletons	Zorian Kazinski	Crushed by war trolls controlled by Zorian Kazinski	clone	84
<15+> mages	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Cut through with a jagged red beam by Quatach-Ichl during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (count mentioned)	clone	93
<15> unknown fourth member of Taiven's expedition		Presumably murdered by Dungeon monsters after being put to sleep with a spell by a Cyorian aranea	clone	1 to 15
<15> war trolls	Alanic Zosk	Incinerated with fire explosions by Alanic Zosk (20 total mentioned, minus 5 survivors)	clone	93
<16+> cephalic rats	Zorian Kazinski	Incinerated with fireballs by Zorian Kazinski and several araneas (4 swarms mentioned)	clone	56
<16+> cephalic rats	Zorian Kazinski	Slain by Zorian Kazinski's Simulacrum (4 swarms mentioned)	clone	128
<18+> invaders	Zorian Kazinski	Eradicated by Zorian Kazinski (6 groups mentioned)	clone	91
<19+> mages	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Slain by Quatach-Ichl or the invaders during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (58 mentioned minus previously counted)	clone	93
<1> Cirin woman's husband		Died during the Weeping Plague		
<1> Ibasan commander	Zorian Kazinski	Stabbed in the eye by one of his subordinates who was puppeteered by Zorian Kazinski's Simulacrum	clone	103
<1> Yellow Cavern Guardians matriarch		Murdered by a giant frog	clone	82
<1> ancient giant salamander	Silverlake | Zorian Kazinski | Zach Noveda	Butchered by Silverlake after being captured by Zorian Kazinski and Zach Noveda	clone	113
<1> aranea	Panaxeth	Sliced and mutilated with its thorns by Panaxeth	clone	133
<1> aranea	Zorian Kazinski	Crushed with a magic missile by Zorian Kazinski	clone	67
<1> centipede controller	Zorian Kazinski	Frozen solid with a combat potion by Zorian Kazinski	clone	84
<1> cephalic rat	Zorian Kazinski	Crushed into paste with a magic missile by Zorian Kazinski	clone	47
<1> chameleon drake	Zorian Kazinski	Hit in the mouth by a force lance by Zorian Kazinski	clone	103
<1> cultist	Zorian Kazinski	Mind destroyed with a telepathic probe by Zorian Kazinski	clone	83
<1> eagle rider	Oganj	Sliced into pieces by Oganj		final
<1> enemy mage	Zach Noveda	Swallowed by the earth beneath their feet via a spell cast by Zach Noveda	clone	1
<1> enemy mage	Zorian Kazinski	Beheaded with a severing whip by one of Zorian Kazinski's Simulacrums	clone	120
