character	killed by	death	type
Achilles	Atalanta	Fatally wounded by Atalanta	
Adam (Golem Keter Malkuth)	Mordred | Sieg	Core destroyed by Mordred and Sieg's Noble Phantasms	
Amakusa Shirou Tokisada	Sieg	Fatally wounded by Sieg	
Atalanta	Achilles	Impaled by Achilles with his spears	
Avi Dikhail	Jack the Ripper | Reika Rikudou	Burned and heart gouged out by Jack the Ripper on orders from Reika Rikudou	
Avicebron	Chiron	Shot by Chiron	
Carl Lexarm	Jack the Ripper | Reika Rikudou	Throat slit and heart gouged out by Jack the Ripper on orders from Reika Rikudou	
Celenike Icecolle Yggdmillennia	Mordred	Decapitated by Mordred	
Chiron	Achilles	Fatally punched by Achilles	
Darnic Prestone Yggdmillennia	Amakusa Shirou Tokisada	Reduced to ashes by Amakusa Shirou Tokisada	
Einzbern Master		Fatally wounded during the Third Fuyuki Holy Grail War	
Fionn mac Cumhaill	Amakusa Shirou Tokisada	Fought to the death with Amakusa Shirou Tokisada	
Frankenstein	Frankenstein	Died after using her Noble Phantasm at the cost of her life	
Hyouma Sagara	Reika Rikudou | Jack the Ripper	Heart gouged out by Reika Rikudou after being fatally wounded by Jack the Ripper	
Jack the Ripper	Jeanne d'Arc	Exorcised by Jeanne d'Arc	
Jeanne d'Arc	Jeanne d'Arc	Died after using her Noble Phantasm at the cost of her life	
Kairi Sisigou	Semiramis	Mortally poisoned by Semiramis	
Kairi Sisigou's daughter	Touki Sisigou	Accidentally poisoned when the Magic Crest her grandfather transferred her contained deadly toxin	
Karna	Sieg	Fatally wounded by Sieg	
Mordred	Semiramis	Mortally poisoned by Semiramis	
Nameless Yggdmillennia Homunculus	Spartacus	Fatally wounded by Spartacus's attack after being impaled with a candle stick and having her legs torn off	
Pemetrekis	Jack the Ripper	Cut down by Jack the Ripper	
Reika Rikudou	Atalanta	Shot by Atalanta	
Roche Frain Yggdmillennia	Adam (Golem Keter Malkuth) | Avicebron	Absorbed by Adam (Golem Keter Malkuth) while being used as a core for its creation by Avicebron	
Semiramis	Mordred	Fatally wounded by Mordred	
Siegfried	Siegfried	Ripped his own heart out	
Silvelt Kotcheff	Jack the Ripper	Murdered by Jack the Ripper	
Spartacus	Spartacus	Died after using his Noble Phantasm at the cost of his life	
Toole		Died due to her short lifespan as a homunculus	
Vlad III	Amakusa Shirou Tokisada	Reduced to ashes by Amakusa Shirou Tokisada	
William Shakespeare	Sieg	Disappeared after his master Amakusa Shirou's death at the hands of Sieg	
