character	killed by	death	type
Alexander	Mash Kyrielight | Nero Claudius | Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Altera	Mash Kyrielight | Nero Claudius | Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Anne Bonny	Mash Kyrielight | Francis Drake | Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Artemis	Mash Kyrielight | Francis Drake | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Artoria Pendragon Alter	Cú Chulainn	Incinerated by Cú Chulainn with his Noble Phantasm (First Order Movie)	
Artoria Pendragon Alter	Mash Kyrielight | Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Asterios	Hector | Jason	Impaled by Hector's spear on orders from Jason and threw himself in the ocean	
Atalanta	Mash Kyrielight | Francis Drake | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Atalanta	Mash Kyrielight | Jeanne d'Arc | Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Boudica	Mash Kyrielight | Nero Claudius | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Caligula	Mash Kyrielight | Nero Claudius | Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Carmilla	Elizabeth Báthory | Mash Kyrielight | Ritsuka Fujimaru	Defeated by Elizabeth Báthory alongside Ritsuka Fujimaru's party	
Charles VII	Jeanne d'Arc Alter	Incinerated by Jeanne d'Arc Alter	
Charles-Henri Sanson	Wolfgang Amadeus Mozart | Mash Kyrielight | Ritsuka Fujimaru	Defeated by Wolfgang Amadeus Mozart alongside Ritsuka Fujimaru's party	
Chevalier d'Éon	Mash Kyrielight | Jeanne d'Arc | Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Cú Chulainn	Cú Chulainn	Disappeared after he erased the Singularity (First Order Movie)	
Cú Chulainn	Mash Kyrielight | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Darius III	Cú Chulainn	Defeated by Cú Chulainn (First Order Movie)	
Darius III	Mash Kyrielight | Nero Claudius | Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
David	Mash Kyrielight | Francis Drake | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
EMIYA	Cú Chulainn	Defeated by Cú Chulainn	
Edward Teach	Hector | Mash Kyrielight | Francis Drake | Ritsuka Fujimaru	Stabbed by Hector after having been fatally wounded by Ritsuka Fujimaru's party	
Elizabeth Báthory	Mash Kyrielight | Jeanne d'Arc | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Elizabeth Báthory	Mash Kyrielight | Nero Claudius | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Eric Bloodaxe	Mash Kyrielight | Francis Drake | Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Euryale	Mash Kyrielight | Francis Drake | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Fafnir	Siegfried	Struck down with his sword by Siegfried	
Fafnir	Siegfried | Mash Kyrielight | Ritsuka Fujimaru	Defeated by Siegfried and Ritsuka Fujimaru's party (later revived)	revived
Flauros	Mash Kyrielight | Nero Claudius | Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party (resurrected via Ars Paulina)	revived
Forneus	Mash Kyrielight | Francis Drake | Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party (resurrected via Ars Paulina)	revived
Gaius Julius Caesar	Mash Kyrielight | Nero Claudius | Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Georgios	Mash Kyrielight | Jeanne d'Arc | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Gilles de Rais	Mash Kyrielight | Jeanne d'Arc | Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Hassan of the Cursed Arm	Cú Chulainn	Defeated by Cú Chulainn (First Order Movie)	
Hassan of the Cursed Arm	Mash Kyrielight | Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Hector	Euryale | Mash Kyrielight | Francis Drake | Ritsuka Fujimaru	Shot with an arrow by Euryale after being fatally wounded by Ritsuka Fujimaru's party	
Heracles	David | Mash Kyrielight | Francis Drake | Ritsuka Fujimaru	Drained of his magical energy after touching David's Ark of the Covenant when he was pushed into it by Ritsuka Fujimaru's party	
Heracles	Hector | Asterios | Jason	Impaled by Hector's spear on orders from Jason and dragged down in the ocean by Asterios (resurrected via God Hand)	revived
Heracles	Mash Kyrielight | Francis Drake | Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party (resurrected via God Hand)	revived
Heracles	Mash Kyrielight | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Jason	Mash Kyrielight | Francis Drake | Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Jeanne d'Arc	Mash Kyrielight | Jeanne d'Arc | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Jeanne d'Arc Alter	Mash Kyrielight | Jeanne d'Arc | Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Jing Ke	Mash Kyrielight | Nero Claudius | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Kiyohime	Mash Kyrielight | Jeanne d'Arc | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Lancelot	Mash Kyrielight | Jeanne d'Arc | Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Leonidas I	Mash Kyrielight | Nero Claudius | Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Lev Lainur Flauros	Altera	Bisected by Altera (resurrected via Ars Paulina)	revived
Lü Bu	Altera	Annihilated by Altera's Noble Phantasm	
Marie Antoinette	Jeanne d'Arc Alter	Defeated by Jeanne d'Arc Alter	
Martha	Mash Kyrielight | Jeanne d'Arc | Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Mary Read	Mash Kyrielight | Francis Drake | Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Medea Lily	Mash Kyrielight | Francis Drake | Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Medusa	Mash Kyrielight | Ritsuka Fujimaru	Defeated by Mash Kyrielight, led by Ritsuka Fujimaru	
Medusa Alter	Cú Chulainn	Incinerated by Cú Chulainn (First Order Movie)	
Musashibou Benkei	Mash Kyrielight | Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Olga Marie Asmleit Animusphere	Lev Lainur Flauros	Body destroyed in an explosion set up by Lev Lainur Flauros (mind rayshifted to Fuyuki)	physical
Olga Marie Asmleit Animusphere	Lev Lainur Flauros	Disassembled on the molecular level after being thrown into CHALDEAS by Lev Lainur Flauros	
Orion	Mash Kyrielight | Francis Drake | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Phantom of the Opera	Mash Kyrielight | Jeanne d'Arc | Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Pierre Cauchon	Jeanne d'Arc Alter	Incinerated by Jeanne d'Arc Alter	
Poseidon	Francis Drake	Defeated by Francis Drake	
Romulus	Mash Kyrielight | Nero Claudius | Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Siegfried	Mash Kyrielight | Jeanne d'Arc | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Spartacus	Altera	Annihilated by Altera's Noble Phantasm	
Stheno	Mash Kyrielight | Nero Claudius | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Tamamo Cat	Mash Kyrielight | Nero Claudius | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
