character	killed by	death	type
<100> Carcass	Ritsuka Fujimaru | Aŋra Mainiiu | Romani Archaman	Defeated by Ritsuka Fujimaru and Aŋra Mainiiu at the request of Romani Archaman	
<14> Golem	Ritsuka Fujimaru | Mash Kyrielight | Artoria Pendragon Alter	Defeated by Ritsuka Fujimaru's party	
<14> Skeleton	Ritsuka Fujimaru | Mash Kyrielight | Artoria Pendragon	Defeated by Ritsuka Fujimaru's party	
<1> Amazoness Leader	Ritsuka Fujimaru | Mash Kyrielight | EMIYA Shirou	Defeated by Ritsuka Fujimaru's party	
<1> Bicorn	Ritsuka Fujimaru | Nero Claudius	Defeated by Ritsuka Fujimaru and Nero Claudius	
<1> Chimera	Ritsuka Fujimaru | Mash Kyrielight | Artoria Pendragon	Defeated by Ritsuka Fujimaru's party	
<1> Chimera	Ritsuka Fujimaru | Mash Kyrielight | EMIYA Shirou	Defeated by Ritsuka Fujimaru's party	
<1> Dragon	Ritsuka Fujimaru | Mash Kyrielight | Heracles	Defeated by Ritsuka Fujimaru's party	
<1> Its Shell	Ritsuka Fujimaru | Aŋra Mainiiu | Romani Archaman	Defeated by Ritsuka Fujimaru and Aŋra Mainiiu at the request of Romani Archaman	
<1> Proto Homunculus	Ritsuka Fujimaru | Mash Kyrielight | Heracles	Defeated by Ritsuka Fujimaru's party	
<23> Skeleton	Ritsuka Fujimaru | Mash Kyrielight | Vlad III	Defeated by Ritsuka Fujimaru's party	
<2> Zombie	Ritsuka Fujimaru | Mash Kyrielight | Artoria Pendragon Alter	Defeated by Ritsuka Fujimaru's party	
<3> Skeleton	Ritsuka Fujimaru | Nero Claudius	Defeated by Ritsuka Fujimaru and Nero Claudius	
<3> Wyvern	Ritsuka Fujimaru | Mash Kyrielight | Artoria Pendragon Alter	Defeated by Ritsuka Fujimaru's party	
<4> Stone Golem	Ritsuka Fujimaru | Mash Kyrielight | Artoria Pendragon Alter	Defeated by Ritsuka Fujimaru's party	
<5> Homunculus	Ritsuka Fujimaru | Mash Kyrielight | Heracles	Defeated by Ritsuka Fujimaru's party	
<5> Iron Golem	Ritsuka Fujimaru | Mash Kyrielight | Artoria Pendragon Alter	Defeated by Ritsuka Fujimaru's party	
<5> Werewolf	Ritsuka Fujimaru | Mash Kyrielight | EMIYA Shirou	Defeated by Ritsuka Fujimaru's party	
<5> Wyvern Dread	Ritsuka Fujimaru | Mash Kyrielight | Artoria Pendragon Alter	Defeated by Ritsuka Fujimaru's party	
<5> Wyvern Evil	Ritsuka Fujimaru | Mash Kyrielight | Artoria Pendragon Alter	Defeated by Ritsuka Fujimaru's party	
<5> Zombie	Ritsuka Fujimaru | Nero Claudius	Defeated by Ritsuka Fujimaru and Nero Claudius	
<6> Skeleton King	Ritsuka Fujimaru | Mash Kyrielight | Vlad III	Defeated by Ritsuka Fujimaru's party	
<8> Amazoness	Ritsuka Fujimaru | Mash Kyrielight | EMIYA Shirou	Defeated by Ritsuka Fujimaru's party	
<9> Dragon Tooth Warrior	Ritsuka Fujimaru | Mash Kyrielight | EMIYA Shirou	Defeated by Ritsuka Fujimaru's party	
<9> Dragon Tooth Warrior	Ritsuka Fujimaru | Mash Kyrielight | Gilgamesh	Defeated by Ritsuka Fujimaru's party	
<9> Soldier	Ritsuka Fujimaru | Mash Kyrielight | EMIYA Shirou	Defeated by Ritsuka Fujimaru's party	
Altera	Ritsuka Fujimaru | Mash Kyrielight | Artoria Pendragon Alter	Defeated by Ritsuka Fujimaru's party	
Artoria Pendragon Alter	Ritsuka Fujimaru | Mash Kyrielight | Gilgamesh	Defeated by Ritsuka Fujimaru's party	
Artoria Pendragon Alter	Ritsuka Fujimaru | Nero Claudius	Defeated by Ritsuka Fujimaru and Nero Claudius	
Atalanta	Ritsuka Fujimaru | Mash Kyrielight | Artoria Pendragon Alter	Defeated by Ritsuka Fujimaru's party	
Carmilla	Ritsuka Fujimaru | Mash Kyrielight | Artoria Pendragon Alter	Defeated by Ritsuka Fujimaru's party	
Charles-Henri Sanson	Ritsuka Fujimaru | Mash Kyrielight | Artoria Pendragon Alter	Defeated by Ritsuka Fujimaru's party	
Cú Chulainn	Ritsuka Fujimaru | Mash Kyrielight | Artoria Pendragon	Defeated by Ritsuka Fujimaru's party	
Cú Chulainn	Ritsuka Fujimaru | Nero Claudius	Defeated by Ritsuka Fujimaru and Nero Claudius	
EMIYA Shirou	Ritsuka Fujimaru | Mash Kyrielight | Gilgamesh	Defeated by Ritsuka Fujimaru's party	
EMIYA Shirou	Ritsuka Fujimaru | Nero Claudius	Defeated by Ritsuka Fujimaru and Nero Claudius	
Hassan of the Cursed Arm	Ritsuka Fujimaru | Mash Kyrielight | Gilgamesh	Defeated by Ritsuka Fujimaru's party	
Hassan of the Cursed Arm	Ritsuka Fujimaru | Nero Claudius	Defeated by Ritsuka Fujimaru and Nero Claudius	
Heracles	Ritsuka Fujimaru | Mash Kyrielight | EMIYA Shirou	Defeated by Ritsuka Fujimaru's party	
Heracles	Ritsuka Fujimaru | Mash Kyrielight | Vlad III	Defeated by Ritsuka Fujimaru's party	
Heracles	Ritsuka Fujimaru | Nero Claudius	Defeated by Ritsuka Fujimaru and Nero Claudius	
Jeanne d'Arc Alter	Ritsuka Fujimaru | Mash Kyrielight | Artoria Pendragon Alter	Defeated by Ritsuka Fujimaru's party	
Lancelot	Ritsuka Fujimaru | Mash Kyrielight | Artoria Pendragon Alter	Defeated by Ritsuka Fujimaru's party	
Martha	Ritsuka Fujimaru | Mash Kyrielight | Artoria Pendragon Alter	Defeated by Ritsuka Fujimaru's party	
Medea	Ritsuka Fujimaru | Mash Kyrielight | Gilgamesh	Defeated by Ritsuka Fujimaru's party	
Medusa	Ritsuka Fujimaru | Mash Kyrielight | Gilgamesh	Defeated by Ritsuka Fujimaru's party	
Medusa	Ritsuka Fujimaru | Nero Claudius	Defeated by Ritsuka Fujimaru and Nero Claudius	
Musashibou Benkei	Ritsuka Fujimaru | Mash Kyrielight | Gilgamesh	Defeated by Ritsuka Fujimaru's party	
Musashibou Benkei	Ritsuka Fujimaru | Nero Claudius	Defeated by Ritsuka Fujimaru and Nero Claudius	
Nero Claudius	Ritsuka Fujimaru | Nero Claudius	Defeated by Ritsuka Fujimaru and Nero Claudius	
Phantom of the Opera	Ritsuka Fujimaru | Mash Kyrielight | Artoria Pendragon Alter	Defeated by Ritsuka Fujimaru's party	
Sin Dragon Avaritia	Ritsuka Fujimaru | Nero Claudius	Defeated by Ritsuka Fujimaru and Nero Claudius	
Vlad III	Ritsuka Fujimaru | Mash Kyrielight | Artoria Pendragon Alter	Defeated by Ritsuka Fujimaru's party	
