character	killed by	death	type
<10> Skeleton	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party	
<11> Dragon Tooth Warrior	Ritsuka Fujimaru | Mash Kyrielight | Cú Chulainn	Defeated by Ritsuka Fujimaru's party	
<12> Skeleton	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party	
<12> Skeleton	Ritsuka Fujimaru | Mash Kyrielight | Cú Chulainn	Defeated by Ritsuka Fujimaru's party	
<13> Skeleton	Ritsuka Fujimaru | Mash Kyrielight | Cú Chulainn	Defeated by Ritsuka Fujimaru's party	
<18> Dragon Tooth Warrior	Ritsuka Fujimaru | Mash Kyrielight | Cú Chulainn	Defeated by Ritsuka Fujimaru's party	
<1> Arm of Dawn	Ritsuka Fujimaru | Mash Kyrielight | Cú Chulainn	Defeated by Ritsuka Fujimaru's party	
<2> Hand of Dawn	Ritsuka Fujimaru | Mash Kyrielight | Cú Chulainn	Defeated by Ritsuka Fujimaru's party	
<2> Skeleton	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party	
<3> Hand of Dawn	Ritsuka Fujimaru | Mash Kyrielight | Cú Chulainn	Defeated by Ritsuka Fujimaru's party	
<3> Skeleton	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party	
<4> Skeleton	Ritsuka Fujimaru | Mash Kyrielight | Cú Chulainn	Defeated by Ritsuka Fujimaru's party	
<5> Hand of Dawn	Ritsuka Fujimaru | Mash Kyrielight | Cú Chulainn	Defeated by Ritsuka Fujimaru's party	
<5> Skeleton	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party	
<7> Skeleton	Ritsuka Fujimaru | Mash Kyrielight | Cú Chulainn	Defeated by Ritsuka Fujimaru's party	
Artoria Pendragon Alter	Cú Chulainn	Incinerated by Cú Chulainn with his Noble Phantasm (First Order Movie)	
Artoria Pendragon Alter	Ritsuka Fujimaru | Mash Kyrielight | Cú Chulainn	Defeated by Ritsuka Fujimaru's party	
Cú Chulainn	Cú Chulainn	Disappeared after he ended the Holy Grail War (First Order Movie)	
Cú Chulainn	Ritsuka Fujimaru | Mash Kyrielight	Disappeared after the Holy Grail War was ended by Ritsuka Fujimaru's party	
Darius III	Cú Chulainn	Defeated by Cú Chulainn (First Order Movie)	
EMIYA Shirou	Cú Chulainn	Defeated by Cú Chulainn (First Order Movie)	
EMIYA Shirou	Ritsuka Fujimaru | Mash Kyrielight | Cú Chulainn	Defeated by Ritsuka Fujimaru's party	
Hassan of the Cursed Arm	Cú Chulainn	Defeated by Cú Chulainn (First Order Movie)	
Hassan of the Cursed Arm	Ritsuka Fujimaru | Mash Kyrielight | Cú Chulainn	Defeated by Ritsuka Fujimaru's party	
Heracles	Cú Chulainn	Disappeared after Cú Chulainn ended the Holy Grail War (First Order Movie)	
Heracles	Ritsuka Fujimaru | Mash Kyrielight	Disappeared after the Holy Grail War was ended by Ritsuka Fujimaru's party	
Medusa	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party	
Medusa Alter	Cú Chulainn	Incinerated by Cú Chulainn (First Order Movie)	
Musashibou Benkei	Ritsuka Fujimaru | Mash Kyrielight | Cú Chulainn	Defeated by Ritsuka Fujimaru's party	
Olga Marie Asmleit Animusphere	Lev Lainur Flauros	Body destroyed in an explosion set up by Lev Lainur Flauros (mind rayshifted to Fuyuki)	physical
Olga Marie Asmleit Animusphere	Lev Lainur Flauros	Disassembled on the molecular level after being thrown into CHALDEAS by Lev Lainur Flauros	
