character	killed by	death	type
<10> Werewolf	Ritsuka Fujimaru | Mash Kyrielight | Heracles	Defeated by Ritsuka Fujimaru's party	
<11> Wyvern	Ritsuka Fujimaru | Mash Kyrielight | Siegfried	Defeated by Ritsuka Fujimaru's party	
<13> Bandit	Ritsuka Fujimaru | Mash Kyrielight | Wolfgang Amadeus Mozart	Defeated by Ritsuka Fujimaru's party	
<14> Ghost	Ritsuka Fujimaru | Mash Kyrielight | Chevalier d'Éon	Defeated by Ritsuka Fujimaru's party	
<15> Soldier	Ritsuka Fujimaru | Mash Kyrielight | Medusa	Defeated by Ritsuka Fujimaru's party	
<19> Zombie	Ritsuka Fujimaru | Mash Kyrielight | Gilles de Rais	Defeated by Ritsuka Fujimaru's party	
<1> Ancient Ghost	Ritsuka Fujimaru | Mash Kyrielight | Mata Hari	Defeated by Ritsuka Fujimaru's party	
<1> Chimera	Ritsuka Fujimaru | Mash Kyrielight | Eric Bloodaxe	Defeated by Ritsuka Fujimaru's party	
<1> Chimera	Ritsuka Fujimaru | Mash Kyrielight | Heracles	Defeated by Ritsuka Fujimaru's party	
<1> Chimera	Ritsuka Fujimaru | Mash Kyrielight | Lancelot	Defeated by Ritsuka Fujimaru's party	
<1> Chimera	Ritsuka Fujimaru | Mash Kyrielight | Siegfried	Defeated by Ritsuka Fujimaru's party	
<1> Dragon	Ritsuka Fujimaru | Mash Kyrielight | Anne Bonny | Mary Read	Defeated by Ritsuka Fujimaru's party	
<1> Iron Golem	Ritsuka Fujimaru | Mash Kyrielight | Anne Bonny | Mary Read	Defeated by Ritsuka Fujimaru's party	
<1> Iron Golem	Ritsuka Fujimaru | Mash Kyrielight | Mata Hari	Defeated by Ritsuka Fujimaru's party	
<1> Lamia	Ritsuka Fujimaru | Mash Kyrielight | Eric Bloodaxe	Defeated by Ritsuka Fujimaru's party	
<1> Proto Homunculus	Ritsuka Fujimaru | Mash Kyrielight | Anne Bonny | Mary Read	Defeated by Ritsuka Fujimaru's party	
<1> Strong Arm of Dawn	Ritsuka Fujimaru | Mash Kyrielight | Robin Hood	Defeated by Ritsuka Fujimaru's party	
<1> Teacher	Ritsuka Fujimaru | Mash Kyrielight | Medusa	Defeated by Ritsuka Fujimaru's party	
<1> Terror Ghost	Ritsuka Fujimaru | Mash Kyrielight | Siegfried	Defeated by Ritsuka Fujimaru's party	
<1> Wyvern Dread	Ritsuka Fujimaru | Mash Kyrielight | Eric Bloodaxe	Defeated by Ritsuka Fujimaru's party	
<1> Wyvern Evil	Ritsuka Fujimaru | Mash Kyrielight | Eric Bloodaxe	Defeated by Ritsuka Fujimaru's party	
<2> Arm of Dawn	Ritsuka Fujimaru | Mash Kyrielight | Robin Hood	Defeated by Ritsuka Fujimaru's party	
<2> Ghost	Ritsuka Fujimaru | Mash Kyrielight | Siegfried	Defeated by Ritsuka Fujimaru's party	
<2> Golem	Ritsuka Fujimaru | Mash Kyrielight | Lancelot	Defeated by Ritsuka Fujimaru's party	
<2> Golem	Ritsuka Fujimaru | Mash Kyrielight | Mata Hari	Defeated by Ritsuka Fujimaru's party	
<2> Stone Golem	Ritsuka Fujimaru | Mash Kyrielight | Mata Hari	Defeated by Ritsuka Fujimaru's party	
<2> Wyvern Evil	Ritsuka Fujimaru | Mash Kyrielight | Siegfried	Defeated by Ritsuka Fujimaru's party	
<3> Ghost	Ritsuka Fujimaru | Mash Kyrielight | Gilles de Rais	Defeated by Ritsuka Fujimaru's party	
<3> Golem	Ritsuka Fujimaru | Mash Kyrielight | Anne Bonny | Mary Read	Defeated by Ritsuka Fujimaru's party	
<3> Homunculus	Ritsuka Fujimaru | Mash Kyrielight | Anne Bonny | Mary Read	Defeated by Ritsuka Fujimaru's party	
<3> Lamia	Ritsuka Fujimaru | Mash Kyrielight | Kiyohime	Defeated by Ritsuka Fujimaru's party	
<3> Stone Golem	Ritsuka Fujimaru | Mash Kyrielight | Lancelot	Defeated by Ritsuka Fujimaru's party	
<3> Terror Ghost	Ritsuka Fujimaru | Mash Kyrielight | Gilles de Rais	Defeated by Ritsuka Fujimaru's party	
<3> Werejaguar	Ritsuka Fujimaru | Mash Kyrielight | Eric Bloodaxe	Defeated by Ritsuka Fujimaru's party	
<3> Wyvern Evil	Ritsuka Fujimaru | Mash Kyrielight | Martha	Defeated by Ritsuka Fujimaru's party	
<4> Ghost	Ritsuka Fujimaru | Mash Kyrielight | Phantom of the Opera	Defeated by Ritsuka Fujimaru's party	
<4> Hand of Dawn	Ritsuka Fujimaru | Mash Kyrielight | Robin Hood	Defeated by Ritsuka Fujimaru's party	
<4> Skeleton	Ritsuka Fujimaru | Mash Kyrielight | Siegfried	Defeated by Ritsuka Fujimaru's party	
<4> Stone Golem	Ritsuka Fujimaru | Mash Kyrielight | Anne Bonny | Mary Read	Defeated by Ritsuka Fujimaru's party	
<4> Terror Ghost	Ritsuka Fujimaru | Mash Kyrielight | Phantom of the Opera	Defeated by Ritsuka Fujimaru's party	
<4> Wyvern	Ritsuka Fujimaru | Mash Kyrielight | Kiyohime	Defeated by Ritsuka Fujimaru's party	
<4> Wyvern Dread	Ritsuka Fujimaru | Mash Kyrielight | Kiyohime	Defeated by Ritsuka Fujimaru's party	
<4> Zombie	Ritsuka Fujimaru | Mash Kyrielight | Anne Bonny | Mary Read	Defeated by Ritsuka Fujimaru's party	
<5> Wyvern	Ritsuka Fujimaru | Mash Kyrielight | Eric Bloodaxe	Defeated by Ritsuka Fujimaru's party	
<5> Wyvern Dread	Ritsuka Fujimaru | Mash Kyrielight | Martha	Defeated by Ritsuka Fujimaru's party	
<6> Werejaguar	Ritsuka Fujimaru | Mash Kyrielight | Heracles	Defeated by Ritsuka Fujimaru's party	
<6> Werewolf	Ritsuka Fujimaru | Mash Kyrielight | Siegfried	Defeated by Ritsuka Fujimaru's party	
<6> Wyvern Dread	Ritsuka Fujimaru | Mash Kyrielight | Siegfried	Defeated by Ritsuka Fujimaru's party	
<7> Lamia	Ritsuka Fujimaru | Mash Kyrielight | Orion	Defeated by Ritsuka Fujimaru's party	
<7> Werewolf	Ritsuka Fujimaru | Mash Kyrielight | Eric Bloodaxe	Defeated by Ritsuka Fujimaru's party	
<7> Wyvern	Ritsuka Fujimaru | Mash Kyrielight | Martha	Defeated by Ritsuka Fujimaru's party	
<8> Dragon Tooth Warrior	Ritsuka Fujimaru | Mash Kyrielight | Lancelot	Defeated by Ritsuka Fujimaru's party	
<8> French Soldier	Ritsuka Fujimaru | Mash Kyrielight | Gilles de Rais	Defeated by Ritsuka Fujimaru's party	
<8> Skeleton	Ritsuka Fujimaru | Mash Kyrielight | Lancelot	Defeated by Ritsuka Fujimaru's party	
<8> Soldier	Ritsuka Fujimaru | Mash Kyrielight | Mata Hari	Defeated by Ritsuka Fujimaru's party	
<8> Soldier	Ritsuka Fujimaru | Mash Kyrielight | Siegfried	Defeated by Ritsuka Fujimaru's party	
<8> Terror Ghost	Ritsuka Fujimaru | Mash Kyrielight | Chevalier d'Éon	Defeated by Ritsuka Fujimaru's party	
<8> Zombie	Ritsuka Fujimaru | Mash Kyrielight | Orion	Defeated by Ritsuka Fujimaru's party	
<9> Bandit	Ritsuka Fujimaru | Mash Kyrielight | Karna	Defeated by Ritsuka Fujimaru's party	
<9> Soldier	Ritsuka Fujimaru | Mash Kyrielight | Artoria Pendragon Lily	Defeated by Ritsuka Fujimaru's party	
<9> Soldier	Ritsuka Fujimaru | Mash Kyrielight | Robin Hood	Defeated by Ritsuka Fujimaru's party	
<9> Werewolf	Ritsuka Fujimaru | Mash Kyrielight | Orion	Defeated by Ritsuka Fujimaru's party	
Artoria Pendragon Alter	Ritsuka Fujimaru | Mash Kyrielight | Gilles de Rais	Defeated by Ritsuka Fujimaru's party	
Darius III	Ritsuka Fujimaru | Mash Kyrielight | Iskandar	Defeated by Ritsuka Fujimaru's party	
Fafnir	Ritsuka Fujimaru | Mash Kyrielight | Siegfried	Defeated by Ritsuka Fujimaru's party	
Gilgamesh	Ritsuka Fujimaru | Mash Kyrielight | Lancelot	Defeated by Ritsuka Fujimaru's party	
Gilles de Rais	Ritsuka Fujimaru | Mash Kyrielight | Iskandar	Defeated by Ritsuka Fujimaru's party	
Hagen	Ritsuka Fujimaru | Mash Kyrielight | Siegfried	Defeated by Ritsuka Fujimaru's party	
Hassan of the Hundred Faces	Ritsuka Fujimaru | Mash Kyrielight | Iskandar	Defeated by Ritsuka Fujimaru's party	
Heracles	Ritsuka Fujimaru | Mash Kyrielight | Iskandar	Defeated by Ritsuka Fujimaru's party	
Kiyohime	Ritsuka Fujimaru | Mash Kyrielight | Kiyohime	Defeated by Ritsuka Fujimaru's party	
Lancelot	Ritsuka Fujimaru | Mash Kyrielight | Iskandar	Defeated by Ritsuka Fujimaru's party	
Maximilien Robespierre	Ritsuka Fujimaru | Mash Kyrielight | Chevalier d'Éon	Defeated by Ritsuka Fujimaru's party	
Patricia	Ritsuka Fujimaru | Mash Kyrielight | Wolfgang Amadeus Mozart	Defeated by Ritsuka Fujimaru's party	
Robin Hood	Ritsuka Fujimaru | Mash Kyrielight | Lancelot	Defeated by Ritsuka Fujimaru's party	
Romulus	Ritsuka Fujimaru | Mash Kyrielight | Lancelot	Defeated by Ritsuka Fujimaru's party	
Siegfried	Ritsuka Fujimaru | Mash Kyrielight | Lancelot	Defeated by Ritsuka Fujimaru's party	
