character	killed by	death	type
<10> Zombie	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc	Defeated by Ritsuka Fujimaru's party	
<12> Wyvern	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc | Wolfgang Amadeus Mozart | Georgios | Siegfried | Elizabeth Báthory | Kiyohime	Defeated by Ritsuka Fujimaru's party	
<13> Wyvern	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc	Defeated by Ritsuka Fujimaru's party	
<16> Werewolf	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc | Wolfgang Amadeus Mozart | Georgios | Siegfried | Elizabeth Báthory | Kiyohime	Defeated by Ritsuka Fujimaru's party	
<17> Skeleton	Ritsuka Fujimaru | Mash Kyrielight | Wolfgang Amadeus Mozart	Defeated by Ritsuka Fujimaru's party	
<18> Werewolf	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc | Marie Antoinette | Wolfgang Amadeus Mozart	Defeated by Ritsuka Fujimaru's party	
<18> Zombie	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc | Elizabeth Báthory | Kiyohime	Defeated by Ritsuka Fujimaru's party	
<18> Zombie	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc | Marie Antoinette | Wolfgang Amadeus Mozart	Defeated by Ritsuka Fujimaru's party	
<1> Arm of Dawn	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc | Marie Antoinette | Wolfgang Amadeus Mozart	Defeated by Ritsuka Fujimaru's party	
<1> Wyvern	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party	
<1> Wyvern	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party	
<1> Wyvern Dread	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc	Defeated by Ritsuka Fujimaru's party	
<1> Wyvern Dread	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc | Georgios | Siegfried	Defeated by Ritsuka Fujimaru's party	
<1> Wyvern Dread	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc | Marie Antoinette | Wolfgang Amadeus Mozart	Defeated by Ritsuka Fujimaru's party	
<1> Wyvern Evil	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc | Elizabeth Báthory | Kiyohime	Defeated by Ritsuka Fujimaru's party	
