character	killed by	death	type
Arash	Arash | Elza Saijo | Manaka Sajyou	Disappeared after using his suicidal Noble Phantasm Stella on orders from Elza Saijo, herself ordered by Manaka Sajyou	
Aritoshi Reiroukan	Paracelsus von Hohenheim | Manaka Sajyou	Body destroyed from the inside when his Self-Geis Scroll was broken by Paracelsus von Hohenheim on orders from Manaka Sajyou	
Arthur Pendragon	Arthur Pendragon	Disappeared after killing his own Master (later summoned by Ayaka Sajyou)	revived
Brynhildr	Arthur Pendragon | Brynhildr	Stabbed through the heart by Arthur Pendragon on her own request	
Hassan of Serenity	Arthur Pendragon	Slashed by Arthur Pendragon	
Henry Jekyll	Arthur Pendragon | Ozymandias | Arash | Brynhildr	Stabbed through the heart by Arthur Pendragon after being hit by a beam of light by Ozymandias, shot with arrows by Arash and impaled with her spear by Brynhildr	
Hiroki Sajyou	Beast of 666 | Manaka Sajyou	Fatally wounded after being smashed against cliffs by the Beast of 666 on orders from Manaka Sajyou	
Manaka Sajyou	Arthur Pendragon	Impaled through the back by Arthur Pendragon (later resurrected by the Beast of 666)	revived
Nigel Saward	Manaka Sajyou	Murdered in a battle against Manaka Sajyou	
Ozymandias	Arthur Pendragon | Arash | Elza Saijo | Manaka Sajyou	Struck down by combined Noble Phantasms from Arthur Pendragon and Arash on orders from Elza Saijo and Manaka Sajyou	
Paracelsus von Hohenheim	Arthur Pendragon	Blasted by Arthur Pendragon using Excalibur	
Sancraid Phahn	Hiroki Sajyou	Shot by Hiroki Sajyou (revived through unknown means)	revived
Seiji Jinga	Hassan of Serenity	Poisoned after kissing Hassan of Serenity	
Shizuri Isemi	Hassan of Serenity | Manaka Sajyou	Poisoned via gas by Hassan of Serenity on orders from Manaka Sajyou	
Tatsumi Kitano	Hassan of Serenity	Euthanized by Hassan of Serenity	
Tatsumi Kitano	Hassan of Serenity	Poisoned after being kissed by Hassan of Serenity (reanimated as a corpse by Caster)	undead
