character	killed by	death	type
<3> Skeleton	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Unknown Coordinates X-A)	
<5> Skeleton	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Unknown Coordinates X-B)	
<6> Dragon Tooth Warrior	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Mobile Coordinates, Point 0)	
<6> Skeleton	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Unknown Coordinates X-E)	
<6> Skeleton	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Unknown Coordinates X-F)	
<7> Skeleton	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Unknown Coordinates X-C)	
<7> Skeleton	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Unknown Coordinates X-G)	
<8> Skeleton	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Unknown Coordinates X-D)	
Artoria Pendragon Alter (Saber)	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Mobile Coordinates, Point 0)	
Hassan of the Cursed Arm (Assassin)	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Unknown Coordinates X-F)	
Heracles (Berserker)	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Unknown Coordinates X-G)	
Medusa (Rider)	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Unknown Coordinates X-E)	
Musashibou Benkei (Lancer)	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Unknown Coordinates X-F)	
