character	killed by	death	type
<100> Carcass	Ritsuka Fujimaru | Aŋra Mainiiu (Avenger) | Romani Archaman	Defeated by Ritsuka Fujimaru and Aŋra Mainiiu (Avenger) at the request of Romani Archaman (Unlimited Raise/Dead)	
<14> Golem	Ritsuka Fujimaru | Mash Kyrielight | Artoria Pendragon Alter (Saber)	Defeated by Ritsuka Fujimaru's party (The Counterfeit)	
<14> Skeleton	Ritsuka Fujimaru | Mash Kyrielight | Artoria Pendragon (Saber)	Defeated by Ritsuka Fujimaru's party (Reason to Fight)	
<1> Amazoness Leader	Ritsuka Fujimaru | Mash Kyrielight | EMIYA (Archer)	Defeated by Ritsuka Fujimaru's party (Qualifications of a Master)	
<1> Bicorn	Ritsuka Fujimaru | Nero Claudius (Bride)	Defeated by Ritsuka Fujimaru and Nero Claudius (Bride) (Bouquet of Determination)	
<1> Chimera	Ritsuka Fujimaru | Mash Kyrielight | Artoria Pendragon (Saber)	Defeated by Ritsuka Fujimaru's party (Reason to Fight)	
<1> Chimera	Ritsuka Fujimaru | Mash Kyrielight | EMIYA (Archer)	Defeated by Ritsuka Fujimaru's party (Qualifications of a Master)	
<1> Dragon	Ritsuka Fujimaru | Mash Kyrielight | Heracles (Berserker)	Defeated by Ritsuka Fujimaru's party (The Thirteenth Labor)	
<1> Its Shell	Ritsuka Fujimaru | Aŋra Mainiiu (Avenger) | Romani Archaman	Defeated by Ritsuka Fujimaru and Aŋra Mainiiu (Avenger) at the request of Romani Archaman (Unlimited Raise/Dead)	
<1> Proto Homunculus	Ritsuka Fujimaru | Mash Kyrielight | Heracles (Berserker)	Defeated by Ritsuka Fujimaru's party (The Thirteenth Labor)	
<23> Skeleton	Ritsuka Fujimaru | Mash Kyrielight | Vlad III (Fate/EXTRA)	Defeated by Ritsuka Fujimaru's party (Memory of Scorched Earth)	
<2> Zombie	Ritsuka Fujimaru | Mash Kyrielight | Artoria Pendragon Alter (Saber)	Defeated by Ritsuka Fujimaru's party (Lineage of Alter)	
