character	killed by	death	type
<10> Skeleton	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Section 4)	
<11> Dragon Tooth Warrior	Ritsuka Fujimaru | Mash Kyrielight | Cú Chulainn (Caster)	Defeated by Ritsuka Fujimaru's party (Section 9)	
<12> Skeleton	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Section 3)	
<12> Skeleton	Ritsuka Fujimaru | Mash Kyrielight | Cú Chulainn (Caster)	Defeated by Ritsuka Fujimaru's party (Section 7)	
<13> Skeleton	Ritsuka Fujimaru | Mash Kyrielight | Cú Chulainn (Caster)	Defeated by Ritsuka Fujimaru's party (Section 8)	
<18> Dragon Tooth Warrior	Ritsuka Fujimaru | Mash Kyrielight | Cú Chulainn (Caster)	Defeated by Ritsuka Fujimaru's party (Section 10)	
<1> Arm of Dawn	Ritsuka Fujimaru | Mash Kyrielight | Cú Chulainn (Caster)	Defeated by Ritsuka Fujimaru's party (Section 10)	
<2> Hand of Dawn	Ritsuka Fujimaru | Mash Kyrielight | Cú Chulainn (Caster)	Defeated by Ritsuka Fujimaru's party (Section 7)	
<2> Skeleton	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Section 1)	
<3> Hand of Dawn	Ritsuka Fujimaru | Mash Kyrielight | Cú Chulainn (Caster)	Defeated by Ritsuka Fujimaru's party (Section 10)	
<3> Skeleton	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Section 2)	
<4> Skeleton	Ritsuka Fujimaru | Mash Kyrielight | Cú Chulainn (Caster)	Defeated by Ritsuka Fujimaru's party (Section 9)	
<5> Hand of Dawn	Ritsuka Fujimaru | Mash Kyrielight | Cú Chulainn (Caster)	Defeated by Ritsuka Fujimaru's party (Section 8)	
<5> Skeleton	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Section 5)	
<7> Skeleton	Ritsuka Fujimaru | Mash Kyrielight | Cú Chulainn (Caster)	Defeated by Ritsuka Fujimaru's party (Section 6)	
Artoria Pendragon Alter (Saber)	Ritsuka Fujimaru | Mash Kyrielight | Cú Chulainn (Caster)	Defeated by Ritsuka Fujimaru's party (Section 11)	
Cú Chulainn (Caster)	Ritsuka Fujimaru | Mash Kyrielight	Disappeared after the Holy Grail War was ended by Ritsuka Fujimaru's party (Section 11)	
EMIYA (Archer)	Ritsuka Fujimaru | Mash Kyrielight | Cú Chulainn (Caster)	Defeated by Ritsuka Fujimaru's party (Section 9)	
Hassan of the Cursed Arm (Assassin)	Ritsuka Fujimaru | Mash Kyrielight | Cú Chulainn (Caster)	Defeated by Ritsuka Fujimaru's party (Section 6)	
Heracles (Berserker)	Ritsuka Fujimaru | Mash Kyrielight	Disappeared after the Holy Grail War was ended by Ritsuka Fujimaru's party (Section 11)	
Medusa (Rider)	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Section 5)	
Musashibou Benkei (Lancer)	Ritsuka Fujimaru | Mash Kyrielight | Cú Chulainn (Caster)	Defeated by Ritsuka Fujimaru's party (Section 6)	
Olga Marie Asmleit Animusphere	Lev Lainur Flauros	Body destroyed in an explosion set up by Lev Lainur Flauros (mind rayshifted to Fuyuki)	physical
Olga Marie Asmleit Animusphere	Lev Lainur Flauros	Disassembled on the molecular level after being thrown into CHALDEAS by Lev Lainur Flauros (Section 11)	
