character	killed by	death	type
<1> Iron Golem	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Two-Current Sea)	
<1> Naga	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Sunken Rock Seas)	
<1> Pirate Head	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Two-Current Sea)	
<1> Stone Golem	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Two-Current Sea)	
<1> Wyvern Evil	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Island of Wyverns)	
<2> Golem	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Two-Current Sea)	
<3> Amazoness Leader	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Bountiful Sea)	
<3> Dragon Tooth Warrior	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Archipelago)	
<3> Lamia	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Sunken Rock Seas)	
<3> Pirate	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Two-Current Sea)	
<3> Terror Ghost	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Stormy Seas)	
<3> Wyvern Dread	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Island of Wyverns)	
<3> Zombie Pirate	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Archipelago)	
<4> Centaur	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Caldera Island)	
<4> Wyvern	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Island of Wyverns)	
<5> Amazoness	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Bountiful Sea)	
<5> Ghost	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Stormy Seas)	
<5> Skeleton	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Sunken Rock Seas)	
<5> Werewolf	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Caldera Island)	
<5> Zombie Pirate	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (King's Abode Island)	
<8> Dragon Tooth Warrior	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Mapped Island)	
<8> Pirate	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Pirate Island)	
<9> Pirate	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Pirate Ship)	
Asterios (Berserker)	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Mapped Island)	
Eric Bloodaxe (Berserker)	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (King's Abode Island)	
Francis Drake (Rider)	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Pirate Island)	
Heracles (Berserker)	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Archipelago)	
Medea Lily (Caster)	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Archipelago)	
