character	killed by	death	type
<10> Wyvern	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake (Rider) | Orion (Archer) | Euryale (Archer) | Atalanta (Archer) | David (Archer)	Defeated by Ritsuka Fujimaru's party (Section 12)	
<11> Pirate	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake (Rider) | Orion (Archer) | Asterios (Berserker)	Defeated by Ritsuka Fujimaru's party (Section 9)	
<13> Dragon Tooth Warrior	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake (Rider) | Orion (Archer)	Defeated by Ritsuka Fujimaru's party (Section 10)	
<18> Pirate	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake (Rider) | Euryale (Archer)	Defeated by Ritsuka Fujimaru's party (Section 5)	
<1> Ancient Ghost	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake (Rider) | Orion (Archer) | Euryale (Archer)	Defeated by Ritsuka Fujimaru's party (Section 11)	
<1> Chief Navigator	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake (Rider) | Asterios (Berserker) | Orion (Archer)	Defeated by Ritsuka Fujimaru's party (Section 8)	
<1> Golem	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake (Rider) | Asterios (Berserker)	Defeated by Ritsuka Fujimaru's party (Section 7)	
<1> Great Dragon	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake (Rider) | Asterios (Berserker) | Orion (Archer)	Defeated by Ritsuka Fujimaru's party (Section 6)	
<1> Helmsman	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake (Rider) | Asterios (Berserker) | Orion (Archer)	Defeated by Ritsuka Fujimaru's party (Section 8)	
<1> Iron Golem	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake (Rider) | Orion (Archer) | Asterios (Berserker)	Defeated by Ritsuka Fujimaru's party (Section 9)	
<1> Pirate Boss	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Section 1)	
<1> Pirate Boss	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Section 2)	
<1> Pirate Head	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake (Rider) | Asterios (Berserker) | Orion (Archer)	Defeated by Ritsuka Fujimaru's party (Section 8)	
<1> Stone Golem	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake (Rider) | Orion (Archer) | Asterios (Berserker)	Defeated by Ritsuka Fujimaru's party (Section 9)	
<1> Strong Arm of Dawn	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake (Rider)	Defeated by Ritsuka Fujimaru's party (Section 4)	
<1> White Chimera	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake (Rider)	Defeated by Ritsuka Fujimaru's party (Section 4)	
<1> White Chimera	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake (Rider) | Orion (Archer) | Euryale (Archer) | Atalanta (Archer) | David (Archer)	Defeated by Ritsuka Fujimaru's party (Section 12)	
<1> Wyvern Dread	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake (Rider) | Euryale (Archer)	Defeated by Ritsuka Fujimaru's party (Section 6)	
<1> Wyvern Dread	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake (Rider) | Orion (Archer) | Euryale (Archer) | Atalanta (Archer) | David (Archer)	Defeated by Ritsuka Fujimaru's party (Section 12)	
