character	killed by	death	type
<1> Wyvern Dread	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (La Charité)	
<1> Wyvern Dread	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Thiers)	
<1> Wyvern Evil	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Orleans)	
<1> Wyvern Evil	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Paris)	
<2> Skeleton	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Orleans)	
<2> Skeleton	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Vaucouleurs)	
<2> Wyvern	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Paris)	
<2> Wyvern Dread	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Jura)	
<2> Wyvern Dread	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Orleans)	
<2> Zombie	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (La Charité)	
<3> Skeleton	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Paris)	
<4> Wyvern	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Vaucouleurs)	
<5> Werewolf	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Jura)	
<5> Wyvern	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (La Charité)	
<5> Wyvern	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Thiers)	
<7> French Soldier	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Domrémy)	
<7> Zombie	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Lyon)	
<8> Werewolf	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Bordeaux)	
<9> Zombie	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Marseille)	
Gilles de Rais	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Orleans)	
Jeanne d'Arc Alter	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Paris)	
Lancelot	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Thiers)	
Martha	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Jura)	
Phantom of the Opera	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Lyon)	
