character	killed by	death	type
<10> Werewolf	Ritsuka Fujimaru | Mash Kyrielight | Heracles (Berserker)	Defeated by Ritsuka Fujimaru's party (Heracles' Oath)	
<11> Wyvern	Ritsuka Fujimaru | Mash Kyrielight | Siegfried (Saber)	Defeated by Ritsuka Fujimaru's party (Dragon Slayer)	
<13> Bandit	Ritsuka Fujimaru | Mash Kyrielight | Wolfgang Amadeus Mozart (Caster)	Defeated by Ritsuka Fujimaru's party (Heroic Symphony)	
<14> Ghost	Ritsuka Fujimaru | Mash Kyrielight | Chevalier d'Éon (Saber)	Defeated by Ritsuka Fujimaru's party (In the Name of the White Lily)	
<15> Soldier	Ritsuka Fujimaru | Mash Kyrielight | Medusa (Rider)	Defeated by Ritsuka Fujimaru's party (Gorgon Bride)	
<19> Zombie	Ritsuka Fujimaru | Mash Kyrielight | Gilles de Rais (Saber)	Defeated by Ritsuka Fujimaru's party (Sword of the Holy Maiden)	
<1> Ancient Ghost	Ritsuka Fujimaru | Mash Kyrielight | Mata Hari (Assassin)	Defeated by Ritsuka Fujimaru's party (Meltdown Lover)	
<1> Chimera	Ritsuka Fujimaru | Mash Kyrielight | Eric Bloodaxe (Berserker)	Defeated by Ritsuka Fujimaru's party (Terror of the Bloodaxe)	
<1> Chimera	Ritsuka Fujimaru | Mash Kyrielight | Heracles (Berserker)	Defeated by Ritsuka Fujimaru's party (Heracles' Oath)	
<1> Chimera	Ritsuka Fujimaru | Mash Kyrielight | Lancelot (Berserker)	Defeated by Ritsuka Fujimaru's party (A Knight Does Not Die with Empty Hands)	
<1> Chimera	Ritsuka Fujimaru | Mash Kyrielight | Siegfried (Saber)	Defeated by Ritsuka Fujimaru's party (In Search of Das Rheingold)	
<1> Dragon	Ritsuka Fujimaru | Mash Kyrielight | Anne Bonny (Rider) | Mary Read (Rider)	Defeated by Ritsuka Fujimaru's party (Chase the treasure of the Knights Templar!)	
<1> Iron Golem	Ritsuka Fujimaru | Mash Kyrielight | Anne Bonny (Rider) | Mary Read (Rider)	Defeated by Ritsuka Fujimaru's party (Chase the treasure of the Knights Templar!)	
<1> Iron Golem	Ritsuka Fujimaru | Mash Kyrielight | Mata Hari (Assassin)	Defeated by Ritsuka Fujimaru's party (Meltdown Lover)	
<1> Lamia	Ritsuka Fujimaru | Mash Kyrielight | Eric Bloodaxe (Berserker)	Defeated by Ritsuka Fujimaru's party (Terror of the Bloodaxe)	
<1> Proto Homunculus	Ritsuka Fujimaru | Mash Kyrielight | Anne Bonny (Rider) | Mary Read (Rider)	Defeated by Ritsuka Fujimaru's party (Chase the treasure of the Knights Templar!)	
<1> Strong Arm of Dawn	Ritsuka Fujimaru | Mash Kyrielight | Robin Hood (Archer)	Defeated by Ritsuka Fujimaru's party (Hunter of the Forest)	
<1> Teacher	Ritsuka Fujimaru | Mash Kyrielight | Medusa (Rider)	Defeated by Ritsuka Fujimaru's party (Gorgon Bride)	
<1> Terror Ghost	Ritsuka Fujimaru | Mash Kyrielight | Siegfried (Saber)	Defeated by Ritsuka Fujimaru's party (In Search of Das Rheingold)	
<1> Wyvern Dread	Ritsuka Fujimaru | Mash Kyrielight | Eric Bloodaxe (Berserker)	Defeated by Ritsuka Fujimaru's party (Terror of the Bloodaxe)	
<1> Wyvern Evil	Ritsuka Fujimaru | Mash Kyrielight | Eric Bloodaxe (Berserker)	Defeated by Ritsuka Fujimaru's party (Terror of the Bloodaxe)	
<2> Arm of Dawn	Ritsuka Fujimaru | Mash Kyrielight | Robin Hood (Archer)	Defeated by Ritsuka Fujimaru's party (Hunter of the Forest)	
<2> Ghost	Ritsuka Fujimaru | Mash Kyrielight | Siegfried (Saber)	Defeated by Ritsuka Fujimaru's party (In Search of Das Rheingold)	
<2> Golem	Ritsuka Fujimaru | Mash Kyrielight | Lancelot (Berserker)	Defeated by Ritsuka Fujimaru's party (A Knight Does Not Die with Empty Hands)	
<2> Golem	Ritsuka Fujimaru | Mash Kyrielight | Mata Hari (Assassin)	Defeated by Ritsuka Fujimaru's party (Meltdown Lover)	
<2> Stone Golem	Ritsuka Fujimaru | Mash Kyrielight | Mata Hari (Assassin)	Defeated by Ritsuka Fujimaru's party (Meltdown Lover)	
<2> Wyvern Evil	Ritsuka Fujimaru | Mash Kyrielight | Siegfried (Saber)	Defeated by Ritsuka Fujimaru's party (Dragon Slayer)	
<3> Ghost	Ritsuka Fujimaru | Mash Kyrielight | Gilles de Rais (Saber)	Defeated by Ritsuka Fujimaru's party (Sword of the Holy Maiden)	
<3> Golem	Ritsuka Fujimaru | Mash Kyrielight | Anne Bonny (Rider) | Mary Read (Rider)	Defeated by Ritsuka Fujimaru's party (Chase the treasure of the Knights Templar!)	
<3> Homunculus	Ritsuka Fujimaru | Mash Kyrielight | Anne Bonny (Rider) | Mary Read (Rider)	Defeated by Ritsuka Fujimaru's party (Chase the treasure of the Knights Templar!)	
<3> Lamia	Ritsuka Fujimaru | Mash Kyrielight | Kiyohime (Berserker)	Defeated by Ritsuka Fujimaru's party (Empty Lips, Again and Again)	
<3> Stone Golem	Ritsuka Fujimaru | Mash Kyrielight | Lancelot (Berserker)	Defeated by Ritsuka Fujimaru's party (A Knight Does Not Die with Empty Hands)	
<3> Terror Ghost	Ritsuka Fujimaru | Mash Kyrielight | Gilles de Rais (Saber)	Defeated by Ritsuka Fujimaru's party (Sword of the Holy Maiden)	
<3> Werejaguar	Ritsuka Fujimaru | Mash Kyrielight | Eric Bloodaxe (Berserker)	Defeated by Ritsuka Fujimaru's party (Terror of the Bloodaxe)	
<3> Wyvern Evil	Ritsuka Fujimaru | Mash Kyrielight | Martha (Rider)	Defeated by Ritsuka Fujimaru's party (The Dragon Saint, The Saint by the Sea)	
<4> Ghost	Ritsuka Fujimaru | Mash Kyrielight | Phantom of the Opera (Assassin)	Defeated by Ritsuka Fujimaru's party (Call of Christine)	
<4> Hand of Dawn	Ritsuka Fujimaru | Mash Kyrielight | Robin Hood (Archer)	Defeated by Ritsuka Fujimaru's party (Hunter of the Forest)	
<4> Skeleton	Ritsuka Fujimaru | Mash Kyrielight | Siegfried (Saber)	Defeated by Ritsuka Fujimaru's party (In Search of Das Rheingold)	
<4> Stone Golem	Ritsuka Fujimaru | Mash Kyrielight | Anne Bonny (Rider) | Mary Read (Rider)	Defeated by Ritsuka Fujimaru's party (Chase the treasure of the Knights Templar!)	
<4> Terror Ghost	Ritsuka Fujimaru | Mash Kyrielight | Phantom of the Opera (Assassin)	Defeated by Ritsuka Fujimaru's party (Call of Christine)	
<4> Wyvern	Ritsuka Fujimaru | Mash Kyrielight | Kiyohime (Berserker)	Defeated by Ritsuka Fujimaru's party (Empty Lips, Again and Again)	
<4> Wyvern Dread	Ritsuka Fujimaru | Mash Kyrielight | Kiyohime (Berserker)	Defeated by Ritsuka Fujimaru's party (Empty Lips, Again and Again)	
<4> Zombie	Ritsuka Fujimaru | Mash Kyrielight | Anne Bonny (Rider) | Mary Read (Rider)	Defeated by Ritsuka Fujimaru's party (Chase the treasure of the Knights Templar!)	
<5> Wyvern	Ritsuka Fujimaru | Mash Kyrielight | Eric Bloodaxe (Berserker)	Defeated by Ritsuka Fujimaru's party (Terror of the Bloodaxe)	
<5> Wyvern Dread	Ritsuka Fujimaru | Mash Kyrielight | Martha (Rider)	Defeated by Ritsuka Fujimaru's party (The Dragon Saint, The Saint by the Sea)	
<6> Werejaguar	Ritsuka Fujimaru | Mash Kyrielight | Heracles (Berserker)	Defeated by Ritsuka Fujimaru's party (Heracles' Oath)	
<6> Werewolf	Ritsuka Fujimaru | Mash Kyrielight | Siegfried (Saber)	Defeated by Ritsuka Fujimaru's party (In Search of Das Rheingold)	
<6> Wyvern Dread	Ritsuka Fujimaru | Mash Kyrielight | Siegfried (Saber)	Defeated by Ritsuka Fujimaru's party (Dragon Slayer)	
<7> Lamia	Ritsuka Fujimaru | Mash Kyrielight | Orion (Archer)	Defeated by Ritsuka Fujimaru's party (Unsweet Honeymoon)	
<7> Werewolf	Ritsuka Fujimaru | Mash Kyrielight | Eric Bloodaxe (Berserker)	Defeated by Ritsuka Fujimaru's party (Terror of the Bloodaxe)	
<7> Wyvern	Ritsuka Fujimaru | Mash Kyrielight | Martha (Rider)	Defeated by Ritsuka Fujimaru's party (The Dragon Saint, The Saint by the Sea)	
<8> Dragon Tooth Warrior	Ritsuka Fujimaru | Mash Kyrielight | Lancelot (Berserker)	Defeated by Ritsuka Fujimaru's party (A Knight Does Not Die with Empty Hands)	
<8> French Soldier	Ritsuka Fujimaru | Mash Kyrielight | Gilles de Rais (Caster)	Defeated by Ritsuka Fujimaru's party (Offering to the God)	
<8> Skeleton	Ritsuka Fujimaru | Mash Kyrielight | Lancelot (Berserker)	Defeated by Ritsuka Fujimaru's party (A Knight Does Not Die with Empty Hands)	
