character	killed by	death	type
<10> Zombie	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc (Ruler)	Defeated by Ritsuka Fujimaru's party (Section 4)	
<12> Wyvern	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc (Ruler) | Wolfgang Amadeus Mozart (Caster) | Georgios (Rider) | Siegfried (Saber) | Elizabeth Báthory (Lancer) | Kiyohime (Berserker)	Defeated by Ritsuka Fujimaru's party (Section 12)	
<13> Wyvern	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc (Ruler)	Defeated by Ritsuka Fujimaru's party (Section 5)	
<16> Werewolf	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc (Ruler) | Wolfgang Amadeus Mozart (Caster) | Georgios (Rider) | Siegfried (Saber) | Elizabeth Báthory (Lancer) | Kiyohime (Berserker)	Defeated by Ritsuka Fujimaru's party (Section 11)	
<17> Skeleton	Ritsuka Fujimaru | Mash Kyrielight | Wolfgang Amadeus Mozart (Caster)	Defeated by Ritsuka Fujimaru's party (Section 10)	
<18> Werewolf	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc (Ruler) | Marie Antoinette (Rider) | Wolfgang Amadeus Mozart (Caster)	Defeated by Ritsuka Fujimaru's party (Section 6)	
<18> Zombie	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc (Ruler) | Elizabeth Báthory (Lancer) | Kiyohime (Berserker)	Defeated by Ritsuka Fujimaru's party (Section 14)	
<18> Zombie	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc (Ruler) | Marie Antoinette (Rider) | Wolfgang Amadeus Mozart (Caster)	Defeated by Ritsuka Fujimaru's party (Section 7)	
<1> Arm of Dawn	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc (Ruler) | Marie Antoinette (Rider) | Wolfgang Amadeus Mozart (Caster)	Defeated by Ritsuka Fujimaru's party (Section 6)	
<1> Wyvern	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Section 2)	
<1> Wyvern	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Section 3)	
<1> Wyvern Dread	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc (Ruler)	Defeated by Ritsuka Fujimaru's party (Section 4)	
<1> Wyvern Dread	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc (Ruler) | Georgios (Rider) | Siegfried (Saber)	Defeated by Ritsuka Fujimaru's party (Section 11)	
<1> Wyvern Dread	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc (Ruler) | Marie Antoinette (Rider) | Wolfgang Amadeus Mozart (Caster)	Defeated by Ritsuka Fujimaru's party (Section 7)	
<1> Wyvern Evil	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc (Ruler) | Elizabeth Báthory (Lancer) | Kiyohime (Berserker)	Defeated by Ritsuka Fujimaru's party (Section 14)	
<1> Wyvern Evil	Ritsuka Fujimaru | Mash Kyrielight | Siegfried (Saber)	Defeated by Ritsuka Fujimaru's party (Section 13)	
<1> Wyvern Evil	Ritsuka Fujimaru | Mash Kyrielight | Wolfgang Amadeus Mozart (Caster)	Defeated by Ritsuka Fujimaru's party (Section 10)	
<2> Skeleton	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Section 3)	
<2> Wyvern	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc (Ruler)	Defeated by Ritsuka Fujimaru's party (Section 3)	
<2> Wyvern	Ritsuka Fujimaru | Mash Kyrielight | Siegfried (Saber)	Defeated by Ritsuka Fujimaru's party (Section 13)	
<2> Wyvern Dread	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc (Ruler)	Defeated by Ritsuka Fujimaru's party (Section 5)	
