character	killed by	death	type
<10> Wyvern	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake | Orion | Euryale | Atalanta | David	Defeated by Ritsuka Fujimaru's party	
<11> Pirate	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake | Orion | Asterios	Defeated by Ritsuka Fujimaru's party	
<13> Dragon Tooth Warrior	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake | Orion	Defeated by Ritsuka Fujimaru's party	
<18> Pirate	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake | Euryale	Defeated by Ritsuka Fujimaru's party	
<1> Ancient Ghost	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake | Orion | Euryale	Defeated by Ritsuka Fujimaru's party	
<1> Chief Navigator	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake | Asterios | Orion	Defeated by Ritsuka Fujimaru's party	
<1> Golem	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake | Asterios	Defeated by Ritsuka Fujimaru's party	
<1> Great Dragon	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake | Asterios | Orion	Defeated by Ritsuka Fujimaru's party	
<1> Helmsman	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake | Asterios | Orion	Defeated by Ritsuka Fujimaru's party	
<1> Iron Golem	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake | Orion | Asterios	Defeated by Ritsuka Fujimaru's party	
<1> Pirate Boss	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party	
<1> Pirate Boss	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party	
<1> Pirate Head	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake | Asterios | Orion	Defeated by Ritsuka Fujimaru's party	
<1> Stone Golem	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake | Orion | Asterios	Defeated by Ritsuka Fujimaru's party	
<1> Strong Arm of Dawn	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake	Defeated by Ritsuka Fujimaru's party	
<1> White Chimera	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake	Defeated by Ritsuka Fujimaru's party	
<1> White Chimera	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake | Orion | Euryale | Atalanta | David	Defeated by Ritsuka Fujimaru's party	
<1> Wyvern Dread	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake | Euryale	Defeated by Ritsuka Fujimaru's party	
<1> Wyvern Dread	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake | Orion | Euryale | Atalanta | David	Defeated by Ritsuka Fujimaru's party	
<1> Wyvern Evil	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake | Asterios | Orion	Defeated by Ritsuka Fujimaru's party	
<21> Pirate Zombie	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake	Defeated by Ritsuka Fujimaru's party	
<2> Arm of Dawn	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake	Defeated by Ritsuka Fujimaru's party	
<2> Golem	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake | Euryale	Defeated by Ritsuka Fujimaru's party	
<2> Pirate Boss	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake	Defeated by Ritsuka Fujimaru's party	
<3> Chimera	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake | Orion | Euryale | Atalanta | David	Defeated by Ritsuka Fujimaru's party	
<3> Dragon Tooth Warrior	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake | Orion | Asterios | Euryale	Defeated by Ritsuka Fujimaru's party	
<3> Pirate	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake | Asterios | Orion	Defeated by Ritsuka Fujimaru's party	
<3> Pirate	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake | Orion	Defeated by Ritsuka Fujimaru's party	
<3> Skeleton	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake | Orion | Atalanta | David	Defeated by Ritsuka Fujimaru's party	
<3> Terror Ghost	Ritsuka Fujimaru | Mash Kyrielight | Francis Drake | Orion	Defeated by Ritsuka Fujimaru's party	
