character	killed by	death	type
<10> Zombie	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc	Defeated by Ritsuka Fujimaru's party (Section 4)	
<12> Wyvern	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc | Wolfgang Amadeus Mozart | Georgios | Siegfried | Elizabeth Báthory | Kiyohime	Defeated by Ritsuka Fujimaru's party (Section 12)	
<13> Wyvern	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc	Defeated by Ritsuka Fujimaru's party (Section 5)	
<16> Werewolf	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc | Wolfgang Amadeus Mozart | Georgios | Siegfried | Elizabeth Báthory | Kiyohime	Defeated by Ritsuka Fujimaru's party (Section 11)	
<17> Skeleton	Ritsuka Fujimaru | Mash Kyrielight | Wolfgang Amadeus Mozart	Defeated by Ritsuka Fujimaru's party (Section 10)	
<18> Werewolf	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc | Marie Antoinette | Wolfgang Amadeus Mozart	Defeated by Ritsuka Fujimaru's party (Section 6)	
<18> Zombie	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc | Elizabeth Báthory | Kiyohime	Defeated by Ritsuka Fujimaru's party (Section 14)	
<18> Zombie	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc | Marie Antoinette | Wolfgang Amadeus Mozart	Defeated by Ritsuka Fujimaru's party (Section 7)	
<1> Arm of Dawn	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc | Marie Antoinette | Wolfgang Amadeus Mozart	Defeated by Ritsuka Fujimaru's party (Section 6)	
<1> Wyvern	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Section 2)	
<1> Wyvern	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Section 3)	
<1> Wyvern Dread	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc	Defeated by Ritsuka Fujimaru's party (Section 4)	
<1> Wyvern Dread	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc | Georgios | Siegfried	Defeated by Ritsuka Fujimaru's party (Section 11)	
<1> Wyvern Dread	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc | Marie Antoinette | Wolfgang Amadeus Mozart	Defeated by Ritsuka Fujimaru's party (Section 7)	
<1> Wyvern Evil	Ritsuka Fujimaru | Mash Kyrielight | Jeanne d'Arc | Elizabeth Báthory | Kiyohime	Defeated by Ritsuka Fujimaru's party (Section 14)	
<1> Wyvern Evil	Ritsuka Fujimaru | Mash Kyrielight | Siegfried	Defeated by Ritsuka Fujimaru's party (Section 13)	
<1> Wyvern Evil	Ritsuka Fujimaru | Mash Kyrielight | Wolfgang Amadeus Mozart	Defeated by Ritsuka Fujimaru's party (Section 10)	
<2> Skeleton	Ritsuka Fujimaru | Mash Kyrielight	Defeated by Ritsuka Fujimaru's party (Section 3)	
