character	killed by	death	type
<1> Become Strong? Genuinely?	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Become Strong? Genuinely?	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Become Strong? Genuinely?	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Casino Security Chief	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Casino Security Chief	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Clippity-cloppity? Tap Away!	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Collected Casino Security	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Confident Casino Security	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Confident Casino Security	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Confident Casino Security	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Freezing Miner Slave	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Freezing Miner Slave	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Grown Powerful! For Realsies?	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Grown Powerful! For Realsies?	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Grown Powerful! For Realsies?	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Irae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Morositatis Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Pink Shoes Enchantee	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Pink Shoes Enchantee	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Pink Shoes Possessee	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Pink Shoes Possessee	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Pink Shoes Possessee	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Rigid Casino Security	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Rigid Casino Security	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Rigid Casino Security	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Rustic-sounding Tingtanger	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Shivering Miner Slave	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Shivering Miner Slave	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Shivering Miner Slave	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> You Want To Get Beat? Hurtily?	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Become Strong? Genuinely?	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Become Strong? Genuinely?	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Collected Casino Security	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Confident Casino Security	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Freezing Miner Slave	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Grown Powerful! For Realsies?	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Grown Powerful! For Realsies?	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Head Hooligan	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Peccatulum Irae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Peccatulum Irae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Peccatulum Morositatis Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Peccatulum Morositatis Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Peccatulum Pigritiae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Peccatulum Pigritiae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Peccatulum Pigritiae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Peccatulum Pigritiae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Pink Shoes Enchantee	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Pink Shoes Enchantee	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Pink Shoes Enchantee	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Pink Shoes Possessee	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Sharp Hooligan	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Slave	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Slave	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Slave	Sinners | Dante	Slain by the Sinners, led by Dante	
