character	killed by	death	type
<1> Compliant N Corp. Inquisitor	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Compliant N Corp. Inquisitor	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Compliant N Corp. Inquisitor	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Compliant N Corp. Inquisitor	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Compliant N Corp. Inquisitor	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Compliant N Corp. Inquisitor	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Compliant N Corp. Inquisitor	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Crawling Inquisitor	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Crawling Inquisitor	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Everything There of an Inquisitor	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Everything There of an Inquisitor	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Famished Hooligan	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Fearless N Corp. Inquisitor	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Fearless N Corp. Inquisitor	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Fearless N Corp. Inquisitor	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Four-Legged Beast	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Four-Legged Beast	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Interrogative N Corp. Inquisitor	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Interrogative N Corp. Inquisitor	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Interrogative N Corp. Inquisitor	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Interrogative N Corp. Inquisitor	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Interrogative N Corp. Inquisitor	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Joyous N Corp. Inquisitor	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Joyous N Corp. Inquisitor	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Joyous N Corp. Inquisitor	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Joyous N Corp. Inquisitor	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Joyous N Corp. Inquisitor	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Obsessive N Corp. Inquisitor	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Obsessive N Corp. Inquisitor	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Obsessive N Corp. Inquisitor	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Obsessive N Corp. Inquisitor	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Irae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Luxuriae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Luxuriae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Luxuriae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
