character	killed by	death	type
<10> The Ring Corporist Automanikin - Combatant	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Gulae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Gulae Class 1	Yi Sang | Ryōshū | Meursault | Gregor | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Gulae Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Gulae Class 2	Yi Sang | Ryōshū | Meursault | Gregor | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Irae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Irae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Irae Class 1	Yi Sang | Ryōshū | Meursault | Gregor | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Irae Class 1	Yi Sang | Ryōshū | Meursault | Gregor | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Irae Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Irae Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Irae Class 2	Yi Sang | Ryōshū | Meursault | Gregor | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Luxuriae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Luxuriae Class 1	Yi Sang | Ryōshū | Meursault | Gregor | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Luxuriae Class 1	Yi Sang | Ryōshū | Meursault | Gregor | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Luxuriae Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Luxuriae Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Luxuriae Class 2	Yi Sang | Ryōshū | Meursault | Gregor | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Morositatis Class 1	Yi Sang | Ryōshū | Meursault | Gregor | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Morositatis Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Morositatis Class 2	Yi Sang | Ryōshū | Meursault | Gregor | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Pigritiae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Pigritiae Class 1	Yi Sang | Ryōshū | Meursault | Gregor | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Pigritiae Class 1	Yi Sang | Ryōshū | Meursault | Gregor | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Pigritiae Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Pigritiae Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Pigritiae Class 2	Yi Sang | Ryōshū | Meursault | Gregor | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Superbiae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Superbiae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Superbiae Class 1	Yi Sang | Ryōshū | Meursault | Gregor | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Superbiae Class 1	Yi Sang | Ryōshū | Meursault | Gregor | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Superbiae Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Superbiae Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Superbiae Class 2	Yi Sang | Ryōshū | Meursault | Gregor | Dante	Slain by the Sinners, led by Dante	
<1> The Ring Corporist Automanikin - Combatant	Faust | Ishmael | Sinclair | Alyssa | Hohenheim | Saude	Slain by the Sinners, assisted by Alyssa and Hohenheim, led by Saude	
<1> The Ring Corporist Automanikin - Combatant	Yi Sang | Ryōshū | Meursault | Gregor | Dante	Slain by the Sinners, led by Dante	
<1> The Ring Corporist Automanikin - Researcher	Faust | Ishmael | Sinclair | Alyssa | Hohenheim | Saude	Slain by the Sinners, assisted by Alyssa and Hohenheim, led by Saude	
<1> The Ring Corporist Automanikin - Researcher	Yi Sang | Ryōshū | Meursault | Gregor | Dante	Slain by the Sinners, led by Dante	
<2> Peccatulum Gulae Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Peccatulum Morositatis Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Peccatulum Pigritiae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> The Ring Corporist Automanikin - Combatant	Yi Sang | Ryōshū | Meursault | Gregor | Dante	Slain by the Sinners, led by Dante	
<2> The Ring Corporist Automanikin - Combatant	Yi Sang | Ryōshū | Meursault | Gregor | Dante	Slain by the Sinners, led by Dante	
<2> The Ring Corporist Automanikin - Combatant	Yi Sang | Ryōshū | Meursault | Gregor | Dante	Slain by the Sinners, led by Dante	
<2> The Ring Corporist Automanikin - Researcher	Yi Sang | Ryōshū | Meursault | Gregor | Dante	Slain by the Sinners, led by Dante	
<2> The Ring Corporist Automanikin - Researcher	Yi Sang | Ryōshū | Meursault | Gregor | Dante	Slain by the Sinners, led by Dante	
<2> The Ring Corporist Automanikin - Roseate Desire Corrosion	Yi Sang | Ryōshū | Meursault | Gregor | Dante	Slain by the Sinners, led by Dante	
<3> The Ring Corporist Automanikin - Combatant	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> The Ring Corporist Automanikin - Combatant	Yi Sang | Ryōshū | Meursault | Gregor | Dante	Slain by the Sinners, led by Dante	
<3> The Ring Corporist Automanikin - Researcher	Yi Sang | Ryōshū | Meursault | Gregor | Dante	Slain by the Sinners, led by Dante	
<3> The Ring Corporist Automanikin - Researcher	Yi Sang | Ryōshū | Meursault | Gregor | Dante	Slain by the Sinners, led by Dante	
<4> The Ring Corporist Automanikin - Roseate Desire Corrosion	Yi Sang | Ryōshū | Meursault | Gregor | Dante	Slain by the Sinners, led by Dante	
<4> The Ring Corporist Automanikin - Roseate Desire Corrosion	Yi Sang | Ryōshū | Meursault | Gregor | Dante	Slain by the Sinners, led by Dante	
<4> The Ring Corporist Automanikin - Roseate Desire Corrosion	Yi Sang | Ryōshū | Meursault | Gregor | Dante	Slain by the Sinners, led by Dante	
<7> The Ring Corporist Automanikin - Roseate Desire Corrosion	Yi Sang | Ryōshū | Meursault | Gregor | Dante	Slain by the Sinners, led by Dante	
Albina	A Certain Sinclair	Crushed into pieces by A Certain Sinclair	
Araya	Ryōshū	Stabbed through the heart by Ryōshū (remained conscious through her E.G.O)	physical
Callisto	A Certain Sinclair	Obliterated by A Certain Sinclair	
Jamila	Rien | Dias	Murdered by Rien after her gear was tempered with by Dias	
Lucio	Gregor	Heart ripped out of his chest by Gregor's arm	
Matthias	Moses | Vespa	Torso punched through by Moses and head cut in half by Vespa	
Ravi	Sora	Accidentally torn in half by Sora's Effloresced E.G.O	
Ren	Ryōshū	Erased with Arayashiki by Ryōshū	
Rien	Rien | Ryōshū	Stabbed himself in the head with a fork after having been fatally wounded by Ryōshū	
Saru	Ryōshū | Callisto	Destroyed by Ryōshū after being forcefully turned into a living blade by Callisto	
Shiomi Yoru	Yoshihide	Stabbed through the heart by Yoshihide	
Sora	Ryōshū	Erased with Arayashiki by Ryōshū	
Valencina	Gregor	Skewered and crushed by Gregor's arm	
