character	killed by	death	type
<10> Whale of the Porous Hand Mermaid	Sinners | Dante	Slain by the Sinners, led by Dante	
<10> Whale of the Thousand Strands Mermaid	Sinners | Dante	Slain by the Sinners, led by Dante	
<10> Whale of the Thousand Strands Mermaid	Sinners | Dante	Slain by the Sinners, led by Dante	
<15> Whale of the Porous Hand Mermaid	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Agile Twinhooks Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Agile Twinhooks Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Agile Twinhooks Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Agile Twinhooks Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Agile Twinhooks Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Pallid Blue Mermaid	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Pallid Entwined Mermaid	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Pallid Entwined Mermaid	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Pallid Entwined Mermaid	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Pallid White Mermaid	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Pallid and Blue Mermaid	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Pallidified Thing-Club	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Pallidified Thing-Club	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Pallidified Thing-Hook	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Pallidified Thing-Hook	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Pallidified Thing-Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Pallidified Thing-Shield	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Irae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Tough Twinhooks Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Tough Twinhooks Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Whale of the Porous Hand Soldier Mermaid	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Agile Twinhooks Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Agile Twinhooks Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Bandana-wearing Twinhooks Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Blinded Pequod Town Villager	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Blinded Pequod Town Villager	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Gagged Pequod Town Villager	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Gagged Pequod Town Villager	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Pallid Blue Mermaid	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Pallid Blue Mermaid	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Pallid White Mermaid	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Pallid White Mermaid	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Pallidified Thing-Club	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Pallidified Thing-Club	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Pallidified Thing-Shield	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Peccatulum Gulae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Peccatulum Morositatis Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Tough Twinhooks Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Tough Twinhooks Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Agile Twinhooks Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Bandana-wearing Twinhooks Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Moustachioed Twinhooks Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Moustachioed Twinhooks Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Moustachioed Twinhooks Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Moustachioed Twinhooks Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Pallid Entwined Mermaid	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Pallid White Mermaid	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Pallid and Blue Mermaid	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Pallidified Thing-Club	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Pallidified Thing-Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Pallidified Thing-Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Pallidified Thing-Shield	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Pallidified Thing-Shield	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Tough Twinhooks Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Bandana-wearing Twinhooks Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Bandana-wearing Twinhooks Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Bandana-wearing Twinhooks Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Bandana-wearing Twinhooks Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Bandana-wearing Twinhooks Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Blinded Pequod Town Villager	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Gagged Pequod Town Villager	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Moustachioed Twinhooks Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Moustachioed Twinhooks Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Moustachioed Twinhooks Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Moustachioed Twinhooks Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Moustachioed Twinhooks Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Moustachioed Twinhooks Pirate	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Pallid Entwined Mermaid	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Pallid White Mermaid	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Pallid White Mermaid	Sinners | Dante	Slain by the Sinners, led by Dante	
