character	killed by	death	type
<1> Bizarre Dead Rabbits Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Enamored Researcher of the Ring?	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Fast Edgar Family Butler	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Fast Edgar Family Butler	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Mad Researcher of the Ring?	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Gulae Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Gulae Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Gulae Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Irae Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Irae Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Morositatis Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Morositatis Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Pigritiae Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Pigritiae Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Superbiae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Pointillist Researcher of the Ring?	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Veiled Dead Rabbits Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Bizarre Dead Rabbits Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Peccatulum Gulae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Peccatulum Gulae Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Peccatulum Gulae Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Peccatulum Irae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Peccatulum Irae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Peccatulum Irae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Peccatulum Irae Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Peccatulum Morositatis Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Peccatulum Pigritiae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Peccatulum Pigritiae Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Peccatulum Pigritiae Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Sharp Dead Rabbits Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Shifty Edgar Family Butler	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Trained Edgar Family Butler	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Veteran Edgar Family Butler	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Fast Edgar Family Butler	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Mad Researcher of the Ring?	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Peccatulum Luxuriae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Sharp Dead Rabbits Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Shifty Edgar Family Butler	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Swift Edgar Family Butler	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Swift Edgar Family Butler	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Trained Edgar Family Butler	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Veiled Dead Rabbits Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Veteran Edgar Family Butler	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Veteran Edgar Family Butler	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Bizarre Dead Rabbits Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Fierce Dead Rabbits Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Fierce Dead Rabbits Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Peccatulum Irae Class 3	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Peccatulum Luxuriae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Peccatulum Morositatis Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Peccatulum Pigritiae Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Sharp Dead Rabbits Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Sharp Dead Rabbits Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Shifty Edgar Family Butler	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Slow Dead Rabbits Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Trained Edgar Family Butler	Sinners | Dante	Slain by the Sinners, led by Dante	
<5> Enamored Researcher of the Ring?	Sinners | Dante	Slain by the Sinners, led by Dante	
<5> Enamored Researcher of the Ring?	Sinners | Dante	Slain by the Sinners, led by Dante	
<5> Enamored Researcher of the Ring?	Sinners | Dante	Slain by the Sinners, led by Dante	
<5> Fierce Dead Rabbits Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<5> Fierce Dead Rabbits Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<5> Fierce Dead Rabbits Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<5> Hefty Dead Rabbits Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<5> Mad Researcher of the Ring?	Sinners | Dante	Slain by the Sinners, led by Dante	
<5> Mad Researcher of the Ring?	Sinners | Dante	Slain by the Sinners, led by Dante	
<5> Peccatulum Pigritiae Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<5> Sharp Dead Rabbits Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<5> Urgent T Corp. Gangster	Sinners | Dante	Slain by the Sinners, led by Dante	
<5> Urgent T Corp. Gangster	Sinners | Dante	Slain by the Sinners, led by Dante	
<6> Fierce Dead Rabbits Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<6> Fierce Dead Rabbits Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<6> Peccatulum Gulae Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<6> Scared T Corp. Gangster	Sinners | Dante	Slain by the Sinners, led by Dante	
<6> Scared T Corp. Gangster	Sinners | Dante	Slain by the Sinners, led by Dante	
<6> Sharp Dead Rabbits Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<6> Sharp Dead Rabbits Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<9> Sharp Dead Rabbits Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
Catherine Earnshaw		Died from unknown causes and put to rest on the grounds of Wuthering Heights (The World of Tranquility)	alternate
Catherine Earnshaw	Dante | Catherine Earnshaw	Erased from existence by Dante using the Golden Bough on her own request	
Erlking Heathcliff	Dante | Catherine Earnshaw	Erased from existence by Dante using the Golden Bough on Catherine Earnshaw's request	alternate
Every Catherine	Dante | Catherine Earnshaw	Erased from existence by Dante using the Golden Bough on Catherine Earnshaw's request	alternate
Heathcliff		Died from unknown causes and put to rest on the grounds of Wuthering Heights (The World of Tranquility)	alternate
Hindley Earnshaw	Sinners | Dante	Slain by the Sinners, led by Dante	
Hindley of the Wild Hunt	Sinners | Dante	Slain by the Sinners, led by Dante	
Hindley of the Wild Hunt	Sinners | Dante	Slain by the Sinners, led by Dante	
Hindley of the Wild Hunt	Sinners | Dante	Slain by the Sinners, led by Dante	
Hindley of the Wild Hunt	Sinners | Dante	Slain by the Sinners, led by Dante	
Hindley of the Wild Hunt	Sinners | Dante	Slain by the Sinners, led by Dante	
