character	killed by	death	type
<1> 'Ghost' Bloodfiend of Failed Penitence	Sinners (minus Don Quixote) | Dante	Slain by the Sinners, led by Dante	
<1> 'Ghost' Bloodfiend of Failed Penitence	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> 'Ghost' Bloodfiend of Prayers	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Bloodbag of the Painful Parade	Sinners (minus Don Quixote) | Dante	Slain by the Sinners, led by Dante	
<1> Bloodbag of the Rear Parade	Sinners (minus Don Quixote) | Dante	Slain by the Sinners, led by Dante	
<1> Bloodbag of the Rear Parade	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Bloodbag of the Rear Parade	Sinners | Jia Xichun | Dante	Slain by the Sinners and Jia Xichun, led by Dante	
<1> Bloodfiend of the Happy Parade	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Bloodfiend of the Happy Parade	Sinners | Jia Xichun | Dante	Slain by the Sinners and Jia Xichun, led by Dante	
<1> Bloodfiend of the Happy Parade	Sinners | Jia Xichun | Dante	Slain by the Sinners and Jia Xichun, led by Dante	
<1> Bloodfiend of the Joyful Parade	Sinners | Jia Xichun | Dante	Slain by the Sinners and Jia Xichun, led by Dante	
<1> Bloomed Bloodfiend	Four-hundred Roses | Sinners (minus Don Quixote) | Dante	Corroded by the Four-hundred Roses and then slain by the Sinners, led by Dante	
<1> Blossomed Bloodfiend	Four-hundred Roses | Sinners (minus Don Quixote) | Dante	Corroded by the Four-hundred Roses and then slain by the Sinners, led by Dante	
<1> Budding Bloodfiend	Four-hundred Roses | Sinners (minus Don Quixote) | Dante	Corroded by the Four-hundred Roses and then slain by the Sinners, led by Dante	
<1> Despairing Bloodbag	Sinners | Jia Xichun | Dante	Slain by the Sinners and Jia Xichun, led by Dante	
<1> Eerie Bloodbag	Sinners (minus Don Quixote) | Dante	Slain by the Sinners, led by Dante	
<1> Eerie Bloodbag	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Embellished Bloodbag	Sinners (minus Don Quixote) | Dante	Slain by the Sinners, led by Dante	
<1> Insane Fashionista Bloodfiend	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Insane Fashionista Bloodfiend	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Mad Fashionista Bloodfiend	Sinners (minus Don Quixote) | Dante	Slain by the Sinners, led by Dante	
<1> Mad Fashionista Bloodfiend	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Mad Fashionista Bloodfiend	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Sinister Bloodbag	Sinners (minus Don Quixote) | Dante	Slain by the Sinners, led by Dante	
<1> Sinister Bloodbag	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Well-dressed Bloodbag	Sinners (minus Don Quixote) | Dante	Slain by the Sinners, led by Dante	
<1> Well-dressed Bloodbag	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Well-dressed Bloodbag	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> 'Ghost' Bloodfiend of Failed Penitence	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> 'Ghost' Bloodfiend of Failed Penitence	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> 'Ghost' Bloodfiend of Failed Penitence	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> 'Ghost' Bloodfiend of Prayers	Sinners (minus Don Quixote) | Dante	Slain by the Sinners, led by Dante	
<2> 'Ghost' Bloodfiend of Prayers	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> 'Ghost' Bloodfiend of Prayers	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Bloodbag of the Painful Parade	Sinners | Jia Xichun | Dante	Slain by the Sinners and Jia Xichun, led by Dante	
<2> Bloodfiend of the Happy Parade	Sinners (minus Don Quixote) | Dante	Slain by the Sinners, led by Dante	
<2> Bloodfiend of the Happy Parade	Sinners | Jia Xichun | Dante	Slain by the Sinners and Jia Xichun, led by Dante	
<2> Bloodfiend of the Joyful Parade	Sinners (minus Don Quixote) | Dante	Slain by the Sinners, led by Dante	
<2> Bloodfiend of the Joyful Parade	Sinners | Jia Xichun | Dante	Slain by the Sinners and Jia Xichun, led by Dante	
<2> Bloodfiend of the Joyful Parade	Sinners | Jia Xichun | Dante	Slain by the Sinners and Jia Xichun, led by Dante	
