character	killed by	death	type
<1> Blooming Failure	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Entangled Failure	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Entangled Jar Monster	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Entangled Jar Monster	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Evil-possessed Deathrite Monk	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Furtive Podao Assailant	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Furtive Podao Assailant	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Heavy Shi Family Mercenary	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Impaled Failure	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Impaled Failure	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Monster from the Gorged and Devoured Jar of Loneliness	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Nailed Jar Monster	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Nailed Jar Monster	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Gulae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Gulae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Gulae Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Gulae Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Irae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Irae Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Morositatis Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Morositatis Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Morositatis Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Morositatis Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Morositatis Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Morositatis Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Morositatis Class 3	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Pigritiae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Pigritiae Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Peccatulum Superbiae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
