character	killed by	death	type
<1> Manager Gnome	Sinners (minus Don Quixote and Heathcliff) | Dante	Slain by the Sinners, led by Dante	
<1> Manager Gnome	Sinners (minus Don Quixote and Heathcliff) | Dante	Slain by the Sinners, led by Dante	
<1> Shadowy Gnome	Sinners (minus Don Quixote and Heathcliff) | Dante	Slain by the Sinners, led by Dante	
<1> Shadowy Gnome	Sinners (minus Don Quixote and Heathcliff) | Dante	Slain by the Sinners, led by Dante	
<1> Shadowy Gnome	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Shadowy Gnome	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Cherry Gnome	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Cherry Gnome	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Leafy Gnome	Sinners (minus Don Quixote and Heathcliff) | Dante	Slain by the Sinners, led by Dante	
<2> Leafy Gnome	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Manager Gnome	Sinners (minus Don Quixote and Heathcliff) | Dante	Slain by the Sinners, led by Dante	
<2> Manager Gnome	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Shadowy Gnome	Don Quixote | Heathcliff | Dante	Slain by Don Quixote and Heathcliff, led by Dante	
<3> Cherry Gnome	Sinners (minus Don Quixote and Heathcliff) | Dante	Slain by the Sinners, led by Dante	
<3> Cherry Gnome	Sinners (minus Don Quixote and Heathcliff) | Dante	Slain by the Sinners, led by Dante	
<3> Leafy Gnome	Sinners (minus Don Quixote and Heathcliff) | Dante	Slain by the Sinners, led by Dante	
<3> Manager Gnome	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Shadowy Gnome	Sinners (minus Don Quixote and Heathcliff) | Dante	Slain by the Sinners, led by Dante	
<4> Cherry Gnome	Don Quixote | Heathcliff | Dante	Slain by Don Quixote and Heathcliff, led by Dante	
<4> Cherry Gnome	Sinners (minus Don Quixote and Heathcliff) | Dante	Slain by the Sinners, led by Dante	
<4> Cherry Gnome	Sinners (minus Don Quixote and Heathcliff) | Dante	Slain by the Sinners, led by Dante	
<4> Leafy Gnome	Sinners (minus Don Quixote and Heathcliff) | Dante	Slain by the Sinners, led by Dante	
<4> Leafy Gnome	Sinners (minus Don Quixote and Heathcliff) | Dante	Slain by the Sinners, led by Dante	
<4> Leafy Gnome	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Shadowy Gnome	Sinners (minus Don Quixote and Heathcliff) | Dante	Slain by the Sinners, led by Dante	
<4> Shadowy Gnome	Sinners (minus Don Quixote and Heathcliff) | Dante	Slain by the Sinners, led by Dante	
<5> Cherry Gnome	Sinners (minus Don Quixote and Heathcliff) | Dante	Slain by the Sinners, led by Dante	
<5> Leafy Gnome	Sinners (minus Don Quixote and Heathcliff) | Dante	Slain by the Sinners, led by Dante	
<6> Cherry Gnome	Sinners (minus Don Quixote and Heathcliff) | Dante	Slain by the Sinners, led by Dante	
<6> Leafy Gnome	Don Quixote | Heathcliff | Dante	Slain by Don Quixote and Heathcliff, led by Dante	
Dodoru	Don Quixote | Heathcliff | Dante	Slain by Don Quixote and Heathcliff, led by Dante	
Santata	Sinners | Dante	Slain by the Sinners, led by Dante	
