character	killed by	death	type
<1> Adept Kurokumo Henchwoman	Sinners | Dante	Slain by the Sinners, led by Dante	
<1> Tired Kurokumo Henchwoman	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Adept Kurokumo Henchwoman	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Adept Kurokumo Henchwoman	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Adept Kurokumo Henchwoman	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Adept Kurokumo Henchwoman	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Determined Kurokumo Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Peccatulum Irae Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Peccatulum Morositatis Class 2	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Tense Kurokumo Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Tired Kurokumo Henchwoman	Sinners | Dante	Slain by the Sinners, led by Dante	
<2> Tired Kurokumo Henchwoman	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Determined Kurokumo Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Peccatulum Irae Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Peccatulum Morositatis Class 1	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Tense Kurokumo Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Tense Kurokumo Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Tired Kurokumo Henchwoman	Sinners | Dante	Slain by the Sinners, led by Dante	
<3> Tired Kurokumo Henchwoman	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Determined Kurokumo Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Determined Kurokumo Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Determined Kurokumo Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Determined Kurokumo Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Tense Kurokumo Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<4> Tense Kurokumo Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<5> Adept Kurokumo Henchwoman	Sinners | Dante	Slain by the Sinners, led by Dante	
<5> Tired Kurokumo Henchwoman	Sinners | Dante	Slain by the Sinners, led by Dante	
<6> Tense Kurokumo Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<6> Tense Kurokumo Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
<6> Tense Kurokumo Henchman	Sinners | Dante	Slain by the Sinners, led by Dante	
Aeng-du	Roland | The Librarians (Urban Plague) | Angela | Carmen	Turned into a book by Roland and the librarians on orders from Angela, orchestrated by Carmen (released by Angela)	revived
