character	killed by	death	type
<1> Aggressive Bloodbag Passenger	Sasha | Cassetti | Sinners | Dante	Turned into a Bloodbag by Sasha on orders from Cassetti and then slain by the Sinners, led by Dante	
<1> Aggressive Bloodbag Passenger	Sasha | Cassetti | Sinners | Dante	Turned into a Bloodbag by Sasha on orders from Cassetti and then slain by the Sinners, led by Dante	
<1> Aggressive Bloodbag Passenger	Sasha | Cassetti | Sinners | Dante	Turned into a Bloodbag by Sasha on orders from Cassetti and then slain by the Sinners, led by Dante	
<1> Craving Bloodbag Passenger	Sasha | Cassetti | Sinners | Dante	Turned into a Bloodbag by Sasha on orders from Cassetti and then slain by the Sinners, led by Dante	
<1> Craving Bloodbag Passenger	Sasha | Cassetti | Sinners | Dante	Turned into a Bloodbag by Sasha on orders from Cassetti and then slain by the Sinners, led by Dante	
<1> Feral Bloodbag Cleanup Agent	Sasha | Cassetti | Sinners | Dante	Turned into a Bloodbag by Sasha on orders from Cassetti and then slain by the Sinners, led by Dante	
<1> Feral Bloodbag Cleanup Agent	Sasha | Cassetti | Sinners | Dante	Turned into a Bloodbag by Sasha on orders from Cassetti and then slain by the Sinners, led by Dante	
<1> Hungering Bloodbag Cleanup Agent	Sasha | Cassetti | Sinners | Dante	Turned into a Bloodbag by Sasha on orders from Cassetti and then slain by the Sinners, led by Dante	
<1> Violent Bloodbag Passenger	Sasha | Cassetti | Sinners | Dante	Turned into a Bloodbag by Sasha on orders from Cassetti and then slain by the Sinners, led by Dante	
<1> Violent Bloodbag Passenger	Sasha | Cassetti | Sinners | Dante	Turned into a Bloodbag by Sasha on orders from Cassetti and then slain by the Sinners, led by Dante	
<2> Aggressive Bloodbag Passenger	Sasha | Cassetti | Sinners | Dante	Turned into a Bloodbag by Sasha on orders from Cassetti and then slain by the Sinners, led by Dante	
<2> Aggressive Bloodbag Passenger	Sasha | Cassetti | Sinners | Dante	Turned into a Bloodbag by Sasha on orders from Cassetti and then slain by the Sinners, led by Dante	
<2> Aggressive Bloodbag Passenger	Sasha | Cassetti | Sinners | Dante	Turned into a Bloodbag by Sasha on orders from Cassetti and then slain by the Sinners, led by Dante	
