character	killed by	death	type
<1> Peccatulum Invidiae - Blade Lineage Salsu Don Quixote Class 2	Yi Sang | Don Quixote | Dante | Hohenheim | Heathcliff	Slain by the Sinners, led by Dante, organised by Hohenheim and Heathcliff	
<1> Peccatulum Invidiae - Blade Lineage Salsu Yi Sang Class 2	Yi Sang | Don Quixote | Dante | Hohenheim | Heathcliff	Slain by the Sinners, led by Dante, organised by Hohenheim and Heathcliff	
<1> Peccatulum Invidiae - Liu Assoc. South Section 4 Director Rodion Class 1	Sinners | Dante | Hohenheim	Slain by the Sinners, led by Dante, organised by Hohenheim	
<1> Peccatulum Invidiae - Liu Assoc. South Section 4 Ishmael Class 1	Sinners | Dante | Hohenheim	Slain by the Sinners, led by Dante, organised by Hohenheim	
<1> Peccatulum Invidiae - Liu Assoc. South Section 4 Ryōshū Class 1	Sinners | Dante | Hohenheim	Slain by the Sinners, led by Dante, organised by Hohenheim	
<1> Peccatulum Invidiae - Liu Assoc. South Section 5 Hong Lu Class 1	Sinners | Dante | Hohenheim	Slain by the Sinners, led by Dante, organised by Hohenheim	
<1> Peccatulum Invidiae - Liu Assoc. South Section 6 Gregor Class 1	Sinners | Dante | Hohenheim	Slain by the Sinners, led by Dante, organised by Hohenheim	
<1> Peccatulum Invidiae - Liu Assoc. South Section 6 Meursault Class 1	Sinners | Dante | Hohenheim	Slain by the Sinners, led by Dante, organised by Hohenheim	
<1> Peccatulum Invidiae - W Corp. L3 Cleanup Agent Don Quixote Class 2	Yi Sang | Don Quixote | Dante | Hohenheim | Heathcliff	Slain by the Sinners, led by Dante, organised by Hohenheim and Heathcliff	
<1> Peccatulum Invidiae - W Corp. L3 Cleanup Agent Yi Sang Class 2	Yi Sang | Don Quixote | Dante | Hohenheim | Heathcliff	Slain by the Sinners, led by Dante, organised by Hohenheim and Heathcliff	
<1> Peccatulum Irae Class 3	Hong Lu | Sinclair | Dante | Hohenheim | Heathcliff	Slain by the Sinners, led by Dante, organised by Hohenheim and Heathcliff	
<1> Peccatulum Luxuriae Class 1	Ryōshū | Ishmael | Dante | Hohenheim | Heathcliff	Slain by the Sinners, led by Dante, organised by Hohenheim and Heathcliff	
<1> Peccatulum Luxuriae Class 1	Sinners | Dante | Hohenheim	Slain by the Sinners, led by Dante, organised by Hohenheim	
<1> Peccatulum Morositatis Class 3	Heathcliff | Rodion | Outis | Dante | Hohenheim	Slain by the Sinners, led by Dante, organised by Hohenheim and Heathcliff	
<1> Peccatulum Pigritiae Class 3	Faust | Meursault | Gregor | Dante | Hohenheim | Heathcliff	Slain by the Sinners, led by Dante, organised by Hohenheim and Heathcliff	
<1> Peccatulum Superbiae Class 2	Ryōshū | Ishmael | Dante | Hohenheim | Heathcliff	Slain by the Sinners, led by Dante, organised by Hohenheim and Heathcliff	
<2> Peccatulum Gulae Class 1	Heathcliff | Rodion | Outis | Dante | Hohenheim	Slain by the Sinners, led by Dante, organised by Hohenheim and Heathcliff	
<2> Peccatulum Gulae Class 1	Sinners | Dante | Hohenheim	Slain by the Sinners, led by Dante, organised by Hohenheim	
<2> Peccatulum Gulae Class 2	Heathcliff | Rodion | Outis | Dante | Hohenheim	Slain by the Sinners, led by Dante, organised by Hohenheim and Heathcliff	
<2> Peccatulum Irae Class 1	Sinners | Dante | Hohenheim	Slain by the Sinners, led by Dante, organised by Hohenheim	
