character	killed by	death	type
<2> Feral Fauvist Student of the Ring	Sinners | Kira | Dante	Slain by the Sinners, assisted by Kira, led by Dante	
<2> Feral Fauvist Student of the Ring	Sinners | Kira | Dante	Slain by the Sinners, assisted by Kira, led by Dante	
<2> Impulsive Fauvist Student of the Ring	Sinners | Kira | Dante	Slain by the Sinners, assisted by Kira, led by Dante	
<2> Impulsive Fauvist Student of the Ring	Sinners | Kira | Dante	Slain by the Sinners, assisted by Kira, led by Dante	
<2> Instinctive Fauvist Student of the Ring	Sinners (minus Gregor) | Kira | Dante	Slain by the Sinners, assisted by Kira, led by Dante	
<2> Instinctive Fauvist Student of the Ring	Sinners | Kira | Dante	Slain by the Sinners, assisted by Kira, led by Dante	
<2> Spontaneous Fauvist Student of the Ring	Sinners (minus Gregor) | Kira | Dante	Slain by the Sinners, assisted by Kira, led by Dante	
<2> Spontaneous Fauvist Student of the Ring	Sinners | Kira | Dante	Slain by the Sinners, assisted by Kira, led by Dante	
<4> Feral Fauvist Student of the Ring	Sinners (minus Gregor) | Kira | Dante	Slain by the Sinners, assisted by Kira, led by Dante	
<4> Feral Fauvist Student of the Ring	Sinners (minus Gregor) | Kira | Dante	Slain by the Sinners, assisted by Kira, led by Dante	
<4> Impulsive Fauvist Student of the Ring	Sinners (minus Gregor) | Kira | Dante	Slain by the Sinners, assisted by Kira, led by Dante	
<4> Instinctive Fauvist Student of the Ring	Sinners | Kira | Dante	Slain by the Sinners, assisted by Kira, led by Dante	
<4> Prescript-chasing Proselyte of the Index	Sinners | Kira | Dante	Slain by the Sinners, assisted by Kira, led by Dante	
<4> Prescript-conforming Proselyte of the Index	Sinners | Kira | Dante	Slain by the Sinners, assisted by Kira, led by Dante	
<4> Spontaneous Fauvist Student of the Ring	Sinners | Kira | Dante	Slain by the Sinners, assisted by Kira, led by Dante	
<5> Prescript-chasing Proselyte of the Index	Sinners | Kira | Dante	Slain by the Sinners, assisted by Kira, led by Dante	
<5> Prescript-conforming Proselyte of the Index	Sinners | Kira | Dante	Slain by the Sinners, assisted by Kira, led by Dante	
<6> Feral Fauvist Student of the Ring	Sinners (minus Gregor) | Kira | Dante	Slain by the Sinners, assisted by Kira, led by Dante	
<6> Impulsive Fauvist Student of the Ring	Sinners (minus Gregor) | Kira | Dante	Slain by the Sinners, assisted by Kira, led by Dante	
<6> Impulsive Fauvist Student of the Ring	Sinners (minus Gregor) | Kira | Dante	Slain by the Sinners, assisted by Kira, led by Dante	
Rufo	Sinners | Kira | Dante	Slain by the Sinners, assisted by Kira, led by Dante	
