character	killed by	death	type
Don Quixote	Dream-Devouring Siltcurrent	Drowned by the Dream-Devouring Siltcurrent (undone by Dante)	undone
Don Quixote	Steam Transport Machine	Eyes thoroughly boiled by the Steam Transport Machine (undone by Dante)	undone
Faust	Dream-Devouring Siltcurrent	Drowned by the Dream-Devouring Siltcurrent (undone by Dante)	undone
Gregor	Ambling Pearl	Murdered by the Ambling Pearl (undone by Dante)	undone
Gregor	Dream-Devouring Siltcurrent	Drowned by the Dream-Devouring Siltcurrent (undone by Dante)	undone
Gregor	Sleeping Bag of a Bygone Day	Torn apart limb from limb by the Sleeping Bag of a Bygone Day (undone by Dante)	undone
Gregor	kqe-1j-23	Neck sawed off by kqe-1j-23 (undone by Dante)	undone
Heathcliff	Ambling Pearl	Murdered by the Ambling Pearl (undone by Dante)	undone
Heathcliff	Blubbering Toad	Murdered by the Blubbering Toad (undone by Dante)	undone
Heathcliff	Der Fluchschütze	Murdered by a reconstruction of the old G Corp. Head Manager summoned by Der Fluchschütze (undone by Dante)	undone
Heathcliff	Der Fluchschütze	Shot in the face by Der Fluchschütze (undone by Dante)	undone
Heathcliff	Doomsday Calendar | Dante	Devoured by the Doomsday Calendar as set up by Dante (undone by Dante)	undone
Heathcliff	Dream-Devouring Siltcurrent	Drowned by the Dream-Devouring Siltcurrent (undone by Dante)	undone
Heathcliff	Ebony Queen's Apple	Head destroyed by the Ebony Queen's Apple (undone by Dante)	undone
Heathcliff	Faelantern	Impaled by the Faelantern's roots (undone by Dante)	undone
Heathcliff	Faelantern	Impaled by the Faelantern's roots (undone by Dante)	undone
Hong Lu	Dream-Devouring Siltcurrent	Drowned by the Dream-Devouring Siltcurrent (undone by Dante)	undone
Hong Lu	Shock Centipede	Electrocuted by the Shock Centipede (undone by Dante)	undone
Hong Lu	Sign of Roses	Blood drained by the Sign of Roses (undone by Dante)	undone
Ishmael	Blubbering Toad	Murdered by the Blubbering Toad (undone by Dante)	undone
Ishmael	Dream-Devouring Siltcurrent	Drowned by the Dream-Devouring Siltcurrent (undone by Dante)	undone
Ishmael	My Form Empties	Cut in half by My Form Empties (undone by Dante)	undone
Ishmael	Shock Centipede	Electrocuted by the Shock Centipede (undone by Dante)	undone
Meursault	Dream-Devouring Siltcurrent	Drowned by the Dream-Devouring Siltcurrent (undone by Dante)	undone
Meursault	Spiral of Contempt	Crushed by the Spiral of Contempt (undone by Dante)	undone
Outis	Dream-Devouring Siltcurrent	Drowned by the Dream-Devouring Siltcurrent (undone by Dante)	undone
Rodion	Dream-Devouring Siltcurrent	Drowned by the Dream-Devouring Siltcurrent (undone by Dante)	undone
Rodion	Fairy Gentleman	Squashed by the Fairy Gentleman (undone by Dante)	undone
Ryōshū	Dream-Devouring Siltcurrent	Drowned by the Dream-Devouring Siltcurrent (undone by Dante)	undone
Sinclair	Baba Yaga	Head blown off by the Baba Yaga (undone by Dante)	undone
Sinclair	Baba Yaga	Head blown off by the Baba Yaga (undone by Dante)	undone
Sinclair	Blubbering Toad	Murdered by the Blubbering Toad (undone by Dante)	undone
Sinclair	Dream-Devouring Siltcurrent	Drowned by the Dream-Devouring Siltcurrent (undone by Dante)	undone
Sinclair	Dreaming Electric Sheep	Electrocuted by the Dreaming Electric Sheep (undone by Dante)	undone
Sinclair	Dreaming Electric Sheep	Pulverized by the Dreaming Electric Sheep (undone by Dante)	undone
Sinclair	Heathcliff	Murdered by Heathcliff while writing an observation log on the Drifting Fox (undone by Dante)	undone
Yi Sang	Ardor Blossom Moth	Incinerated by the Ardor Blossom Moth (undone by Dante)	undone
Yi Sang	Doomsday Calendar | Yi Sang	Let himself be devoured by the Doomsday Calendar (undone by Dante)	undone
Yi Sang	Dream-Devouring Siltcurrent	Drowned by the Dream-Devouring Siltcurrent (undone by Dante)	undone
