character	killed by	death	type
<3+> Witch Cult Fingers	Meili Portroute | Natsuki Subaru	Mauled by witchbeasts controlled by Meili Portroute, hired by Natsuki Subaru	non-canon
<4+> Regulus Corneas' wives	Natsuki Subaru	Willingly let themselves be incinerated in Regulus Corneas' burning mansion by Natsuki Subaru	non-canon
<4+> guards	Elsa Granhiert | Natsuki Subaru	Slaughtered by Elsa Granhiert, via manipulation by Natsuki Subaru	non-canon
Camberley	Natsuki Subaru	Neck broken after being stomped by Natsuki Subaru	non-canon
Crusch Karsten	White Whale	Erased by the White Whale using her Mist of Annihilation	non-canon
Elsa Granhiert	Reinhard van Astrea	Struck down by Reinhard van Astrea	non-canon
Felix Argyle	Felix Argyle	Committed suicide out of despair from losing Crusch (undone via Return by Death)	undone | non-canon
Felix Argyle	Reinhard van Astrea	Struck down by Reinhard van Astrea	non-canon
Felt	Natsuki Subaru	Perished during the burning of Royal Capital of Lugunica by Natsuki Subaru	non-canon
Gaston	Natsuki Subaru	Neck broken after being stomped by Natsuki Subaru	non-canon
Guiltylowe	Emilia	Speared with icicles and frozen by Emilia	non-canon
Heinkel Astrea	Natsuki Subaru	Perished during the burning of Royal Capital of Lugunica by Natsuki Subaru	non-canon
Julius Juukulius	Felix Argyle | Natsuki Subaru	Murdered by Felix Argyle on orders from Natsuki Subaru	non-canon
Meili Portroute	Reinhard van Astrea	Struck down by Reinhard van Astrea	non-canon
Natsuki Subaru	Emilia | Natsuki Subaru	Speared with icicles by Emilia, orchestrated by himself	non-canon
Old Man Rom	Natsuki Subaru	Perished during the burning of Royal Capital of Lugunica by Natsuki Subaru	non-canon
Otto Suwen	Reinhard van Astrea	Struck down by Reinhard van Astrea	non-canon
Petelgeuse Romanée-Conti	Natsuki Subaru	Stabbed through the brain by Natsuki Subaru	non-canon
Rachins Hoffman	Natsuki Subaru	Neck broken after being stomped by Natsuki Subaru	non-canon
Regulus Corneas	Elsa Granhiert | Natsuki Subaru	Incinerated in his burning mansion after having all limbs cut off by Elsa Granhiert, on orders from Natsuki Subaru	non-canon
Rem	Meili Portroute | Mother	Mana drained after being cursed via a Wolgarm's bite, manipulated by Meili Portroute, on orders from Mother	non-canon
Roswaal L. Mathers	Reinhard van Astrea	Struck down by Reinhard van Astrea	non-canon
Wilhelm van Astrea	White Whale	Erased by the White Whale using her Mist of Annihilation	non-canon
{10,000+} Natsuki Subaru	Reinhard van Astrea	Murdered by or death caused by Reinhard van Astrea (undone via Return by Death)	undone | non-canon
{400+} Natsuki Subaru	Petelgeuse Romanée-Conti	Murdered by Petelgeuse Romanée-Conti or his Witch Cultists (undone via Return by Death)	undone | non-canon
{87} Emilia	Elsa Granhiert | Roswaal L. Mathers	Murdered by Elsa Granhiert, hired by Roswaal L. Mathers (undone via Return by Death)	undone | non-canon
{87} Natsuki Subaru	Elsa Granhiert | Roswaal L. Mathers	Belly slashed open or beheaded by Elsa Granhiert, hired by Roswaal L. Mathers (undone via Return by Death)	undone | non-canon
