character	killed by	death	type
<1> Guiltylowe	Natsuki Subaru	Slain by Natsuki Subaru	
<2+> Guiltylowe	Natsuki Subaru	Slain by Natsuki Subaru (plural) (undone via Return by Death)	undone
<20+> Clind's pursuers	Clind	Murdered by Clind (undone via Return by Death)	undone
<200+> witchbeasts	Natsuki Subaru	Incinerated with Fire Magic Stones on orders from Natsuki Subaru (hundreds mentioned)	
<3+> Witch Cultists	Elsa Granhiert | Natsuki Subaru	Murdered by Elsa Granhiert on orders from Natsuki Subaru (several mentioned)	
Clind	Natsuki Subaru	Eliminated by Natsuki Subaru	
Echidna	Natsuki Subaru	Neck snapped by Natsuki Subaru (revived herself)	revived
Elsa Granhiert	Great Rabbit | Roswaal L. Mathers | Natsuki Subaru	Devoured by the Great Rabbit, summoned by Roswaal L. Mathers, after being pushed into its swarm by Natsuki Subaru (undone via Return by Death)	undone
Natsuki Subaru	Clind | Natsuki Subaru	Let himself be murdered by Clind to minimize casualties (undone via Return by Death)	undone
Natsuki Subaru	Elsa Granhiert | Natsuki Subaru	Head lopped off by Elsa Granhiert on his own orders (undone via Return by Death)	undone
Natsuki Subaru	Great Rabbit | Roswaal L. Mathers | Garfiel Tinzel	Devoured from the inside by the Great Rabbit, summoned by Roswaal L. Mathers, while restrained by Garfiel Tinzel (undone via Return by Death)	undone
Natsuki Subaru	Meili Portroute	Ripped apart and head bitten off by a Guiltylowe on orders from Meili Portroute (undone via Return by Death)	undone
Natsuki Subaru	Natsuki Subaru | Echidna	Committed suicide in order to eliminate his regrets on advice from Echidna (undone via Return by Death)	undone
Regulus Corneas	Elsa Granhiert | Natsuki Subaru	Slain via unknown means by Elsa Granhiert and Natsuki Subaru	
{1+} Beatrice	Elsa Granhiert | Meili Portroute | Roswaal L. Mathers	Murdered by Elsa Granhiert and/or Meili Portroute, Elsa hired by Roswaal L. Mathers (undone via Return by Death)	undone
{1+} Frederica Baumann	Elsa Granhiert | Meili Portroute | Roswaal L. Mathers	Murdered by Elsa Granhiert and/or Meili Portroute, Elsa hired by Roswaal L. Mathers (undone via Return by Death)	undone
{1+} Petra Leyte	Elsa Granhiert | Meili Portroute | Roswaal L. Mathers	Murdered by Elsa Granhiert and/or Meili Portroute, Elsa hired by Roswaal L. Mathers (undone via Return by Death)	undone
{1+} Rem	Elsa Granhiert | Meili Portroute | Roswaal L. Mathers	Murdered by Elsa Granhiert and/or Meili Portroute, Elsa hired by Roswaal L. Mathers (undone via Return by Death)	undone
{1,000+} Natsuki Subaru	Clind	Heart crushed by Clind using his Authority (undone via Return by Death)	undone
{100,000,000+} Natsuki Subaru		Died from various causes (undone via Return by Death)	undone
{14} Natsuki Subaru		Perished by unknown means after establishing a contract with Echidna (undone via Return by Death)	undone
{232} Natsuki Subaru	Echidna	Perished during the Sanctuary's Trials overseen by Echidna (undone via Return by Death)	undone
{3+} Natsuki Subaru	Meili Portroute	Murdered by witchbeasts on orders from Meili Portroute (many times mentioned) (undone via Return by Death)	undone
{36+} Great Rabbit	Garfiel Tinzel	Slaughtered by Garfiel Tinzel (several dozens mentioned)	
