character	killed by	death	type
Arakiya	Vague Adgard	Bisected into chunks by Vague Adgard (undone via Return by Death)	undone
Beatrice	Vague Adgard	Obliterated by Vague Adgard (undone via Return by Death)	undone
Cecilus Segmunt		Died from unknown causes while Natsuki Subaru was sealed within the Grand Mogolade Glacier	
Dorena Iku Juukulius	Arakiya | Dorena Iku Juukulius | Vague Adgard	Devoured by Arakiya on their own request after being fatally wounded by Vague Adgard	
Halibel		Died from unknown causes while Natsuki Subaru was sealed within the Grand Mogolade Glacier	
Julius Juukulius		Died from unknown causes while Natsuki Subaru was sealed within the Grand Mogolade Glacier	
Kiara In Juukulius	Arakiya | Kiara In Juukulius | Vague Adgard	Devoured by Arakiya on their own request after being fatally wounded by Vague Adgard	
Lapicha Kua Juukulius	Arakiya | Lapicha Kua Juukulius | Vague Adgard	Devoured by Arakiya on their own request after being fatally wounded by Vague Adgard	
Lumera Ia Juukulius	Vague Adgard	Bisected into chunks by Vague Adgard (undone via Return by Death)	undone
Natsuki Subaru	Vague Adgard	Obliterated by Vague Adgard (undone via Return by Death)	undone
Nikola Suwen	Vague Adgard	Bisected into chunks by Vague Adgard (undone via Return by Death)	undone
Odglass	Vague Adgard	Slaughtered by Vague Adgard	
Otto Suwen		Died from unknown causes while Natsuki Subaru was sealed within the Grand Mogolade Glacier	
Reinhard van Astrea		Died from unknown causes while Natsuki Subaru was sealed within the Grand Mogolade Glacier	
Rosalind Vollachia		Died from an illness	
Sinica Nes Juukulius	Arakiya | Sinica Nes Juukulius | Vague Adgard	Devoured by Arakiya on their own request after being fatally wounded by Vague Adgard	
Soyone Aro Juukulius	Arakiya | Soyone Aro Juukulius | Vague Adgard	Devoured by Arakiya on their own request after being fatally wounded by Vague Adgard	
Vincent Vollachia		Died from unknown causes while Natsuki Subaru was sealed within the Grand Mogolade Glacier	
Zarestia	Vague Adgard	Slaughtered by Vague Adgard	
{24+} Arakiya	Vague Adgard	Sliced apart by Vague Adgard (undone via Return by Death)	undone
{24+} Beatrice	Vague Adgard	Sliced apart by Vague Adgard (undone via Return by Death)	undone
{24+} Lumera Ia Juukulius	Vague Adgard	Sliced apart by Vague Adgard (undone via Return by Death)	undone
{24+} Natsuki Subaru	Vague Adgard	Sliced apart by Vague Adgard (undone via Return by Death)	undone
{24+} Nikola Suwen	Vague Adgard	Sliced apart by Vague Adgard (undone via Return by Death)	undone
{75+} Arakiya	Vague Adgard	Murdered by Vague Adgard (undone via Return by Death)	undone
{75+} Beatrice	Vague Adgard	Murdered by Vague Adgard (undone via Return by Death)	undone
{75+} Lumera Ia Juukulius	Vague Adgard	Murdered by Vague Adgard (undone via Return by Death)	undone
{75+} Natsuki Subaru	Vague Adgard	Murdered by Vague Adgard (undone via Return by Death)	undone
{75+} Nikola Suwen	Vague Adgard	Murdered by Vague Adgard (undone via Return by Death)	undone
