character	killed by	death	type
<1> Earth Dragon	Shaula	Shot through the head by Shaula	
<23+> other people	Natsuki Subaru | Shaula	Murdered by Natsuki Subaru and Shaula	
<5+> villagers	Natsuki Subaru | Shaula	Murdered by Natsuki Subaru and Shaula	
Anastasia Hoshin	Shaula | Natsuki Subaru	Drowned in the Flooding of Priestella caused by Shaula on orders from Natsuki Subaru	
Beatrice	Natsuki Subaru | Shaula	Murdered by Natsuki Subaru and Shaula	
Emilia	Natsuki Subaru | Shaula	Murdered by Natsuki Subaru and Shaula	
Eridna	Shaula | Natsuki Subaru	Drowned in the Flooding of Priestella caused by Shaula on orders from Natsuki Subaru	
Felix Argyle	Shaula | Natsuki Subaru	Drowned in the Flooding of Priestella caused by Shaula on orders from Natsuki Subaru (revived himself via his magic)	revived
Frederica Baumann	Natsuki Subaru | Shaula	Murdered by Natsuki Subaru and Shaula	
Garfiel Tinzel	Shaula | Natsuki Subaru	Shot through the abdomen and head crushed by Shaula on orders from Natsuki Subaru	
Hetaro Pearlbaton	Shaula | Natsuki Subaru	Drowned in the Flooding of Priestella caused by Shaula on orders from Natsuki Subaru	
Julius Juukulius	Natsuki Subaru | Shaula	Murdered by Natsuki Subaru and Shaula	
Kiritaka Muse	Shaula | Natsuki Subaru	Drowned in the Flooding of Priestella caused by Shaula on orders from Natsuki Subaru	
Liliana Masquerade	Shaula | Natsuki Subaru	Drowned in the Flooding of Priestella caused by Shaula on orders from Natsuki Subaru	
Meili Portroute	Natsuki Subaru | Shaula	Murdered by Natsuki Subaru and Shaula	
Mimi Pearlbaton	Shaula | Natsuki Subaru	Drowned in the Flooding of Priestella caused by Shaula on orders from Natsuki Subaru	
Old Man Rom	Natsuki Subaru | Shaula	Murdered by Natsuki Subaru and Shaula	
Otto Suwen	Shaula | Natsuki Subaru	Shot through the chest by Shaula on orders from Natsuki Subaru	
Petra Leyte	Natsuki Subaru | Shaula	Murdered by Natsuki Subaru and Shaula	
Ram	Natsuki Subaru | Shaula	Murdered by Natsuki Subaru and Shaula	
Regin Suwen	Shaula | Natsuki Subaru	Head shot off by Shaula on orders from Natsuki Subaru	
Ricardo Welkin	Shaula | Natsuki Subaru	Drowned in the Flooding of Priestella caused by Shaula on orders from Natsuki Subaru	
Roswaal L. Mathers	Natsuki Subaru | Shaula	Murdered by Natsuki Subaru and Shaula	
Tivey Pearlbaton	Shaula | Natsuki Subaru	Drowned in the Flooding of Priestella caused by Shaula on orders from Natsuki Subaru	
